family,signal,aurc,aurc_lo,aurc_hi,eaurc,frac_gap_closed,cov_at_half_risk,risk@90%,risk@80%,risk@70%,risk@50%,tier
deep_ensemble,de_aleatoric,0.11130777784103839,0.0681341972372129,0.16938501704207748,0.040993142932943635,0.8522830584815284,0.717391304347826,0.296,0.25225225225225223,0.15463917525773196,0.028985507246376812,Full cohort (incl. 11 ATRX-discordant)
deep_ensemble,de_predictive_entropy,0.11737263795522487,0.07200316789863069,0.17614889212141807,0.04705800304713012,0.8304286086221829,0.6811594202898551,0.312,0.2702702702702703,0.18556701030927836,0.043478260869565216,Full cohort (incl. 11 ATRX-discordant)
deep_ensemble,de_within_fold_mi,0.18163119275235165,0.12000262728698811,0.2599794266856524,0.1113165578442569,0.5988758048628866,0.4420289855072464,0.328,0.2972972972972973,0.25773195876288657,0.18840579710144928,Full cohort (incl. 11 ATRX-discordant)
epistemic,mean_within_encoder_mi,0.17462898652327127,0.1043858675232329,0.2635779338242587,0.10431435161517652,0.6241079391672341,0.5869565217391305,0.32,0.2882882882882883,0.24742268041237114,0.10144927536231885,Full cohort (incl. 11 ATRX-discordant)
epistemic,total_mi,0.1937448173365933,0.12910514566632647,0.27364525757947905,0.12343018242849854,0.5552249050718114,0.37681159420289856,0.328,0.2972972972972973,0.26804123711340205,0.2463768115942029,Full cohort (incl. 11 ATRX-discordant)
epistemic,between_encoder_mi,0.35402235676580174,0.24354182495832546,0.4710070377767345,0.283707721857707,-0.022327978768237333,0.0,0.336,0.32432432432432434,0.30927835051546393,0.3188405797101449,Full cohort (incl. 11 ATRX-discordant)
laplace,laplace_aleatoric,0.11500477560058181,0.07096779236452615,0.17401372951309912,0.04469014069248706,0.838961093812127,0.7101449275362319,0.304,0.26126126126126126,0.16494845360824742,0.043478260869565216,Full cohort (incl. 11 ATRX-discordant)
laplace,laplace_predictive_entropy,0.12017329918151201,0.07562747719319536,0.17915739343117315,0.04985866427341726,0.8203365522201344,0.6739130434782609,0.312,0.27927927927927926,0.1958762886597938,0.043478260869565216,Full cohort (incl. 11 ATRX-discordant)
laplace,laplace_epistemic_mi,0.13630181931571278,0.08501663726888055,0.20586640470229448,0.06598718440761803,0.7622181574110212,0.6666666666666666,0.304,0.26126126126126126,0.21649484536082475,0.10144927536231885,Full cohort (incl. 11 ATRX-discordant)
mc_dropout,mc_aleatoric,0.1106519523900651,0.06848791626184711,0.16816045328015536,0.04033731748197035,0.8546462959123888,0.6884057971014492,0.304,0.24324324324324326,0.18556701030927836,0.043478260869565216,Full cohort (incl. 11 ATRX-discordant)
mc_dropout,mc_predictive_entropy,0.1161528919902394,0.07183015567568707,0.17394355216275248,0.045838257082144646,0.834823908189037,0.6811594202898551,0.328,0.2702702702702703,0.1958762886597938,0.028985507246376812,Full cohort (incl. 11 ATRX-discordant)
mc_dropout,mc_epistemic_mi,0.12957270255537526,0.0821293288102746,0.19085380437465405,0.059258067647280505,0.7864662261327517,0.6666666666666666,0.296,0.26126126126126126,0.1958762886597938,0.08695652173913043,Full cohort (incl. 11 ATRX-discordant)
ood,ood_attention_uni2,0.28671930356566844,0.2051032850974003,0.38390389565986627,0.21640466865757368,0.22019553766087419,0.17391304347826086,0.368,0.3963963963963964,0.38144329896907214,0.37681159420289856,Full cohort (incl. 11 ATRX-discordant)
ood,ood_attention_hoptimus,0.32278434385,0.23195847535388153,0.42830906752489295,0.25246970894190524,0.09023679174923505,0.08695652173913043,0.368,0.38738738738738737,0.3917525773195876,0.34782608695652173,Full cohort (incl. 11 ATRX-discordant)
ood,ood_mean_hoptimus,0.3229085212922854,0.2307218925151445,0.4293495837873679,0.25259388638419067,0.08978932393711836,0.09420289855072464,0.368,0.3783783783783784,0.36082474226804123,0.34782608695652173,Full cohort (incl. 11 ATRX-discordant)
ood,ood_topk_hoptimus,0.32871015999705167,0.2348712770622928,0.43525233444924305,0.2583955250889569,0.06888338055373022,0.10144927536231885,0.368,0.3783783783783784,0.4020618556701031,0.391304347826087,Full cohort (incl. 11 ATRX-discordant)
ood,ood_mean_uni2,0.34453743788908336,0.2420982226443184,0.45893217270911024,0.2742228029809886,0.011850498576413626,0.043478260869565216,0.352,0.36936936936936937,0.3402061855670103,0.34782608695652173,Full cohort (incl. 11 ATRX-discordant)
ood,ood_topk_uni2,0.39946172152866677,0.28456668011438657,0.5124935460951714,0.329147086620572,-0.18606668009914928,0.0,0.36,0.3783783783783784,0.38144329896907214,0.36231884057971014,Full cohort (incl. 11 ATRX-discordant)
predictive,aleatoric,0.11093443979702855,0.06792122558246023,0.16836403787980567,0.0406198048889338,0.8536283652832984,0.6956521739130435,0.304,0.23423423423423423,0.17525773195876287,0.043478260869565216,Full cohort (incl. 11 ATRX-discordant)
predictive,ensemble_entropy,0.11676885898792971,0.0722026345418974,0.17477199681391273,0.04645422407983496,0.8326042988967226,0.6811594202898551,0.32,0.2702702702702703,0.1958762886597938,0.014492753623188406,Full cohort (incl. 11 ATRX-discordant)
reference,random,0.34782608695652173,,,0.277511452048427,0.0,,0.34782608695652173,0.34782608695652173,0.34782608695652173,0.34782608695652173,Full cohort (incl. 11 ATRX-discordant)
