a,b,metric,delta,ci_low,ci_high,p_raw,family,p_fdr,sig_fdr
uni2,conch,auroc,0.006367436227977641,-0.014728114379467971,0.028165162701668023,0.5406918616276745,primary,0.7457818781071371,False
uni2,conch,auprc,0.0007308520475090008,-0.024823372361688318,0.023679394850969405,0.9110177964407119,primary,0.911017796440712,False
uni2,conch,brier,0.011511640024188668,-0.005155230598683906,0.029142546914477728,0.1863627274545091,primary,0.43850053518708026,False
uni2,conch,ece,0.037377876383834496,0.00433019668515044,0.055143010400897745,0.02439512097580484,primary,0.08870953082110851,False
uni2,conch,sensitivity,-0.22360248447204978,-0.2981366459627329,-0.15527950310559002,0.0003999200159968006,support,,False
uni2,conch,npv,-0.12255586592178769,-0.16496629132540036,-0.08176019120648986,0.0003999200159968006,support,,False
uni2,hoptimus,auroc,0.002656353763818897,-0.0133598968709715,0.01968826907301069,0.7618476304739052,primary,0.864715945699749,False
uni2,hoptimus,auprc,-0.0012021538059799886,-0.020021864343951565,0.016998576768331438,0.8838232353529294,primary,0.9064853695927482,False
uni2,hoptimus,brier,-0.011062842612958285,-0.02492897293615879,0.0028426360368816266,0.11717656468706258,primary,0.3605432759601926,False
uni2,hoptimus,ece,-0.010609403939452006,-0.03324254453942559,0.0065707622300397095,0.17716456708658268,primary,0.43850053518708026,False
uni2,hoptimus,sensitivity,-0.19875776397515532,-0.26708074534161486,-0.1366459627329193,0.0003999200159968006,support,,False
uni2,hoptimus,npv,-0.10484972677595628,-0.1456236676648434,-0.06714837997054501,0.0003999200159968006,support,,False
uni2,uni2+hoptimus,auroc,-0.003125122075081088,-0.011681120356263897,0.005117387397945206,0.48470305938812236,primary,0.692432941983032,False
uni2,uni2+hoptimus,auprc,-0.0025436920714368982,-0.012283205831004798,0.007531943878164173,0.5890821835632873,primary,0.7776509214286175,False
uni2,uni2+hoptimus,brier,-0.000969912158086006,-0.007606826933821421,0.005833715073319293,0.7782443511297741,primary,0.864715945699749,False
uni2,uni2+hoptimus,ece,-0.003801488949102372,-0.01803142288401432,0.011495846077232304,0.4379124175164967,primary,0.6487591370614766,False
uni2,uni2+hoptimus,sensitivity,-0.1428571428571429,-0.20496894409937882,-0.08695652173913049,0.0003999200159968006,support,,False
uni2,uni2+hoptimus,npv,-0.07270408163265307,-0.1063491470403919,-0.041156558016646506,0.0003999200159968006,support,,False
uni2,ensemble,auroc,-0.0058205398648384366,-0.019766397124887702,0.007851869213641116,0.40111977604479104,primary,0.6171073477612169,False
uni2,ensemble,auprc,-0.00683222071343248,-0.02460421455033534,0.009116193222782497,0.3955208958208358,primary,0.6171073477612169,False
uni2,ensemble,brier,0.009451918616151078,0.001222379143935838,0.018273260812925525,0.021195760847830435,primary,0.08870953082110851,False
uni2,ensemble,ece,0.011972847330616779,-0.004940848405094584,0.030359594665715143,0.21435712857428516,primary,0.4751049790041992,False
uni2,ensemble,sensitivity,-0.19875776397515532,-0.26086956521739135,-0.1428571428571428,0.0003999200159968006,support,,False
uni2,ensemble,npv,-0.10709459459459458,-0.14476408415666875,-0.07263370501460005,0.0003999200159968006,support,,False
conch,hoptimus,auroc,-0.0037110824641587437,-0.021056486581507054,0.013477088948787075,0.6826634673065387,primary,0.8533293341331734,False
conch,hoptimus,auprc,-0.0019330058534889893,-0.02371866116391756,0.018085216928014194,0.8634273145370925,primary,0.9064853695927482,False
conch,hoptimus,brier,-0.022574482637146953,-0.04156479597801089,-0.0035896999116329935,0.017196560687862426,primary,0.08598280343931214,False
conch,hoptimus,ece,-0.0479872803232865,-0.06875477473069624,-0.018217709759846917,0.0003999200159968006,primary,0.005332266879957342,True
conch,hoptimus,sensitivity,0.024844720496894457,-0.03105590062111807,0.08074534161490687,0.485502899420116,support,,False
conch,hoptimus,npv,0.017706139145831412,-0.024078813739858065,0.06101055705737004,0.4327134573085383,support,,False
conch,uni2+hoptimus,auroc,-0.009492558303058729,-0.027736435016992855,0.008711277784288485,0.3067386522695461,primary,0.5425001956130514,False
conch,uni2+hoptimus,auprc,-0.003274544118945899,-0.0243858314428289,0.019797861138746497,0.7570485902819436,primary,0.864715945699749,False
conch,uni2+hoptimus,brier,-0.012481552182274674,-0.029500970767328417,0.0037672457884369115,0.13557288542291543,primary,0.36259414783709926,False
conch,uni2+hoptimus,ece,-0.04117936533293687,-0.058375015986166554,-0.010329055795627928,0.005598880223955209,primary,0.037325868159701396,True
conch,uni2+hoptimus,sensitivity,0.08074534161490687,0.01863354037267073,0.1428571428571429,0.013997200559888023,support,,False
conch,uni2+hoptimus,npv,0.049851784289134615,0.007933940594024452,0.09315039228748366,0.020795840831833633,support,,False
conch,ensemble,auroc,-0.012187976092816077,-0.023322200085940884,-0.0016016250634790508,0.022795440911817635,primary,0.08870953082110851,False
conch,ensemble,auprc,-0.0075630727609414805,-0.02270052643516949,0.007110123324829744,0.3119376124775045,primary,0.5425001956130514,False
conch,ensemble,brier,-0.0020597214080375903,-0.01290616517144195,0.00867224013635563,0.7090581883623275,primary,0.8594644707422151,False
conch,ensemble,ece,-0.025405029053217718,-0.03704553345942257,0.0024430285928974827,0.08478304339132174,primary,0.28261014463773915,False
conch,ensemble,sensitivity,0.024844720496894457,-0.024844720496894457,0.07453416149068326,0.40871825634873027,support,,False
conch,ensemble,npv,0.015461271327193105,-0.02051620726758789,0.052397983967853515,0.41991601679664065,support,,False
hoptimus,uni2+hoptimus,auroc,-0.005781475838899985,-0.0162516113910699,0.0034766983085275953,0.2375524895020996,primary,0.4751049790041992,False
hoptimus,uni2+hoptimus,auprc,-0.0013415382654569097,-0.011791018349213223,0.009549290917481058,0.8042391521695661,primary,0.8694477320752066,False
hoptimus,uni2+hoptimus,brier,0.010092930454872279,0.002728951192903233,0.01764078497245158,0.005598880223955209,primary,0.037325868159701396,True
hoptimus,uni2+hoptimus,ece,0.006807914990349634,-0.0063611280582699685,0.024447646553708114,0.2375524895020996,primary,0.4751049790041992,False
hoptimus,uni2+hoptimus,sensitivity,0.05590062111801242,0.024844720496894346,0.0931677018633541,0.0003999200159968006,support,,False
hoptimus,uni2+hoptimus,npv,0.0321456451433032,0.010327130007905314,0.05788737546806206,0.001999600079984003,support,,False
hoptimus,ensemble,auroc,-0.008476893628657334,-0.02039142153990392,0.002617289737880335,0.13597280543891221,primary,0.36259414783709926,False
hoptimus,ensemble,auprc,-0.005630066907452491,-0.015938348718167412,0.004841857403496522,0.27434513097380525,primary,0.5225621542358195,False
hoptimus,ensemble,brier,0.020514761229109363,0.010709310587411935,0.030792591568705927,0.0003999200159968006,primary,0.005332266879957342,True
