strategy,comparison,mean_delta,ci_low,ci_high,p_raw,n_boot,mean_point_auroc,mean_achieved_cov,predictor,q_fdr,sig_fdr
entropy_only,vs_full,-0.005406062905136435,-0.04907766136757735,0.03290380353026876,0.86,10000,0.8935782831367007,0.8026041666666666,uni2,,False
ood_only,vs_entropy_only,0.0032199869826859255,-0.04556937639277752,0.0646074453765499,0.9906,10000,0.8966535406897659,0.8145833333333334,uni2,0.9906,False
ood_only,vs_full,-0.0021860759224505096,-0.03732211576753606,0.03754128172249004,0.8306,10000,0.8966535406897659,0.8145833333333334,uni2,0.9512,False
AND,vs_entropy_only,0.0012476658030206131,-0.03432282608695666,0.047762361005275825,0.9702,10000,0.8947214680315723,0.6661458333333333,uni2,0.9906,False
AND,vs_full,-0.004158397102115822,-0.0666327847305706,0.04673274020926799,0.9512,10000,0.8947214680315723,0.6661458333333333,uni2,0.9512,False
OR,vs_entropy_only,0.004450954057244692,-0.02698750518809018,0.04224079910526225,0.865,10000,0.8979135734376831,0.9510416666666665,uni2,0.9906,False
OR,vs_full,-0.0009551088478917427,-0.016340171252725213,0.014875169662552827,0.8628,10000,0.8979135734376831,0.9510416666666665,uni2,0.9512,False
MEANZ,vs_entropy_only,0.00893959898861303,-0.018867427742750444,0.05109162052710452,0.6568,10000,0.9024510047568789,0.8026041666666666,uni2,0.9906,False
MEANZ,vs_full,0.0035335360834765936,-0.0385490230494557,0.04730303461009174,0.8464,10000,0.9024510047568789,0.8026041666666666,uni2,0.9512,False
entropy_only,vs_full,-0.008650277037407459,-0.06645052849515076,0.03090735700700818,0.8156,10000,0.8891803779318703,0.79375,hoptimus,,False
ood_only,vs_entropy_only,0.024076488555332735,-0.03396677436423067,0.10217927004101551,0.5222,10000,0.91363522745457,0.8020833333333334,hoptimus,0.7266,False
ood_only,vs_full,0.015426211517925281,-0.02469426988986952,0.07565675722492878,0.567,10000,0.91363522745457,0.8020833333333334,hoptimus,1.0,False
AND,vs_entropy_only,0.011040553219317949,-0.03907115749192727,0.07523426925030127,0.7266,10000,0.9006830171312394,0.63125,hoptimus,0.7266,False
AND,vs_full,0.0023902761819104917,-0.07807281489224197,0.07158938204553258,0.8892,10000,0.9006830171312394,0.63125,hoptimus,1.0,False
OR,vs_entropy_only,0.009744297517184275,-0.02584245308659478,0.06250746031720994,0.6988,10000,0.8988625964058092,0.9645833333333333,hoptimus,0.7266,False
OR,vs_full,0.0010940204797768175,-0.01182564153025277,0.01848695067036847,1.0,10000,0.8988625964058092,0.9645833333333333,hoptimus,1.0,False
MEANZ,vs_entropy_only,0.022779170596116772,-0.015477349557826989,0.08318337042411202,0.325,10000,0.9119736691885807,0.8036458333333332,hoptimus,0.7266,False
MEANZ,vs_full,0.014128893558709318,-0.032571622939909284,0.06805605223586102,0.5778,10000,0.9119736691885807,0.8036458333333332,hoptimus,1.0,False
