band,target_coverage,metric,n_band_retained,n_rest_retained,gap_retained,p,mde,q_fdr,sig_fdr,underpowered
20-39,0.9,cal_gap,81,187,-0.0622795804035782,0.136,0.12062287973398944,0.272,False,True
20-39,0.9,npv,81,187,-0.2466843501326259,0.011,0.2823588082433185,0.033,True,True
55-69,0.9,cal_gap,79,189,0.10524276773538277,0.01,0.11076599739337815,0.06,False,True
55-69,0.9,npv,79,189,0.1483375959079284,0.003,0.15372842095286637,0.018000000000000002,True,True
20-39,0.8,cal_gap,66,174,-0.021246127426854694,0.635,0.12708698245787797,0.762,False,True
20-39,0.8,npv,66,174,-0.15129870129870127,0.116,0.2809723051766152,0.13920000000000002,False,True
55-69,0.8,cal_gap,76,164,0.07979635819801026,0.048,0.11142112924269464,0.14400000000000002,False,True
55-69,0.8,npv,76,164,0.11484681853888457,0.024,0.14419506761597725,0.04800000000000001,True,True
20-39,0.7,cal_gap,53,152,-0.012402625130337575,0.817,0.13281236372132943,0.8169999999999998,False,True
20-39,0.7,npv,53,152,-0.1250578971746179,0.269,0.3012906972655335,0.269,False,True
55-69,0.7,cal_gap,66,139,0.05213196067473291,0.212,0.11369740826263643,0.318,False,True
55-69,0.7,npv,66,139,0.09690927218344958,0.086,0.15163082904951572,0.129,False,True
