family,target_coverage,n_mutant_retained,n_confidently_wrong,n_not_confidently_wrong,gbm_hist_rate_confidently_wrong,gbm_hist_rate_not_confidently_wrong,gbm_hist_rate_baseline_mutant_pop,fisher_odds_ratio,fisher_p,n_gbm_outliers,pct_outliers_of_retained_mutant_pool,pct_outliers_of_full_mutant_pool,concentration_factor,pct_outliers_of_retained_gbm_subgroup,pct_outliers_of_full_gbm_subgroup,n_gbm_deferred,n_gbm_retained_not_cw,n_gbm_retained_cw,mean_signal_gbm_deferred,mean_signal_gbm_retained_not_cw,mean_signal_gbm_retained_cw,q_fdr,sig_fdr
deep_ensemble,0.9,120,21,99,0.7619047619047619,0.050505050505050504,0.20496894409937888,60.16,1.0536013154169207e-11,16,13.333333333333334,9.937888198757763,1.3416666666666668,76.19047619047619,48.484848484848484,12,5,16,0.6670886791017137,0.5662538986523903,0.23842824314087066,3.792964735500915e-11,True
deep_ensemble,0.8,93,21,72,0.7619047619047619,0.0,0.20496894409937888,inf,5.3435607215461585e-14,16,17.204301075268816,9.937888198757763,1.731182795698925,100.0,48.484848484848484,17,0,16,0.6374313907342656,,0.23842824314087066,9.618409298783086e-13,True
deep_ensemble,0.7,72,15,57,0.7333333333333333,0.0,0.20496894409937888,inf,4.5164496495989507e-10,11,15.277777777777779,6.832298136645963,2.236111111111111,100.0,33.333333333333336,22,0,11,0.5947752194338608,,0.1423755186537732,5.419739579518741e-10,True
epistemic,0.9,146,21,125,0.7619047619047619,0.096,0.20496894409937888,30.133333333333333,4.495077107490927e-10,16,10.95890410958904,9.937888198757763,1.1027397260273972,57.142857142857146,48.484848484848484,5,12,16,0.11446762982365452,0.05538690919274206,0.014887152985472482,5.419739579518741e-10,True
epistemic,0.8,104,21,83,0.7619047619047619,0.07228915662650602,0.20496894409937888,41.06666666666667,4.076139084842776e-10,16,15.384615384615385,9.937888198757763,1.5480769230769234,72.72727272727273,48.484848484848484,11,6,16,0.0907561522516846,0.03977723077710778,0.014887152985472482,5.419739579518741e-10,True
epistemic,0.7,73,20,53,0.75,0.018867924528301886,0.20496894409937888,156.0,1.5678960097527994e-10,15,20.54794520547945,9.316770186335404,2.2054794520547945,93.75,45.45454545454545,17,1,15,0.07327662725765427,0.02902575293947,0.013363139391942952,2.351844014629199e-10,True
laplace,0.9,126,21,105,0.7619047619047619,0.0761904761904762,0.20496894409937888,38.8,1.4615551788679353e-10,16,12.698412698412698,9.937888198757763,1.277777777777778,66.66666666666667,48.484848484848484,9,8,16,0.6815106851682045,0.5990705748105687,0.25147523767027624,2.351844014629199e-10,True
laplace,0.8,98,21,77,0.7619047619047619,0.025974025974025976,0.20496894409937888,120.0,2.916592624547758e-12,16,16.3265306122449,9.937888198757763,1.6428571428571428,88.88888888888889,48.484848484848484,15,2,16,0.6540436299543839,0.5577531578413153,0.25147523767027624,1.3124666810464912e-11,True
laplace,0.7,77,19,58,0.7368421052631579,0.0,0.20496894409937888,inf,1.3843128713625194e-11,14,18.181818181818183,8.695652173913043,2.090909090909091,100.0,42.42424242424242,19,0,14,0.6251920834932807,,0.2193653558107482,4.1529386140875584e-11,True
mc_dropout,0.9,124,21,103,0.7619047619047619,0.06796116504854369,0.20496894409937888,43.885714285714286,6.66351111309026e-11,16,12.903225806451612,9.937888198757763,1.2983870967741935,69.56521739130434,48.484848484848484,10,7,16,0.6749069466132352,0.585368912309546,0.23315781140287267,1.353550363110019e-10,True
mc_dropout,0.8,96,21,75,0.7619047619047619,0.013333333333333334,0.20496894409937888,236.8,4.916315217046277e-13,16,16.666666666666668,9.937888198757763,1.6770833333333333,94.11764705882354,48.484848484848484,16,1,16,0.6443726308246067,0.5366897591054682,0.23315781140287267,2.949789130227766e-12,True
mc_dropout,0.7,75,18,57,0.7222222222222222,0.0,0.20496894409937888,inf,6.767751815550095e-11,13,17.333333333333332,8.074534161490684,2.146666666666667,100.0,39.39393939393939,20,0,13,0.6100587296120362,,0.1827694032695702,1.353550363110019e-10,True
ood,0.9,154,21,133,0.7619047619047619,0.12030075187969924,0.20496894409937888,23.4,3.189869474687414e-09,16,10.38961038961039,9.937888198757763,1.0454545454545456,50.0,48.484848484848484,1,16,16,95.18539581298828,85.81068363189698,84.82126789093019,3.5886031590233406e-09,True
ood,0.8,150,21,129,0.7619047619047619,0.12403100775193798,0.20496894409937888,22.6,4.877035467984172e-09,16,10.666666666666666,9.937888198757763,1.0733333333333335,50.0,48.484848484848484,1,16,16,95.18539581298828,85.81068363189698,84.82126789093019,5.163919907277359e-09,True
ood,0.7,149,21,128,0.7619047619047619,0.125,0.20496894409937888,22.4,5.432692578879072e-09,16,10.738255033557047,9.937888198757763,1.080536912751678,50.0,48.484848484848484,1,16,16,95.18539581298828,85.81068363189698,84.82126789093019,5.432692578879072e-09,True
predictive,0.9,123,21,102,0.7619047619047619,0.06862745098039216,0.20496894409937888,43.42857142857143,7.626653596147289e-11,16,13.008130081300813,9.937888198757763,1.3089430894308944,69.56521739130434,48.484848484848484,10,7,16,0.6740121777558117,0.5855986750918393,0.23109523501061674,1.372797647306512e-10,True
predictive,0.8,96,21,75,0.7619047619047619,0.013333333333333334,0.20496894409937888,236.8,4.916315217046277e-13,16,16.666666666666668,9.937888198757763,1.6770833333333333,94.11764705882354,48.484848484848484,16,1,16,0.643789048721854,0.5386877236513268,0.23109523501061674,2.949789130227766e-12,True
predictive,0.7,76,18,58,0.7222222222222222,0.0,0.20496894409937888,inf,5.610110057627053e-11,13,17.105263157894736,8.074534161490684,2.118421052631579,100.0,39.39393939393939,20,0,13,0.6100102436771654,,0.17974087614058096,1.353550363110019e-10,True
