predictor,axis,level,n,prev,auroc,auroc_lo,auroc_hi,auprc,auprc_lo,auprc_hi,bss,bss_lo,bss_hi,balanced_accuracy,balanced_accuracy_lo,balanced_accuracy_hi,sensitivity,sensitivity_lo,sensitivity_hi,specificity,specificity_lo,specificity_hi,brier,brier_lo,brier_hi,ece,ece_lo,ece_hi,cal_gap,cal_gap_lo,cal_gap_hi,accuracy,accuracy_lo,accuracy_hi,ppv,ppv_lo,ppv_hi,npv,npv_lo,npv_hi,f1,f1_lo,f1_hi
uni2,sex,female,134,0.47761194029850745,0.9209821428571429,0.865194109940627,0.9656648842917251,0.8960207974664331,0.8022020521322256,0.9698048599424545,0.5607928933786454,0.38350582506079883,0.7047737706813147,0.7676339285714286,0.6997489667736146,0.8328853571043262,0.578125,0.449981884057971,0.6984126984126984,0.9571428571428572,0.90625,1.0,0.10958163497792764,0.07231920348404781,0.15357463260770535,0.10994090293464598,0.07746940614193427,0.17122257883806444,-0.09365096908590909,-0.14597884673753808,-0.04088910426666495,0.7761194029850746,0.7014925373134329,0.8432835820895522,0.925,0.8378378378378378,1.0,0.7127659574468085,0.62,0.8,0.7115384615384616,0.5999484536082474,0.8035714285714286
uni2,sex,male,186,0.521505376344086,0.8832387350862968,0.8323752440026262,0.9282830732745844,0.8984281626528332,0.8424411108485572,0.944165941046404,0.35499862219199807,0.17271486001156564,0.5110120947990497,0.7671145604077377,0.7166903803489146,0.8183772636155544,0.5567010309278351,0.4615168539325843,0.6569184491978607,0.9775280898876404,0.9411764705882353,1.0,0.16095204343324315,0.12178807988967871,0.20353043328043902,0.14688634845898835,0.11046582181369684,0.21084169580035345,-0.139530021391849,-0.1959144337548403,-0.08680482979485844,0.7580645161290323,0.6935483870967742,0.8172043010752689,0.9642857142857143,0.9066562499999999,1.0,0.6692307692307692,0.584,0.7443650183853795,0.7058823529411765,0.6249778368794326,0.782051282051282
uni2,age,20-39,104,0.7884615384615384,0.8508869179600886,0.7288689014625814,0.9489594304323725,0.9391125519837393,0.8761019886683674,0.9873746106168108,0.039950471094333584,-0.47053901482910576,0.36018462674372065,0.7488913525498891,0.653074173771498,0.8316345523624794,0.6341463414634146,0.5308456046407853,0.7375148809523809,0.8636363636363636,0.7,1.0,0.16012660411851168,0.11326576366167314,0.21165557503296648,0.20852400987552336,0.15377169654821046,0.2779718857983915,-0.1801109479632802,-0.2458881295917448,-0.10962447201868956,0.6826923076923077,0.5961538461538461,0.7692307692307693,0.9454545454545454,0.8799827586206896,1.0,0.3877551020408163,0.25991025641025645,0.5227543290043288,0.7591240875912408,0.672,0.8344370860927153
uni2,age,40-54,120,0.48333333333333334,0.8756952169076752,0.8036664232323483,0.9345637626262625,0.8667487168517518,0.7631204220199803,0.9445484450720598,0.34627774232785924,0.11310385631805882,0.53184972661268,0.7338709677419355,0.6645260049099732,0.8,0.5,0.3728730475240944,0.625,0.967741935483871,0.9152542372881356,1.0,0.16324897490201515,0.11461283398016178,0.21919456684202726,0.1445760560532411,0.10090939471459326,0.22329511921231937,-0.1395833157002926,-0.20887135498225687,-0.07055310535438668,0.7416666666666667,0.6583333333333333,0.8166666666666667,0.9354838709677419,0.8333333333333334,1.0,0.6741573033707865,0.5760869565217391,0.7750127551020408,0.651685393258427,0.5287116858237548,0.7551133786848071
uni2,age,55-69,82,0.1951219512195122,0.8143939393939394,0.6571301162605511,0.9509550075708414,0.7503059618144925,0.5386905618544954,0.9209460509950248,0.4829491965359608,0.19727672426596932,0.7389656152641537,0.78125,0.6538461538461539,0.9,0.5625,0.3076923076923077,0.8,1.0,1.0,1.0,0.08120250571951598,0.035889883401897624,0.13656700024074717,0.0713699774180607,0.03895153290671637,0.14157171375913222,-0.014679153858706717,-0.08143845877394354,0.04148940443651886,0.9146341463414634,0.8414634146341463,0.9634146341463414,1.0,1.0,1.0,0.9041095890410958,0.8266521739130435,0.9605263157894737,0.72,0.47058823529411764,0.8888888888888888
uni2,age,70+,11,0.36363636363636365,0.8214285714285714,0.4166666666666667,1.0,0.8611111111111112,0.5502777777777779,1.0,0.37058641711118456,-0.44860316617156637,0.84801579540175,0.625,0.5,0.875,0.25,0.0,0.75,1.0,1.0,1.0,0.1456494241395606,0.0315643094682808,0.3421239371017189,0.17614030973477798,0.09125331428579307,0.40335021283138883,-0.15194724771109494,-0.39304322310808026,-0.013065922175618737,0.7272727272727273,0.45454545454545453,0.9090909090909091,1.0,0.0,1.0,0.7,0.4,0.8888888888888888,0.4,0.0,0.8571428571428571
uni2,tier,a,312,0.5160256410256411,0.9219694788367405,0.8898288150955834,0.9500313171754289,0.9421264325001173,0.915623482168745,0.9631188340341095,0.477577989668317,0.35475182969789104,0.5882987344962894,0.7792974373740282,0.7388328622419659,0.8193974300057344,0.5652173913043478,0.49018949861823924,0.6415759925917348,0.9933774834437086,0.9787234042553191,1.0,0.13047133355084592,0.10275986299715155,0.1594108745100672,0.13859424574109605,0.10381899416791454,0.17701826098469048,-0.13859424574109613,-0.17683149951634014,-0.10205284955796415,0.7724358974358975,0.7243589743589743,0.8205128205128205,0.9891304347826086,0.9642857142857143,1.0,0.6818181818181818,0.6194639522611025,0.7412977793957043,0.7193675889328063,0.6523461450030655,0.7799322861822862
uni2,tier,c,8,0.0,,,,,,,,,,,,,,,,0.5,0.125,0.875,0.4892453872201995,0.21684517557510818,0.7686949241473696,0.5924488543532789,0.3205322393332608,0.8394466862082481,0.5924488543532789,0.3205322393332608,0.8394466862082481,0.5,0.125,0.875,,,,,,,,,
uni2,tier_grouped,c,8,0.0,,,,,,,,,,,,,,,,0.5,0.125,0.875,0.4892453872201995,0.21684517557510818,0.7686949241473696,0.5924488543532789,0.3205322393332608,0.8394466862082481,0.5924488543532789,0.3205322393332608,0.8394466862082481,0.5,0.125,0.875,,,,,,,,,
conch,sex,female,134,0.47761194029850745,0.9247767857142857,0.8710032591381623,0.9671128994360901,0.8976221629133856,0.8053695680577763,0.9707801616166869,0.5512642354265713,0.3858784436772587,0.6958434195154792,0.8633928571428571,0.8012002905257167,0.9187125189129478,0.8125,0.711864406779661,0.9019812091503266,0.9142857142857143,0.8428571428571429,0.972972972972973,0.1119590234622945,0.07481822344222581,0.15192603856105333,0.07212084871299788,0.0637627271524415,0.1465884809396159,-0.06975329183945572,-0.12461955520843936,-0.01572551360465034,0.8656716417910447,0.8059701492537313,0.917910447761194,0.896551724137931,0.8153846153846154,0.9672131147540983,0.8421052631578947,0.7538461538461538,0.9200263157894736,0.8524590163934426,0.7787576842531919,0.9155063971615954
conch,sex,male,186,0.521505376344086,0.8766361635584385,0.8195518493120864,0.9288656556942736,0.9025686247221277,0.8473782986936109,0.9491875830920209,0.4412289992132039,0.2777929987323679,0.589127176237464,0.8416541179196109,0.788960367675423,0.8917441860465116,0.7731958762886598,0.6847683066361556,0.8541666666666666,0.9101123595505618,0.8470558223289316,0.9659090909090909,0.1394343291071919,0.10206183006719874,0.17738897065754797,0.10818265824358386,0.08240804032332472,0.1708444057269678,-0.10818265824358386,-0.15787624804583444,-0.05650478418683635,0.8387096774193549,0.7849462365591398,0.8872311827956981,0.9036144578313253,0.8354393149664929,0.9629629629629629,0.7864077669902912,0.7058692226890757,0.8631578947368421,0.8333333333333334,0.7700928381962864,0.8888888888888888
conch,age,20-39,104,0.7884615384615384,0.8869179600886918,0.7750978915662651,0.9671223881332544,0.954527703616195,0.8973553258750423,0.9923379691938722,0.20456558911001244,-0.2742856589354949,0.48898299278974544,0.8070953436807096,0.7009007702875086,0.8963436411149825,0.8414634146341463,0.7567480942480943,0.9156626506024096,0.7727272727272727,0.5832236842105264,0.9375,0.13267045832521612,0.0922688390228344,0.18067625595167205,0.16263004515964827,0.12008059168785203,0.23363557596122309,-0.16263004515964818,-0.22552379371996858,-0.09801906021199942,0.8269230769230769,0.75,0.8942307692307693,0.9324324324324325,0.868421052631579,0.9859154929577465,0.5666666666666667,0.3888440860215054,0.75,0.8846153846153846,0.8251748251748252,0.9333333333333333
conch,age,40-54,120,0.48333333333333334,0.8706896551724138,0.7928069160271608,0.9337104555600648,0.8680119017509755,0.7708267942614053,0.9479165714663459,0.42175142069355,0.19766130169445795,0.5988186430445848,0.8395439377085651,0.7700719214316161,0.9010263327445107,0.7758620689655172,0.6603572862304296,0.8772459165154262,0.9032258064516129,0.8269021739130434,0.9692307692307692,0.14440152022124958,0.09890010488482337,0.19842855924313302,0.1263398709202496,0.10121700087901749,0.2122380200883102,-0.10797700432982915,-0.17747008450940485,-0.04504532374451332,0.8416666666666667,0.775,0.9,0.8823529411764706,0.7884308510638298,0.9607843137254902,0.8115942028985508,0.7076923076923077,0.9,0.8256880733944955,0.7368118572292801,0.896551724137931
conch,age,55-69,82,0.1951219512195122,0.8115530303030303,0.6343202747584541,0.9565432466415194,0.7431451894116701,0.5341828614423552,0.9038919891208412,0.35881458616000583,0.02574518929843466,0.6365866803475595,0.7585227272727273,0.6259422348484849,0.8810586564171119,0.5625,0.3,0.8095238095238095,0.9545454545454546,0.8970588235294118,1.0,0.10069776874108179,0.05388134755908272,0.15741988124900066,0.0866299612935996,0.0512216182049398,0.16281925500015632,0.012597832221128952,-0.06089191215095768,0.07923546018783088,0.8780487804878049,0.8048780487804879,0.9390243902439024,0.75,0.5,1.0,0.9,0.8235294117647058,0.9594594594594594,0.6428571428571429,0.4,0.8275862068965517
conch,age,70+,11,0.36363636363636365,0.75,0.3333333333333333,1.0,0.8409090909090909,0.5151515151515151,1.0,0.49293357620581335,-0.35587638133973754,0.9706567567070843,0.875,0.6666666666666666,1.0,0.75,0.3333333333333333,1.0,1.0,1.0,1.0,0.11733768484493576,0.006379490627143102,0.314765497364038,0.16885767318308353,0.06765853109007532,0.3794349582315508,-0.10122817466882145,-0.32771322405473746,0.029075714327733686,0.9090909090909091,0.7272727272727273,1.0,1.0,1.0,1.0,0.875,0.5907142857142859,1.0,0.8571428571428571,0.5,1.0
conch,tier,a,312,0.5160256410256411,0.9118094689646662,0.8753680892538676,0.9440925186313665,0.9353011277648435,0.9052836840611658,0.9591874132284797,0.521245074948288,0.40333136957548393,0.6247258592367754,0.8679198716630332,0.8289076476390326,0.9016521538122889,0.7888198757763976,0.7225716845878136,0.8481012658227848,0.9470198675496688,0.9090909090909091,0.9800033112582781,0.11956577686279761,0.0935794811993599,0.14723768299117135,0.10918453279345368,0.08229331551567437,0.14771632735758497,-0.10918453279345375,-0.14550111681276642,-0.07208985863723616,0.8653846153846154,0.8269230769230769,0.9006410256410257,0.9407407407407408,0.8984341896186441,0.9772727272727273,0.807909604519774,0.7459413650939075,0.8651714501950282,0.8581081081081081,0.8102143997069827,0.8963210702341137
conch,tier,c,8,0.0,,,,,,,,,,,,,,,,0.25,0.0,0.625,0.4540964970865381,0.19255975487841154,0.704332386728497,0.5745823364704847,0.30877502366201953,0.8085244034416971,0.5745823364704847,0.30877502366201953,0.8085244034416971,0.25,0.0,0.625,,,,,,,,,
conch,tier_grouped,c,8,0.0,,,,,,,,,,,,,,,,0.25,0.0,0.625,0.4540964970865381,0.19255975487841154,0.704332386728497,0.5745823364704847,0.30877502366201953,0.8085244034416971,0.5745823364704847,0.30877502366201953,0.8085244034416971,0.25,0.0,0.625,,,,,,,,,
hoptimus,sex,female,134,0.47761194029850745,0.9258928571428572,0.8722097462384909,0.9694692530122098,0.8839442343971868,0.7874592039741032,0.9717597564291118,0.5121461666381042,0.32557302366496954,0.6702007204970387,0.8854910714285714,0.8293010752688172,0.9333807632584806,0.828125,0.7307539682539682,0.9142857142857143,0.9428571428571428,0.8857142857142857,0.9864864864864865,0.12171893369688647,0.08106438833043983,0.1670963273163699,0.12161266950737516,0.08577558818158569,0.18285813081493496,-0.11077353460783723,-0.16747544362581568,-0.05534886472316377,0.8880597014925373,0.8356343283582089,0.9328358208955224,0.9298245614035088,0.8571428571428571,0.9836065573770492,0.8571428571428571,0.775,0.9305555555555556,0.8760330578512396,0.8064516129032258,0.9305555555555556
hoptimus,sex,male,186,0.521505376344086,0.8799953666164717,0.8255743035221171,0.925510690306012,0.9061651719190504,0.8580257320502579,0.9450241443658308,0.3137672589287124,0.12452981701639915,0.4772244977385232,0.8046449669871423,0.7481352380852265,0.858727139966718,0.7216494845360825,0.6344086021505376,0.8076923076923077,0.8876404494382022,0.8163265306122449,0.9506172839506173,0.1712408155182225,0.12976961284866376,0.21427892544722488,0.1611892021816945,0.1219514312188176,0.22404603902795045,-0.16118920218169447,-0.21641427850055323,-0.10731863765019715,0.8010752688172043,0.7419354838709677,0.8548387096774194,0.875,0.8,0.943851092727497,0.7452830188679245,0.6632597604259095,0.8276036224312086,0.7909604519774012,0.7241265880217785,0.8520760489510489
hoptimus,age,20-39,104,0.7884615384615384,0.8702882483370288,0.7690426037377257,0.9522421248801316,0.9564670764822802,0.9152064244093613,0.9883819987929173,-0.08662632525045577,-0.8114276260571236,0.2822966807176558,0.8298226164079823,0.7252692429521699,0.9159582024645938,0.8414634146341463,0.7532427449094116,0.9186046511627907,0.8181818181818182,0.6363636363636364,0.9583749999999998,0.18123834049110782,0.12837960153015207,0.2409675663694778,0.20837968862794623,0.15737942127654184,0.29243912017353485,-0.2017954661278054,-0.27831842123772593,-0.1285986164016111,0.8365384615384616,0.7596153846153846,0.9038461538461539,0.9452054794520548,0.8888888888888888,0.9871794871794872,0.5806451612903226,0.3870967741935484,0.7586206896551724,0.8903225806451613,0.8311642582769344,0.9382716049382716
hoptimus,age,40-54,120,0.48333333333333334,0.8818131256952169,0.8097825476992143,0.94033435589809,0.8673020653962495,0.7652771502307731,0.9522087364171015,0.3357761343302583,0.0998016752273804,0.5288667685529759,0.8050611790878754,0.7335606060606061,0.8683046557559239,0.7068965517241379,0.5882119514472456,0.8181818181818182,0.9032258064516129,0.8214285714285714,0.967741935483871,0.1658714597880827,0.11546856757892468,0.22263752523754674,0.1683865859444874,0.11873424167056025,0.24727268073135444,-0.16318612340449667,-0.2312312577889922,-0.09706704526683708,0.8083333333333333,0.7333333333333333,0.875,0.8723404255319149,0.7674418604651163,0.9574468085106383,0.7671232876712328,0.6621621621621622,0.859375,0.780952380952381,0.6808510638297872,0.8571428571428571
hoptimus,age,55-69,82,0.1951219512195122,0.803030303030303,0.6206163194444444,0.9475032010243278,0.7459026674694268,0.5213795560961089,0.9141719769123618,0.41353540620392115,0.07541136761121282,0.7023788705302462,0.7821969696969697,0.6496212121212122,0.9051796157059315,0.625,0.375,0.8666666666666667,0.9393939393939394,0.873015873015873,0.9857142857142858,0.09210389813335208,0.04233687520417159,0.15213305280809503,0.07237177903809382,0.03384742723669993,0.14620218276523236,-0.02867060062112059,-0.09536697606573155,0.033242685054059744,0.8780487804878049,0.7926829268292683,0.9390243902439024,0.7142857142857143,0.4444444444444444,0.9333333333333333,0.9117647058823529,0.8333333333333334,0.9705988917306052,0.6666666666666666,0.43478260869565216,0.8461538461538461
hoptimus,age,70+,11,0.36363636363636365,0.75,0.3333333333333333,1.0,0.8409090909090909,0.5151515151515151,1.0,0.3589205694657682,-0.5481138039904393,0.9923064221954989,0.75,0.5,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.14834895913188834,0.001582426280143363,0.35805627794724304,0.15578997533091093,0.02934596955945546,0.3981943971562114,-0.1557899753309109,-0.39819439715621147,0.004153738526458125,0.8181818181818182,0.5454545454545454,1.0,1.0,0.0,1.0,0.7777777777777778,0.5,1.0,0.6666666666666666,0.0,1.0
