predictor,axis,contrast,metric,nA,nB,gap,lo,hi,p,mde,q_fdr,sig_fdr
uni2,sex,female - male,auroc,134,186,0.03774340777084606,-0.03310679243248726,0.10843470673755087,0.277,0.09971666562769159,0.6711538461538461,False
uni2,sex,female - male,auprc,134,186,-0.0024073651864000567,-0.10519270813846851,0.09557312697005955,0.946,0.14509331790464164,0.9854166666666666,False
uni2,sex,female - male,bss,134,186,0.20579427118664728,-0.027752995039768136,0.4344771416337836,0.084,0.3296189747686976,0.390625,False
uni2,sex,female - male,balanced_accuracy,134,186,0.0005193681636909142,-0.0829704931722308,0.084636425542343,0.963,0.11878973767055498,0.963,False
uni2,sex,female - male,sensitivity,134,186,0.021423969072164928,-0.13510819216990183,0.1744532069837378,0.767,0.225101976089522,0.8358695652173914,False
uni2,sex,female - male,specificity,134,186,-0.02038523274478321,-0.0771608503148806,0.032859890109890155,0.487,0.07968935778525574,0.6352173913043478,False
uni2,sex,female - male,brier,134,186,-0.051370408455315514,-0.10702572845732787,0.007072502740710962,0.085,0.08092866084308667,0.255,False
uni2,sex,female - male,ece,134,186,-0.03694544552434237,-0.09951401947610354,0.0355280715543609,0.292,0.09514108200722882,0.41714285714285715,False
uni2,sex,female - male,cal_gap,134,186,0.045879052305939916,-0.027314568729889972,0.12032415288339202,0.235,0.10885442856261784,0.37105263157894736,False
uni2,sex,female - male,accuracy,134,186,0.018054886856042396,-0.07599903707270093,0.10970951693147156,0.682,0.1328952134776081,0.8184,False
uni2,sex,female - male,ppv,134,186,-0.03928571428571426,-0.1342421413009648,0.051724137931034475,0.447,0.13617172022541368,0.745,False
uni2,sex,female - male,npv,134,186,0.0435351882160393,-0.08072502685284633,0.16310777537409885,0.472,0.1739297483144716,0.7374999999999999,False
uni2,sex,female - male,f1,134,186,0.005656108597285048,-0.12913162400222267,0.13070970302905927,0.904,0.18618632291823864,0.915,False
uni2,age,20-39 - rest,auroc,104,213,-0.01824888450904716,-0.15412111031719666,0.09718102891899068,0.785,0.1775690440198058,0.8854166666666666,False
uni2,age,20-39 - rest,auprc,104,213,0.09916213143751285,0.00965910484736166,0.1973405174798344,0.033,0.1342723663480845,0.14583333333333334,False
uni2,age,20-39 - rest,bss,104,213,-0.39668928539649617,-0.9561958186963896,-0.0353618393969191,0.033,0.6721150114655098,0.275,False
uni2,age,20-39 - rest,balanced_accuracy,104,213,0.0062987599572965625,-0.10094171054214277,0.1064781255725907,0.911,0.1477941364646496,0.9510416666666667,False
uni2,age,20-39 - rest,sensitivity,104,213,0.13414634146341464,-0.023395184186323432,0.2787513624586795,0.094,0.21602370868909077,0.3055555555555556,False
uni2,age,20-39 - rest,specificity,104,213,-0.12154882154882152,-0.2861957282913165,0.014598540145985384,0.105,0.21334167428682946,0.196875,False
uni2,age,20-39 - rest,brier,104,213,0.029372490866036133,-0.03040879646777681,0.09442517588305573,0.314,0.08829205981197037,0.483,False
uni2,age,20-39 - rest,ece,104,213,0.11605153757308265,0.03489015161657173,0.18825646020710554,0.005,0.10717524171868881,0.024999999999999998,True
uni2,age,20-39 - rest,cal_gap,104,213,-0.08797428962867404,-0.17394860313875923,-0.003275601185051757,0.045,0.12372179578313752,0.094,False
uni2,age,20-39 - rest,accuracy,104,213,-0.12481942939689417,-0.23013723365836047,-0.02509931383170827,0.016,0.14645356795112327,0.06857142857142857,False
uni2,age,20-39 - rest,ppv,104,213,-0.0057649667405764715,-0.09738426564278793,0.08145810955961326,0.92,0.1274773020024302,0.92,False
uni2,age,20-39 - rest,npv,104,213,-0.3855007119126721,-0.5397861669248002,-0.23308095952024024,0.0,0.2176881619712723,0.0,True
uni2,age,20-39 - rest,f1,104,213,0.10366190271729125,-0.02411754772831111,0.2301815219980091,0.112,0.17926748072780024,0.28,False
uni2,age,40-54 - rest,auroc,120,197,-0.03947506173009574,-0.11733653107842162,0.03258997982078108,0.32,0.10772508547214435,0.6711538461538461,False
uni2,age,40-54 - rest,auprc,120,197,-0.05159510412776536,-0.15919236312273222,0.04471875833160293,0.33,0.1448891427376183,0.64,False
uni2,age,40-54 - rest,bss,120,197,-0.14721643262739814,-0.40839009071446725,0.09940637505535835,0.245,0.360803132705726,0.6053571428571429,False
uni2,age,40-54 - rest,balanced_accuracy,120,197,-0.05426112720130494,-0.14345279162801486,0.03596028642717049,0.229,0.12415928016740133,0.7156250000000001,False
uni2,age,40-54 - rest,sensitivity,120,197,-0.10784313725490191,-0.27551151328241114,0.05518827349641662,0.209,0.23570155187095543,0.3762999452654625,False
uni2,age,40-54 - rest,specificity,120,197,-0.0006791171477079638,-0.05882529694570137,0.05714285714285716,0.969,0.0808855827100091,1.0,False
uni2,age,40-54 - rest,brier,120,197,0.03678239641033651,-0.025561499105689812,0.10006067202128695,0.251,0.08954765657658224,0.470625,False
uni2,age,40-54 - rest,ece,120,197,0.023075841671067035,-0.04371301796138581,0.10793707688980615,0.406,0.10831711205320371,0.4696153846153846,False
uni2,age,40-54 - rest,cal_gap,120,197,-0.02990489473878427,-0.11814806206656896,0.051461734234913896,0.463,0.1181865521410909,0.57875,False
uni2,age,40-54 - rest,accuracy,120,197,-0.04005922165820641,-0.1386209813874788,0.057445008460236924,0.419,0.14113841718692027,0.661578947368421,False
uni2,age,40-54 - rest,ppv,120,197,-0.018362282878412017,-0.1244199055090033,0.07693327441449394,0.793,0.14268232264684091,0.8858695652173914,False
uni2,age,40-54 - rest,npv,120,197,-0.02281239359891052,-0.15420330885605596,0.10119220653377627,0.737,0.17988920664106178,0.8956560680698612,False
uni2,age,40-54 - rest,f1,120,197,-0.0908295768014532,-0.2432611018014243,0.04781221845463312,0.2,0.20221357004579957,0.3383333333333333,False
uni2,age,55-69 - rest,auroc,82,235,-0.07892107892107891,-0.2362002198255993,0.05972285680600723,0.321,0.2172672502121566,0.6711538461538461,False
uni2,age,55-69 - rest,auprc,82,235,-0.16290193986304813,-0.3731295405615282,0.011853569337998702,0.072,0.27943251798252483,0.18,False
uni2,age,55-69 - rest,bss,82,235,0.16164417961700595,-0.15686842663091005,0.4764323399532034,0.339,0.45702742536947527,0.6053571428571429,False
uni2,age,55-69 - rest,balanced_accuracy,82,235,0.024000305250305276,-0.11165692233831334,0.16283484098343606,0.742,0.1955006255573026,0.9275,False
uni2,age,55-69 - rest,sensitivity,82,235,-0.00694444444444442,-0.2721380190007037,0.2631342469075915,0.993,0.38516908212815143,0.993,False
uni2,age,55-69 - rest,specificity,82,235,0.05494505494505497,0.011904761904761862,0.10526315789473684,0.009,0.0653894889145866,0.02454545454545454,True
uni2,age,55-69 - rest,brier,82,235,-0.07984084526815294,-0.13788280987829363,-0.017262736538410185,0.018,0.08727290531590286,0.08625,False
uni2,age,55-69 - rest,ece,82,235,-0.10169778943001903,-0.15793777713975604,-0.020754927651648408,0.012,0.09757898481206954,0.03272727272727272,True
uni2,age,55-69 - rest,cal_gap,82,235,0.14341853208613708,0.06581714788627102,0.22113395923816878,0.0,0.11421199757325726,0.0,True
uni2,age,55-69 - rest,accuracy,82,235,0.19974052932018682,0.1169032174364297,0.2879605604566683,0.0,0.12090341882841572,0.0,True
uni2,age,55-69 - rest,ppv,82,235,0.05747126436781613,0.012044606999426314,0.10989010989010994,0.01,0.09430929793995563,0.125,False
uni2,age,55-69 - rest,npv,82,235,0.3230285079600148,0.2199931910195069,0.4302204203002222,0.0,0.15109686498760347,0.0,True
uni2,age,55-69 - rest,f1,82,235,0.010043290043289965,-0.24662109820004557,0.20533426722946188,0.915,0.32800528629872666,0.915,False
uni2,age,70+ - rest,auroc,11,306,-0.08023809523809522,-0.4591357466248397,0.12459982808762772,0.7007389162561576,0.4554132881158228,0.8342129955430447,False
uni2,age,70+ - rest,auprc,11,306,-0.03859650984384699,-0.33979111905802395,0.13307368207232392,0.9236453201970444,0.34632032438620075,0.9854166666666666,False
uni2,age,70+ - rest,bss,11,306,-0.0683920153083194,-0.8583295379931929,0.41483403001595487,0.7056650246305419,0.9321260296368502,0.8556547619047619,False
uni2,age,70+ - rest,balanced_accuracy,11,306,-0.14679487179487172,-0.3005765826174321,0.08421747503969997,0.20935960591133004,0.3026956227833608,0.7156250000000001,False
uni2,age,70+ - rest,sensitivity,11,306,-0.32692307692307687,-0.6312056737588653,0.13489397044836485,0.17980295566502463,0.6043519805857169,0.3762999452654625,False
uni2,age,70+ - rest,specificity,11,306,0.033333333333333326,0.006802721088435382,0.06685682326621922,0.008620689655172414,0.04155327326544057,0.02454545454545454,True
uni2,age,70+ - rest,brier,11,306,0.005447955886072553,-0.109291463808757,0.1958604789940449,0.8571428571428571,0.22319333768306457,0.9396551724137931,False
uni2,age,70+ - rest,ece,11,306,0.046567213317059514,-0.056761381807007974,0.26778041441491574,0.31157635467980294,0.23358532837983573,0.4248768472906404,False
uni2,age,70+ - rest,cal_gap,11,306,-0.03206088467635579,-0.2640092746355539,0.11164194016349516,0.5886699507389163,0.2708976259552708,0.6792345585449033,False
uni2,age,70+ - rest,accuracy,11,306,-0.04070112893642308,-0.3363042186571598,0.14904188948306582,0.5517241379310345,0.34424949141841105,0.7523510971786834,False
uni2,age,70+ - rest,ppv,11,306,0.052631578947368474,-0.9776342072409487,0.0980392156862745,0.5689655172413793,1.2605352300274004,0.7828947368421053,False
uni2,age,70+ - rest,npv,11,306,0.012796208530805653,-0.3025735094850948,0.20953978714653984,0.9384236453201971,0.36580177645869455,0.9775246305418719,False
uni2,age,70+ - rest,f1,11,306,-0.31713147410358566,-0.7593154223714803,0.1179457799271938,0.19704433497536947,0.7493197788454002,0.3383333333333333,False
uni2,tier,a - c,specificity,312,8,0.4933774834437086,0.125,0.8680094043887148,0.007,0.5040196787677487,0.02333333333333333,True
