family,signal,aurc,aurc_lo,aurc_hi,eaurc,risk@90%,risk@80%,risk@70%,risk@50%,predictor
deep_ensemble,de_aleatoric_conch,0.12292797817889609,0.07158746360529429,0.18277565805192325,0.11083495893383105,0.13194444444444445,0.109375,0.09821428571428571,0.09375,conch
deep_ensemble,de_predictive_entropy_conch,0.12309174926840798,0.07106098815267207,0.18359453483283758,0.11099873002334294,0.13194444444444445,0.1015625,0.09821428571428571,0.0875,conch
deep_ensemble,de_within_fold_mi_conch,0.13032626944028042,0.07476383234636322,0.1907524057118407,0.11823325019521538,0.125,0.109375,0.11160714285714286,0.09375,conch
epistemic,within_encoder_mi_conch,0.13533865566295006,0.08667227613522364,0.1918438541570807,0.12324563641788502,0.13541666666666666,0.1328125,0.125,0.14375,conch
laplace,laplace_aleatoric_conch,0.1252356431663782,0.0737569407702422,0.1853896706183048,0.11314262392131316,0.13194444444444445,0.109375,0.10714285714285714,0.0875,conch
laplace,laplace_predictive_entropy_conch,0.12697032366870845,0.07550653068486758,0.1861900332589054,0.11487730442364341,0.1388888888888889,0.1171875,0.10714285714285714,0.09375,conch
laplace,laplace_epistemic_mi_conch,0.12959791652439595,0.07881543041257666,0.18694092684763688,0.11750489727933092,0.13194444444444445,0.1171875,0.11160714285714286,0.1125,conch
mc_dropout,mc_epistemic_mi_conch,0.12582599051141327,0.07462396517925816,0.18630548172667027,0.11373297126634824,0.13541666666666666,0.1171875,0.10267857142857142,0.0875,conch
mc_dropout,mc_aleatoric_conch,0.12596140327692798,0.07349668086154283,0.18651577252844673,0.11386838403186295,0.13194444444444445,0.109375,0.10714285714285714,0.0875,conch
mc_dropout,mc_predictive_entropy_conch,0.12662609825210278,0.07397893816874539,0.18723163568124923,0.11453307900703774,0.13541666666666666,0.109375,0.10267857142857142,0.0875,conch
predictive,aleatoric_conch,0.1254198428870164,0.07330215109448023,0.18612652544418584,0.11332682364195137,0.1388888888888889,0.109375,0.10267857142857142,0.0875,conch
predictive,entropy_conch,0.12620095715291574,0.07376299231090355,0.18628904945513655,0.1141079379078507,0.1423611111111111,0.109375,0.10267857142857142,0.0875,conch
reference,random,0.15,,,0.13790698075493496,0.15,0.15,0.15,0.15,conch
