family,signal,aurc,aurc_lo,aurc_hi,eaurc,risk@90%,risk@80%,risk@70%,risk@50%,predictor
deep_ensemble,de_predictive_entropy,0.10716526458266432,0.0645735636406433,0.1569344776658868,0.09402371411379347,0.1388888888888889,0.11328125,0.10267857142857142,0.09375,ensemble
deep_ensemble,de_aleatoric,0.10938716237137949,0.06640321264559822,0.15972476151806897,0.09624561190250865,0.1388888888888889,0.125,0.11160714285714286,0.09375,ensemble
deep_ensemble,de_within_fold_mi,0.11735934867636173,0.07093887274699476,0.17416744969782816,0.10421779820749089,0.13194444444444445,0.125,0.10714285714285714,0.0875,ensemble
epistemic,between_encoder_mi,0.1069796815740478,0.0648180401972045,0.1559736669544485,0.09383813110517696,0.1388888888888889,0.12109375,0.11160714285714286,0.10625,ensemble
epistemic,total_mi,0.10728697260279933,0.06895244804482967,0.15207673734321073,0.09414542213392849,0.14583333333333334,0.125,0.10714285714285714,0.10625,ensemble
epistemic,mean_within_encoder_mi,0.1216879777451381,0.0770496358071713,0.17547221696855866,0.10854642727626726,0.1527777777777778,0.1484375,0.14285714285714285,0.1125,ensemble
laplace,laplace_aleatoric,0.10979740732658763,0.06674236591708313,0.16007674681828007,0.09665585685771678,0.1388888888888889,0.125,0.10714285714285714,0.1,ensemble
laplace,laplace_predictive_entropy,0.11076716285691979,0.06701701970320738,0.1639771549699146,0.09762561238804894,0.14583333333333334,0.12109375,0.10714285714285714,0.09375,ensemble
laplace,laplace_epistemic_mi,0.12056995530912266,0.07430298866611894,0.1748064328801775,0.10742840484025182,0.14930555555555555,0.13671875,0.11607142857142858,0.1,ensemble
mc_dropout,mc_aleatoric,0.10837451857108649,0.06572051312297861,0.15844834567393806,0.09523296810221564,0.1388888888888889,0.1171875,0.10714285714285714,0.09375,ensemble
mc_dropout,mc_predictive_entropy,0.1083922565822876,0.06571074532515751,0.15872466615115038,0.09525070611341675,0.14930555555555555,0.12109375,0.10714285714285714,0.0875,ensemble
mc_dropout,mc_epistemic_mi,0.12219433533841025,0.07425469616392037,0.17883152148313053,0.1090527848695394,0.1423611111111111,0.125,0.12053571428571429,0.1,ensemble
ood,ood_attention_hoptimus,0.10171852359950631,0.06503863288672583,0.14308563290659063,0.08857697313063546,0.1423611111111111,0.12890625,0.12946428571428573,0.11875,ensemble
ood,ood_maha_attention_hoptimus,0.10451764471048319,0.06722155585923252,0.1484012930192587,0.09137609424161235,0.13541666666666666,0.13671875,0.13839285714285715,0.125,ensemble
ood,ood_maha_mean_hoptimus,0.12860266579909202,0.08363386657476463,0.18029481772580422,0.11546111533022117,0.14930555555555555,0.1484375,0.14732142857142858,0.1375,ensemble
ood,ood_maha_topk_hoptimus,0.12921261094229977,0.08350707117239281,0.18281244958633822,0.11607106047342892,0.1527777777777778,0.14453125,0.15178571428571427,0.13125,ensemble
ood,ood_mean_hoptimus,0.13113083987449237,0.08540965142523069,0.18318188356653983,0.11798928940562152,0.14930555555555555,0.1484375,0.13839285714285715,0.1375,ensemble
ood,ood_topk_hoptimus,0.1330702236198697,0.08606463364675641,0.18478552094480438,0.11992867315099885,0.1527777777777778,0.15625,0.15178571428571427,0.125,ensemble
ood,ood_maha_attention_uni2,0.13435324841654314,0.0866188580821943,0.18746680471660201,0.1212116979476723,0.1597222222222222,0.15625,0.14732142857142858,0.1375,ensemble
ood,ood_attention_uni2,0.13458893105909236,0.08732914112740055,0.18639875162175157,0.12144738059022152,0.15625,0.15234375,0.15625,0.1375,ensemble
ood,ood_maha_topk_uni2,0.14155748387201977,0.09394499399779653,0.19398947168731706,0.1284159334031489,0.1527777777777778,0.1484375,0.15625,0.15625,ensemble
ood,ood_topk_uni2,0.15888694402195824,0.10582247340360164,0.21762614029145283,0.14574539355308738,0.16319444444444445,0.15625,0.14285714285714285,0.16875,ensemble
ood,ood_maha_mean_uni2,0.16452493780847915,0.1065511773949656,0.2279007592527841,0.1513833873396083,0.1527777777777778,0.1484375,0.14285714285714285,0.15,ensemble
ood,ood_mean_uni2,0.17362363244870035,0.1132552414040185,0.23748093767057513,0.1604820819798295,0.15625,0.14453125,0.13839285714285715,0.14375,ensemble
predictive,ensemble_entropy,0.10774980587331354,0.06540524920630378,0.15742387483657355,0.09460825540444269,0.14583333333333334,0.12109375,0.10714285714285714,0.0875,ensemble
predictive,aleatoric,0.10817730391055277,0.065605633081877,0.1594182866239703,0.09503575344168193,0.1388888888888889,0.12109375,0.10714285714285714,0.09375,ensemble
reference,random,0.15625,,,0.14310844953112914,0.15625,0.15625,0.15625,0.15625,ensemble
