family,signal,aurc,aurc_lo,aurc_hi,eaurc,risk@90%,risk@80%,risk@70%,risk@50%,predictor
deep_ensemble,de_aleatoric_hoptimus,0.11039903616487445,0.06893059528324955,0.15834042484768696,0.09616265785836423,0.1527777777777778,0.1328125,0.11607142857142858,0.09375,hoptimus
deep_ensemble,de_predictive_entropy_hoptimus,0.11162402616848222,0.06915108034936338,0.16030406815964215,0.09738764786197199,0.15625,0.14453125,0.12053571428571429,0.09375,hoptimus
deep_ensemble,de_within_fold_mi_hoptimus,0.11647972117709278,0.07453555703638423,0.1662531226594675,0.10224334287058255,0.15625,0.14453125,0.14732142857142858,0.09375,hoptimus
epistemic,within_encoder_mi_hoptimus,0.1270795713505059,0.08601305549612959,0.17558558832692325,0.11284319304399568,0.1597222222222222,0.16015625,0.16071428571428573,0.11875,hoptimus
laplace,laplace_aleatoric_hoptimus,0.12310944473184171,0.07439286535835601,0.17352414061264126,0.10887306642533148,0.15625,0.1484375,0.12946428571428573,0.10625,hoptimus
laplace,laplace_epistemic_mi_hoptimus,0.12466441526705865,0.07724702539568991,0.1748552299096858,0.11042803696054843,0.14930555555555555,0.1484375,0.13392857142857142,0.11875,hoptimus
laplace,laplace_predictive_entropy_hoptimus,0.12505296436111232,0.0764420877012366,0.17586541260892294,0.1108165860546021,0.16666666666666666,0.1484375,0.12946428571428573,0.10625,hoptimus
mc_dropout,mc_aleatoric_hoptimus,0.11829564788441993,0.074702653357134,0.16704744364505794,0.1040592695779097,0.15625,0.14453125,0.12946428571428573,0.10625,hoptimus
mc_dropout,mc_predictive_entropy_hoptimus,0.12033882465737203,0.07651050165362734,0.16946100691903704,0.1061024463508618,0.1701388888888889,0.1484375,0.13392857142857142,0.10625,hoptimus
mc_dropout,mc_epistemic_mi_hoptimus,0.12834295335537735,0.07887045797061722,0.18062288183552186,0.11410657504886712,0.15625,0.1484375,0.12946428571428573,0.10625,hoptimus
ood,ood_attention_hoptimus,0.12002373335453057,0.08079347616943533,0.1674201788199877,0.10578735504802034,0.14930555555555555,0.140625,0.14285714285714285,0.13125,hoptimus
ood,ood_maha_attention_hoptimus,0.12261472986649821,0.08331241430621886,0.16969643567659023,0.10837835155998798,0.14583333333333334,0.14453125,0.15178571428571427,0.13125,hoptimus
ood,ood_maha_mean_hoptimus,0.14145144188736883,0.09769276627984678,0.19243057057445195,0.1272150635808586,0.1597222222222222,0.16015625,0.15178571428571427,0.15,hoptimus
ood,ood_mean_hoptimus,0.14237556532060916,0.09733620935684865,0.19520580582411917,0.12813918701409893,0.1597222222222222,0.16015625,0.14732142857142858,0.15,hoptimus
ood,ood_maha_topk_hoptimus,0.1457742288107648,0.09942422320577227,0.20100297259303737,0.13153785050425457,0.16319444444444445,0.15234375,0.16071428571428573,0.1375,hoptimus
ood,ood_topk_hoptimus,0.1512952542359378,0.1017575545329393,0.20876720408151295,0.13705887592942756,0.1597222222222222,0.1640625,0.15178571428571427,0.13125,hoptimus
predictive,aleatoric_hoptimus,0.11611828192433753,0.0737723345902698,0.16404113058734907,0.1018819036178273,0.15625,0.1484375,0.12946428571428573,0.10625,hoptimus
predictive,entropy_hoptimus,0.11788081062890132,0.07469865672297155,0.16628791246194397,0.1036444323223911,0.16666666666666666,0.1484375,0.12946428571428573,0.10625,hoptimus
reference,random,0.1625,,,0.14826362169348978,0.1625,0.1625,0.1625,0.1625,hoptimus
