family,signal,aurc,aurc_lo,aurc_hi,eaurc,risk@90%,risk@80%,risk@70%,risk@50%,predictor
deep_ensemble,de_aleatoric_uni2,0.11182071143079819,0.07565495977895986,0.15210976580427515,0.08154988530638616,0.1840277777777778,0.1328125,0.13392857142857142,0.125,uni2
deep_ensemble,de_predictive_entropy_uni2,0.11240293271627666,0.07656512810271289,0.15385749528849382,0.08213210659186462,0.1701388888888889,0.140625,0.13392857142857142,0.125,uni2
deep_ensemble,de_within_fold_mi_uni2,0.1289777234888386,0.08630618474437923,0.17941653261713597,0.09870689736442656,0.1909722222222222,0.1640625,0.15178571428571427,0.11875,uni2
epistemic,within_encoder_mi_uni2,0.13393794903914386,0.09378255790594443,0.1798404432822137,0.10366712291473182,0.2013888888888889,0.1875,0.15625,0.13125,uni2
laplace,laplace_aleatoric_uni2,0.10583426072374418,0.07137664250550206,0.14594456150208546,0.07556343459933212,0.18055555555555555,0.12890625,0.12053571428571429,0.10625,uni2
laplace,laplace_predictive_entropy_uni2,0.10779548479538985,0.07258551983833511,0.14883239379011998,0.0775246586709778,0.16666666666666666,0.13671875,0.12946428571428573,0.1125,uni2
laplace,laplace_epistemic_mi_uni2,0.12268734269632009,0.08472298765265499,0.16641021005875156,0.09241651657190805,0.2048611111111111,0.17578125,0.15178571428571427,0.13125,uni2
mc_dropout,mc_aleatoric_uni2,0.10501593629981967,0.07054261406024338,0.1449478613937934,0.07474511017540764,0.18055555555555555,0.12890625,0.12053571428571429,0.1,uni2
mc_dropout,mc_predictive_entropy_uni2,0.10599845704172428,0.07134177572802068,0.14687003222183326,0.07572763091731224,0.1701388888888889,0.1328125,0.12946428571428573,0.10625,uni2
mc_dropout,mc_epistemic_mi_uni2,0.1257283451654476,0.08690048349283172,0.17153606163370883,0.09545751904103555,0.19791666666666666,0.1796875,0.16071428571428573,0.125,uni2
ood,ood_maha_topk_uni2,0.20636300752766693,0.15377217279215283,0.2675088925477472,0.1760921814032549,0.2326388888888889,0.234375,0.24107142857142858,0.2375,uni2
ood,ood_attention_uni2,0.21401948256205036,0.15729451392597113,0.27468023179962764,0.18374865643763832,0.22916666666666666,0.22265625,0.22321428571428573,0.225,uni2
ood,ood_maha_attention_uni2,0.22107640911261423,0.16186460576043885,0.28248253499508613,0.1908055829882022,0.2326388888888889,0.234375,0.22321428571428573,0.2375,uni2
ood,ood_topk_uni2,0.23108118444271128,0.1721662964033537,0.2993072226100296,0.20081035831829924,0.23958333333333334,0.234375,0.23214285714285715,0.2375,uni2
ood,ood_maha_mean_uni2,0.243623364088449,0.17857861315933485,0.31189212861124344,0.21335253796403697,0.2222222222222222,0.2265625,0.24107142857142858,0.23125,uni2
ood,ood_mean_uni2,0.250764460663552,0.18607089074064145,0.32037815265550623,0.22049363453913998,0.22916666666666666,0.2265625,0.22767857142857142,0.23125,uni2
predictive,aleatoric_uni2,0.10491676004679959,0.07041357979317564,0.144782469592314,0.07464593392238755,0.18055555555555555,0.1328125,0.12053571428571429,0.1,uni2
predictive,entropy_uni2,0.10586391867482389,0.071080479680026,0.14653643996041188,0.07559309255041186,0.1701388888888889,0.13671875,0.12946428571428573,0.10625,uni2
reference,random,0.234375,,,0.20410417387558796,0.234375,0.234375,0.234375,0.234375,uni2
