family,signal,aurc,aurc_lo,aurc_hi,eaurc,risk@90%,risk@80%,risk@70%,risk@50%,predictor
deep_ensemble,de_aleatoric_uni2,0.10685221702294401,0.07193362259320765,0.1473341085410976,0.08967394126542452,0.16319444444444445,0.1328125,0.13392857142857142,0.125,uni2+hoptimus
deep_ensemble,de_predictive_entropy_uni2,0.10826550647304393,0.07319431212606674,0.14937812738791048,0.09108723071552444,0.14930555555555555,0.14453125,0.13392857142857142,0.125,uni2+hoptimus
deep_ensemble,de_aleatoric_hoptimus,0.11087372257156143,0.06969659087401166,0.1588341266091612,0.09369544681404193,0.1527777777777778,0.1328125,0.11607142857142858,0.09375,uni2+hoptimus
deep_ensemble,de_predictive_entropy_hoptimus,0.11264557270887576,0.07086344519415554,0.1608820916456277,0.09546729695135628,0.15625,0.14453125,0.12053571428571429,0.09375,uni2+hoptimus
deep_ensemble,de_within_fold_mi_hoptimus,0.12071215605464158,0.07831941161035752,0.17013494815359154,0.1035338802971221,0.1701388888888889,0.15625,0.15178571428571427,0.09375,uni2+hoptimus
deep_ensemble,de_within_fold_mi_uni2,0.12167803947801974,0.08025552360086548,0.17045213105055038,0.10449976372050024,0.1597222222222222,0.1484375,0.15178571428571427,0.11875,uni2+hoptimus
epistemic,within_encoder_mi_uni2,0.12454108951858481,0.08434490094858348,0.1713666931892876,0.10736281376106532,0.1736111111111111,0.1640625,0.14732142857142858,0.13125,uni2+hoptimus
epistemic,within_encoder_mi_hoptimus,0.12910959740184308,0.08604753516170713,0.17759502112488718,0.1119313216443236,0.1701388888888889,0.16015625,0.16071428571428573,0.11875,uni2+hoptimus
laplace,laplace_aleatoric_uni2,0.10091212575330785,0.0671544970368686,0.14026738834845992,0.08373384999578837,0.1527777777777778,0.12890625,0.12053571428571429,0.10625,uni2+hoptimus
laplace,laplace_predictive_entropy_uni2,0.10404043061636851,0.07006722074041306,0.14438401471576343,0.08686215485884902,0.1527777777777778,0.140625,0.12946428571428573,0.1125,uni2+hoptimus
laplace,laplace_epistemic_mi_uni2,0.11284515356225118,0.07613654041771024,0.15531621321060726,0.09566687780473168,0.16319444444444445,0.15234375,0.14285714285714285,0.13125,uni2+hoptimus
laplace,laplace_aleatoric_hoptimus,0.12419590103991249,0.07562732599022605,0.17919296668280088,0.107017625282393,0.16319444444444445,0.1484375,0.12946428571428573,0.10625,uni2+hoptimus
laplace,laplace_epistemic_mi_hoptimus,0.12424184452821992,0.07603555445891491,0.17780857447145024,0.10706356877070042,0.14930555555555555,0.14453125,0.13392857142857142,0.11875,uni2+hoptimus
laplace,laplace_predictive_entropy_hoptimus,0.1255008625464472,0.07685033843317385,0.17981811172572357,0.10832258678892773,0.1597222222222222,0.1484375,0.12946428571428573,0.10625,uni2+hoptimus
mc_dropout,mc_aleatoric_uni2,0.09968881632729241,0.06598445726577921,0.1384444949480651,0.08251054056977292,0.15625,0.1328125,0.12053571428571429,0.1,uni2+hoptimus
mc_dropout,mc_predictive_entropy_uni2,0.10202727291975018,0.06835767349487,0.14089939689557615,0.08484899716223068,0.1527777777777778,0.13671875,0.12946428571428573,0.10625,uni2+hoptimus
mc_dropout,mc_epistemic_mi_uni2,0.1187920835891723,0.08099041390307292,0.16256516536982682,0.1016138078316528,0.1736111111111111,0.15234375,0.16071428571428573,0.125,uni2+hoptimus
mc_dropout,mc_aleatoric_hoptimus,0.11904201445131062,0.07467522709847803,0.17101108291802503,0.10186373869379112,0.16319444444444445,0.14453125,0.12946428571428573,0.10625,uni2+hoptimus
mc_dropout,mc_predictive_entropy_hoptimus,0.12070488598507975,0.07665663627213008,0.17295738157917315,0.10352661022756027,0.16319444444444445,0.1484375,0.13392857142857142,0.10625,uni2+hoptimus
mc_dropout,mc_epistemic_mi_hoptimus,0.12936011463794198,0.0793068408675166,0.1841785201208876,0.11218183888042249,0.1597222222222222,0.14453125,0.12946428571428573,0.10625,uni2+hoptimus
ood,ood_attention_hoptimus,0.11122952277055838,0.07610157029708063,0.15255129405616746,0.09405124701303888,0.15625,0.1484375,0.14732142857142858,0.11875,uni2+hoptimus
ood,ood_maha_attention_hoptimus,0.11496793212253262,0.07885346949464861,0.155675780880685,0.09778965636501313,0.1527777777777778,0.15234375,0.16071428571428573,0.125,uni2+hoptimus
ood,ood_maha_topk_hoptimus,0.147724130747158,0.10165249752730206,0.1988138063237835,0.13054585498963853,0.1736111111111111,0.1640625,0.17410714285714285,0.15625,uni2+hoptimus
ood,ood_maha_mean_hoptimus,0.14895390324992808,0.10388070986140546,0.2015169914312933,0.1317756274924086,0.1701388888888889,0.171875,0.16964285714285715,0.1625,uni2+hoptimus
ood,ood_mean_hoptimus,0.15048370278482606,0.10374121843746097,0.20605988504198353,0.13330542702730658,0.1701388888888889,0.171875,0.16071428571428573,0.1625,uni2+hoptimus
ood,ood_topk_hoptimus,0.15351605664052137,0.10634011410848651,0.20613506370163132,0.13633778088300189,0.1736111111111111,0.17578125,0.16071428571428573,0.15,uni2+hoptimus
ood,ood_maha_attention_uni2,0.15404509704362906,0.104618159452139,0.2100659025338697,0.13686682128610958,0.17708333333333334,0.17578125,0.17410714285714285,0.1625,uni2+hoptimus
ood,ood_attention_uni2,0.15589912787236693,0.10911918897719568,0.21091666732812636,0.13872085211484744,0.1736111111111111,0.171875,0.18303571428571427,0.1625,uni2+hoptimus
ood,ood_maha_topk_uni2,0.17109135383937302,0.12109119605896852,0.22617414835719787,0.15391307808185353,0.1701388888888889,0.171875,0.18303571428571427,0.1875,uni2+hoptimus
ood,ood_topk_uni2,0.19014773480915204,0.1355652066290226,0.2511238987186621,0.17296945905163255,0.18055555555555555,0.17578125,0.17410714285714285,0.20625,uni2+hoptimus
ood,ood_maha_mean_uni2,0.19245018190962476,0.13380886681518173,0.2579508110559574,0.17527190615210528,0.16666666666666666,0.16796875,0.17410714285714285,0.1875,uni2+hoptimus
ood,ood_mean_uni2,0.20436808294860712,0.14289088135871522,0.2715682548924946,0.18718980719108763,0.1701388888888889,0.16796875,0.16964285714285715,0.175,uni2+hoptimus
predictive,aleatoric_uni2,0.09955201710647807,0.06612216955314806,0.1385711310279232,0.08237374134895858,0.1527777777777778,0.13671875,0.12053571428571429,0.1,uni2+hoptimus
predictive,entropy_uni2,0.10200313089164244,0.0685227880930876,0.1407987973926166,0.08482485513412294,0.1527777777777778,0.140625,0.12946428571428573,0.10625,uni2+hoptimus
predictive,aleatoric_hoptimus,0.11687223604211847,0.07350859634816366,0.16757508217522518,0.09969396028459898,0.16319444444444445,0.1484375,0.12946428571428573,0.10625,uni2+hoptimus
predictive,entropy_hoptimus,0.11837465471339137,0.07552541869426158,0.16935887382343576,0.10119637895587189,0.1597222222222222,0.1484375,0.12946428571428573,0.10625,uni2+hoptimus
reference,random,0.178125,,,0.16094672424248052,0.178125,0.178125,0.178125,0.178125,uni2+hoptimus
