predictor,source,brier,ece,auroc
uni2,plain (base ensemble prediction),0.13944068489257977,0.12946823744568972,0.901050822297746
uni2,mc_dropout,0.13943443367154013,0.12914162847859023,0.9012070784015
uni2,deep_ensemble,0.1449940323563355,0.14389649342674318,0.9007383100902379
uni2,laplace,0.1405457168736784,0.12487742374506251,0.9014805265830697
conch,plain (base ensemble prediction),0.1279290448683911,0.09209036106185522,0.8946833860697684
conch,mc_dropout,0.1279323991172296,0.09280058477176661,0.8946052580178914
conch,deep_ensemble,0.12390454289301175,0.07467893653783841,0.8931598890581663
conch,laplace,0.12971311828312987,0.09811942967006246,0.8939021055509981
hoptimus,plain (base ensemble prediction),0.15050352750553805,0.14007764138514173,0.8983944685339271
hoptimus,mc_dropout,0.150940523020669,0.14141537038825533,0.8973397398335873
hoptimus,deep_ensemble,0.14017515652931056,0.12345763098492227,0.8990194929489433
hoptimus,laplace,0.1505621669061547,0.14520836131875003,0.8986288526895582
uni2+hoptimus,plain (base ensemble prediction),0.14041059705066578,0.1332697263947921,0.9041759443728271
uni2+hoptimus,mc_dropout,0.14077203565778879,0.1350410618173577,0.9037071760615649
uni2+hoptimus,deep_ensemble,0.13845518680449498,0.1303903302409242,0.9038243681393805
uni2+hoptimus,laplace,0.1414986956154484,0.13665404666940628,0.9045665846322122
ensemble,plain (base ensemble prediction),0.1299887662764287,0.11749539011507294,0.9068713621625845
ensemble,mc_dropout,0.1304522403263852,0.11812460931525749,0.9065979139810149
ensemble,deep_ensemble,0.12686412667123298,0.10826233887027434,0.9049181608656588
ensemble,laplace,0.13199510512346518,0.12273507157795832,0.9064025938513223
