predictor,family,signal,mean_mutant,mean_wildtype,mean_diff_mutant_minus_wildtype,lo,hi,p,corr_with_error,corr_with_error_p,corr_with_true_mutant_label,corr_with_true_mutant_label_p,q_fdr,sig_fdr,q_fdr_err,sig_fdr_err,q_fdr_class,sig_fdr_class
uni2,deep_ensemble,de_predictive_entropy_uni2,0.39022218112332396,0.20588722130402004,0.18433495981930392,0.14514965639372568,0.2226888346472119,0.0,0.42142588425011707,3.294750136926691e-15,0.4488112556207377,2.8888781028634404e-17,0.0,True,1.6473750684633455e-14,True,1.4444390514317202e-16,True
uni2,epistemic,within_encoder_mi_uni2,0.07401384909089528,0.034448127602628456,0.03956572148826683,0.02894024041705397,0.05034837959460248,0.0,0.301660712700082,3.714897307149445e-08,0.3731133933310906,5.234668888754117e-12,0.0,True,1.8574486535747224e-07,True,6.543336110942647e-12,True
uni2,laplace,laplace_predictive_entropy_uni2,0.4253669898185595,0.261216270536539,0.16415071928202052,0.1246770607271309,0.20180079401268305,0.0,0.4273804698762364,1.2196467779325204e-15,0.4250740438510049,1.7964508581623624e-15,0.0,True,6.0982338896626024e-15,True,2.9940847636039373e-15,True
uni2,mc_dropout,mc_predictive_entropy_uni2,0.40114827224772626,0.24832339748360782,0.15282487476411843,0.11276193747403856,0.19218720851655843,0.0,0.4438373112242051,7.051661184469897e-17,0.39047920845238887,4.244970860697084e-13,0.0,True,3.5258305922349487e-16,True,7.074951434495139e-13,True
uni2,ood,ood_attention_uni2,84.98572312822994,85.92356039563066,-0.9378372674007238,-1.937936351181089,0.0024052452222324446,0.052,0.06816896098931205,0.22395197667272862,-0.10501648114833245,0.06059597183617925,0.057,False,0.44790395334545724,False,0.06059597183617925,False
uni2,predictive,entropy_uni2,0.4001396571022782,0.24710102073993562,0.1530386363623426,0.1134715087048343,0.19278263041877555,0.0,0.4442624498096971,6.537512985216568e-17,0.3899369899263765,4.601757063856698e-13,0.0,True,3.268756492608284e-16,True,7.669595106427831e-13,True
conch,deep_ensemble,de_predictive_entropy_conch,0.37283121626896,0.2650959177782776,0.10773529849068236,0.06184893262814299,0.15333875117918563,0.0,0.21007648072314677,0.00015334765700729521,0.2530363294814848,4.5715842911476246e-06,0.0,True,0.00019168457125911902,True,4.5715842911476246e-06,True
conch,epistemic,within_encoder_mi_conch,0.02353353510403056,0.011003221155646982,0.012530313948383578,0.007844558099507338,0.017386441581510703,0.0,0.0839485223808916,0.13400692406527753,0.2755116646741338,5.54458717106075e-07,0.0,True,0.22252284186570573,False,5.54458717106075e-07,True
conch,laplace,laplace_epistemic_mi_conch,0.04785738766782609,0.032777868729522014,0.015079518938304073,0.009582921336948949,0.020541305360236795,0.0,0.1454186795856653,0.009187158209763319,0.2851976781466544,2.1030633738232945e-07,0.0,True,0.011483947762204148,True,2.1030633738232948e-07,True
conch,mc_dropout,mc_predictive_entropy_conch,0.39947694014360996,0.2605735162793566,0.13890342386425336,0.09620800025421034,0.1827473289160549,0.0,0.1836044509959297,0.000968028661956509,0.33510768445352646,7.755540061856637e-10,0.0,True,0.0012100358274456362,True,7.755540061856637e-10,True
conch,predictive,entropy_conch,0.39472365483512056,0.25647144822758455,0.138252206607536,0.09550161284038905,0.18279805403454213,0.0,0.18508017295062829,0.0008789846871456483,0.3320645299983075,1.124938024889726e-09,0.0,True,0.0010987308589320605,True,1.124938024889726e-09,True
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.33468871479548645,0.1987947834465821,0.13589393134890435,0.09638730181143554,0.17463304309898744,0.0,0.19384058081965588,0.0004883116466431878,0.35991991541010854,3.201610624905265e-11,0.0,True,0.0004883116466431878,True,4.002013281131581e-11,True
hoptimus,epistemic,within_encoder_mi_hoptimus,0.03627822207308211,0.012129400643125484,0.024148821429956627,0.018346089260293377,0.03058805858136163,0.0,0.025280628542597113,0.6523240547939564,0.38805671252633955,6.080889778009939e-13,0.0,True,0.6523240547939564,False,1.5202224445024847e-12,True
hoptimus,laplace,laplace_epistemic_mi_hoptimus,0.04560725102881988,0.020045176024805034,0.025562075004014844,0.020417595180778916,0.030851024915632894,0.0,0.1274428205470251,0.022598785595663088,0.46681454512710147,1.0088005337763663e-18,0.0,True,0.022598785595663088,True,3.1424379743440596e-18,True
hoptimus,mc_dropout,mc_aleatoric_hoptimus,0.3293531169252924,0.17219189529170195,0.15716122163359045,0.11475971360371678,0.1941763994524686,0.0,0.1523285450739925,0.006329147322773144,0.40755345724071235,3.095783066530296e-14,0.0,True,0.006329147322773144,True,7.739457666325741e-14,True
hoptimus,ood,ood_attention_hoptimus,89.37203159687682,90.63714024765687,-1.26510865078005,-2.316316001603276,-0.17690768378940164,0.023,0.11862014256478491,0.03391068433296512,-0.13184033676023338,0.01829905001752809,0.057,False,0.13564273733186047,False,0.06059597183617925,False
hoptimus,predictive,aleatoric_hoptimus,0.3261242892528508,0.16873846273666918,0.15738582651618163,0.11701251242282823,0.19854406931553492,0.0,0.15943493403870862,0.004246986607257704,0.40116091614230687,8.397735037196418e-14,0.0,True,0.004246986607257704,True,2.0994337592991046e-13,True
uni2+hoptimus,deep_ensemble,de_aleatoric_uni2,0.31603931368836424,0.1721824470548156,0.14385686663354863,0.10955444769740053,0.17599743881401378,0.0,0.21130361986692991,0.00013997691763137192,0.44333431861083505,7.711376860106065e-17,0.0,True,0.00019168457125911902,True,1.9278442150265163e-16,True
uni2+hoptimus,epistemic,within_encoder_mi_uni2,0.07401384909089528,0.034448127602628456,0.03956572148826683,0.029482810552815385,0.049968499915989534,0.0,0.11818621834938359,0.03457356958540693,0.3731133933310906,5.234668888754117e-12,0.0,True,0.08643392396351732,False,6.543336110942647e-12,True
uni2+hoptimus,laplace,laplace_aleatoric_uni2,0.3303623489503105,0.21530026628364776,0.11506208266666276,0.0850708217425385,0.14483155923696064,0.0,0.24506946769244736,9.224863722801031e-06,0.39070653836862246,4.1035616878833843e-13,0.0,True,2.3062159307002577e-05,True,5.12945210985423e-13,True
uni2+hoptimus,mc_dropout,mc_aleatoric_uni2,0.32619418019941887,0.21253825128586304,0.11365592891355583,0.08249398218383226,0.14671107962186472,0.0,0.254488568335946,4.01220244970674e-06,0.3596683582761884,3.311443419781896e-11,0.0,True,1.003050612426685e-05,True,4.13930427472737e-11,True
uni2+hoptimus,ood,ood_attention_uni2,84.98572312822994,85.92356039563066,-0.9378372674007238,-1.9195035048852571,0.0174405755821201,0.053,0.030076206858752022,0.5919340834625282,-0.10501648114833245,0.06059597183617925,0.057,False,0.7892454446167042,False,0.06059597183617925,False
uni2+hoptimus,predictive,aleatoric_uni2,0.3261258080113829,0.21265289313730718,0.11347291487407574,0.08247768274363282,0.14442309011164314,0.0,0.2545430782475312,3.9925330719846255e-06,0.3572718659410196,4.5596223430230014e-11,0.0,True,9.981332679961563e-06,True,5.6995279287787514e-11,True
ensemble,deep_ensemble,de_predictive_entropy,0.41703709858510557,0.24534755735586367,0.1716895412292419,0.13036991853726493,0.21467496902781466,0.0,0.22682692854220082,4.2175455024644085e-05,0.40222524199560455,7.12275147488681e-14,0.0,True,0.00010543863756161021,True,1.1871252458144684e-13,True
ensemble,epistemic,mean_within_encoder_mi,0.04460853542266932,0.019193583133800308,0.025414952288869013,0.01944769948645436,0.03138417471797724,0.0,0.07548091578834472,0.17801827349256458,0.4310142765518546,6.586327960304811e-16,0.0,True,0.22252284186570573,False,3.2931639801524057e-15,True
ensemble,laplace,laplace_predictive_entropy,0.4552042910698438,0.2639952435357819,0.19120904753406187,0.14952811044236616,0.22997971455353475,0.0,0.19479855188494732,0.0004571946372968486,0.4656661975247103,1.2569751897376238e-18,0.0,True,0.0007619910621614144,True,3.1424379743440596e-18,True
ensemble,mc_dropout,mc_predictive_entropy,0.4281882328369526,0.24475039072431257,0.18343784211264005,0.14424500540256843,0.2243497346872951,0.0,0.20885419592363447,0.00016784774520518165,0.43790220579478845,2.0068702852703002e-16,0.0,True,0.0002797462420086361,True,1.00343514263515e-15,True
ensemble,ood,ood_attention_uni2,84.98572312822994,85.92356039563066,-0.9378372674007238,-1.9124120201955166,0.01902232142052605,0.057,0.010104760817220322,0.8571080634068033,-0.10501648114833245,0.06059597183617925,0.057,False,0.8571080634068033,False,0.06059597183617925,False
ensemble,predictive,ensemble_entropy,0.4247711668318374,0.2412081768915305,0.1835629899403069,0.14121412381717105,0.2232246136625232,0.0,0.2125960499879807,0.0001270813265089446,0.43561476950394373,2.986921147835807e-16,0.0,True,0.000211802210848241,True,1.4934605739179034e-15,True
