predictor,family,target_coverage,signal_locked,cutoff_locked,signal_recal,cutoff_recal,primary_n,primary_achieved_cov,primary_nnd,primary_retained_acc,primary_full_auroc,primary_retained_auroc,primary_retained_auroc_lo,primary_retained_auroc_hi,primary_retained_auroc_mde,primary_retained_accuracy_lo,primary_retained_accuracy_hi,primary_retained_accuracy_mde,primary_d_full_auroc,primary_d_full_accuracy,primary_n_retained_errors,primary_pct_cw_retained,primary_tier_cov_A,primary_tier_cov_B,primary_tier_cov_C,primary_class_cov_mutant,primary_class_cov_wildtype,held_n,locked_held_achieved_cov,locked_held_retained_acc,locked_held_retained_auroc,locked_held_n_retained_errors,locked_held_pct_cw_retained,locked_held_class_cov_mutant,locked_held_class_cov_wildtype,recal_held_achieved_cov,recal_held_retained_acc,recal_held_retained_auroc,recal_held_n_retained_errors,recal_held_pct_cw_retained,recal_held_class_cov_mutant,recal_held_class_cov_wildtype
uni2,deep_ensemble,0.9,de_predictive_entropy_uni2,0.5499486526479767,de_aleatoric_uni2,0.49665240837421765,320,0.803125,1.657894736842106,0.8560311284046692,0.901050822297746,0.8964901477832512,0.8523014162561577,0.9341764162561577,0.058515252482907926,0.8171206225680934,0.8949416342412452,0.05561790713318848,-0.004560674514494822,0.09040612840466922,37,83.78378378378379,0.8044871794871795,,0.75,0.6956521739130435,0.9119496855345912,102,0.7647058823529411,0.8846153846153846,0.8922558922558923,9,100.0,0.673469387755102,0.8490566037735849,0.9117647058823529,0.8172043010752689,0.88945420906568,17,52.94117647058823,0.9387755102040817,0.8867924528301887
uni2,deep_ensemble,0.8,de_predictive_entropy_uni2,0.3849441407053632,de_aleatoric_uni2,0.4072557225390796,320,0.684375,2.2444444444444445,0.863013698630137,0.901050822297746,0.8812533380808261,0.8270095246572904,0.9272787965105929,0.07166145659570483,0.821917808219178,0.9041095890410958,0.058741652602312726,-0.01979748421691996,0.097388698630137,30,100.0,0.6826923076923077,,0.75,0.5093167701863354,0.8616352201257862,102,0.6470588235294118,0.8636363636363636,0.8946341463414634,9,100.0,0.5102040816326531,0.7735849056603774,0.7450980392156863,0.881578947368421,0.8927556818181818,9,100.0,0.6530612244897959,0.8301886792452831
uni2,deep_ensemble,0.7,de_predictive_entropy_uni2,0.2581915602326582,de_aleatoric_uni2,0.309165628690199,320,0.534375,2.7592592592592595,0.8771929824561403,0.901050822297746,0.8676047329708986,0.7985249440358171,0.9302886152862169,0.0941701922600553,0.8304093567251462,0.9181286549707602,0.06269211461942736,-0.03344608932684745,0.1115679824561403,21,100.0,0.5352564102564102,,0.5,0.32919254658385094,0.7421383647798742,102,0.5,0.8627450980392157,0.9107142857142857,7,100.0,0.32653061224489793,0.660377358490566,0.6274509803921569,0.859375,0.8918345705196182,9,100.0,0.46938775510204084,0.7735849056603774
uni2,epistemic,0.9,within_encoder_mi_uni2,0.077761414609609,within_encoder_mi_uni2,0.12567320205583402,320,0.765625,2.4999999999999996,0.8163265306122449,0.901050822297746,0.8812300430376232,0.8344005969734832,0.9270529640427599,0.06621773010317919,0.7755102040816326,0.8571428571428571,0.05834204952338542,-0.019820779260122823,0.050701530612244916,45,68.88888888888889,0.7596153846153846,,1.0,0.6086956521739131,0.9245283018867925,102,0.7450980392156863,0.8289473684210527,0.8782098312545855,13,69.23076923076923,0.5918367346938775,0.8867924528301887,0.8627450980392157,0.8409090909090909,0.8826315789473684,14,64.28571428571429,0.7755102040816326,0.9433962264150944
uni2,epistemic,0.8,within_encoder_mi_uni2,0.0403670274994633,within_encoder_mi_uni2,0.08891226960957643,320,0.603125,2.591836734693878,0.8652849740932642,0.901050822297746,0.8630087209302325,0.8018350290697674,0.9195827277131783,0.0841531153026021,0.8186528497409327,0.9067357512953368,0.06295197830696898,-0.038042101367513514,0.09965997409326421,26,88.46153846153847,0.6025641025641025,,0.625,0.39751552795031053,0.8113207547169812,102,0.5980392156862745,0.8524590163934426,0.888095238095238,9,88.88888888888889,0.42857142857142855,0.7547169811320755,0.7745098039215687,0.8354430379746836,0.8817204301075269,13,69.23076923076923,0.6326530612244898,0.9056603773584906
uni2,epistemic,0.7,within_encoder_mi_uni2,0.0315977860992276,within_encoder_mi_uni2,0.056758745673012735,320,0.509375,2.907407407407408,0.8711656441717791,0.901050822297746,0.8676520557254502,0.7979909955827387,0.9240868161739721,0.09011943546791443,0.8282208588957055,0.9141104294478528,0.061384426339022136,-0.03339876657229579,0.10554064417177911,21,95.23809523809524,0.5096153846153846,,0.5,0.33540372670807456,0.6855345911949685,102,0.5392156862745098,0.8727272727272727,0.8932748538011696,7,100.0,0.3877551020408163,0.6792452830188679,0.6862745098039216,0.8428571428571429,0.8854895104895105,11,72.72727272727273,0.5306122448979592,0.8301886792452831
uni2,laplace,0.9,laplace_predictive_entropy_uni2,0.5974481112250644,laplace_aleatoric_uni2,0.49817099220000005,320,0.8375,1.368421052631579,0.8619402985074627,0.901050822297746,0.897972972972973,0.8551745495495495,0.9349141328828829,0.05698909131764136,0.8208955223880597,0.8992537313432836,0.05600183671601079,-0.003077849324773063,0.09631529850746268,37,83.78378378378379,0.8397435897435898,,0.75,0.7453416149068323,0.9308176100628931,102,0.8137254901960784,0.8795180722891566,0.8935672514619883,10,90.0,0.7755102040816326,0.8490566037735849,0.8921568627450981,0.8241758241758241,0.8927536231884058,16,56.25,0.9183673469387755,0.8679245283018868
uni2,laplace,0.8,laplace_predictive_entropy_uni2,0.395867769682806,laplace_aleatoric_uni2,0.4269998568,320,0.634375,2.3877551020408156,0.8719211822660099,0.901050822297746,0.8798735511064278,0.8217860906217072,0.9285590094836671,0.0763095487700108,0.8323891625615764,0.9113300492610837,0.05641827073522208,-0.02117727119131818,0.1062961822660099,26,100.0,0.6314102564102564,,0.75,0.453416149068323,0.8176100628930818,102,0.6176470588235294,0.8571428571428571,0.8967391304347826,9,100.0,0.46938775510204084,0.7547169811320755,0.7647058823529411,0.8846153846153846,0.8961640211640212,9,100.0,0.7346938775510204,0.7924528301886793
uni2,laplace,0.7,laplace_predictive_entropy_uni2,0.2924097903067271,laplace_aleatoric_uni2,0.3574119269999999,320,0.509375,2.754385964912281,0.8895705521472392,0.901050822297746,0.8567498165810712,0.7789618488628027,0.9198459280997799,0.10068845761677844,0.8466257668711656,0.9325153374233128,0.06138442633902206,-0.044301005716674835,0.12394555214723924,18,100.0,0.5128205128205128,,0.375,0.2919254658385093,0.7295597484276729,102,0.46078431372549017,0.851063829787234,0.922077922077922,7,100.0,0.2857142857142857,0.6226415094339622,0.6764705882352942,0.8695652173913043,0.8974137931034483,9,100.0,0.5918367346938775,0.7547169811320755
uni2,mc_dropout,0.9,mc_predictive_entropy_uni2,0.5577051500565943,mc_aleatoric_uni2,0.5131123866915325,320,0.8125,1.5384615384615379,0.8615384615384616,0.901050822297746,0.901978363516825,0.8594121690275537,0.93778913394298,0.05601524141520846,0.8191346153846154,0.9,0.057793690355990156,0.0009275412190790089,0.09591346153846159,36,86.11111111111111,0.8141025641025641,,0.75,0.7267080745341615,0.89937106918239,102,0.7941176470588235,0.8765432098765432,0.8943488943488943,10,90.0,0.7551020408163265,0.8301886792452831,0.8921568627450981,0.8241758241758241,0.8927536231884058,16,56.25,0.9183673469387755,0.8679245283018868
