predictor,family,signal,target_coverage,axis,level,n,n_retained,realised_coverage
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,sex,female,134,108,0.8059701492537313
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,sex,male,186,149,0.8010752688172043
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,age,20-39,104,76,0.7307692307692307
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,age,40-54,120,93,0.775
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,age,55-69,82,77,0.9390243902439024
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,age,70+,11,9,0.8181818181818182
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,tier,a,312,251,0.8044871794871795
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,tier,c,8,6,0.75
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,tier_grouped,c,8,6,0.75
uni2,deep_ensemble,de_predictive_entropy_uni2,0.8,sex,female,134,92,0.6865671641791045
uni2,deep_ensemble,de_predictive_entropy_uni2,0.8,sex,male,186,127,0.6827956989247311
uni2,deep_ensemble,de_predictive_entropy_uni2,0.8,age,20-39,104,55,0.5288461538461539
uni2,deep_ensemble,de_predictive_entropy_uni2,0.8,age,40-54,120,84,0.7
uni2,deep_ensemble,de_predictive_entropy_uni2,0.8,age,55-69,82,69,0.8414634146341463
uni2,deep_ensemble,de_predictive_entropy_uni2,0.8,age,70+,11,9,0.8181818181818182
uni2,deep_ensemble,de_predictive_entropy_uni2,0.8,tier,a,312,213,0.6826923076923077
uni2,deep_ensemble,de_predictive_entropy_uni2,0.8,tier,c,8,6,0.75
uni2,deep_ensemble,de_predictive_entropy_uni2,0.8,tier_grouped,c,8,6,0.75
uni2,deep_ensemble,de_predictive_entropy_uni2,0.7,sex,female,134,75,0.5597014925373134
uni2,deep_ensemble,de_predictive_entropy_uni2,0.7,sex,male,186,96,0.5161290322580645
uni2,deep_ensemble,de_predictive_entropy_uni2,0.7,age,20-39,104,36,0.34615384615384615
uni2,deep_ensemble,de_predictive_entropy_uni2,0.7,age,40-54,120,66,0.55
uni2,deep_ensemble,de_predictive_entropy_uni2,0.7,age,55-69,82,60,0.7317073170731707
uni2,deep_ensemble,de_predictive_entropy_uni2,0.7,age,70+,11,8,0.7272727272727273
uni2,deep_ensemble,de_predictive_entropy_uni2,0.7,tier,a,312,167,0.5352564102564102
uni2,deep_ensemble,de_predictive_entropy_uni2,0.7,tier,c,8,4,0.5
uni2,deep_ensemble,de_predictive_entropy_uni2,0.7,tier_grouped,c,8,4,0.5
uni2,epistemic,within_encoder_mi_uni2,0.9,sex,female,134,101,0.753731343283582
uni2,epistemic,within_encoder_mi_uni2,0.9,sex,male,186,144,0.7741935483870968
uni2,epistemic,within_encoder_mi_uni2,0.9,age,20-39,104,72,0.6923076923076923
uni2,epistemic,within_encoder_mi_uni2,0.9,age,40-54,120,89,0.7416666666666667
uni2,epistemic,within_encoder_mi_uni2,0.9,age,55-69,82,73,0.8902439024390244
uni2,epistemic,within_encoder_mi_uni2,0.9,age,70+,11,9,0.8181818181818182
uni2,epistemic,within_encoder_mi_uni2,0.9,tier,a,312,237,0.7596153846153846
uni2,epistemic,within_encoder_mi_uni2,0.9,tier,c,8,8,1.0
uni2,epistemic,within_encoder_mi_uni2,0.9,tier_grouped,c,8,8,1.0
uni2,epistemic,within_encoder_mi_uni2,0.8,sex,female,134,82,0.6119402985074627
uni2,epistemic,within_encoder_mi_uni2,0.8,sex,male,186,111,0.5967741935483871
uni2,epistemic,within_encoder_mi_uni2,0.8,age,20-39,104,44,0.4230769230769231
uni2,epistemic,within_encoder_mi_uni2,0.8,age,40-54,120,75,0.625
uni2,epistemic,within_encoder_mi_uni2,0.8,age,55-69,82,64,0.7804878048780488
