family,predictor,signal,n_gains
deep_ensemble,conch,de_aleatoric_conch,8
deep_ensemble,uni2+hoptimus,de_aleatoric_uni2,8
deep_ensemble,uni2,de_aleatoric_uni2,6
deep_ensemble,ensemble,de_predictive_entropy,2
deep_ensemble,hoptimus,de_aleatoric_hoptimus,2
epistemic,conch,within_encoder_mi_conch,5
epistemic,ensemble,between_encoder_mi,2
epistemic,uni2,within_encoder_mi_uni2,1
epistemic,uni2+hoptimus,within_encoder_mi_uni2,1
laplace,uni2,laplace_aleatoric_uni2,11
laplace,conch,laplace_aleatoric_conch,5
laplace,ensemble,laplace_aleatoric,5
laplace,hoptimus,laplace_aleatoric_hoptimus,5
laplace,uni2+hoptimus,laplace_aleatoric_uni2,5
mc_dropout,uni2,mc_aleatoric_uni2,13
mc_dropout,uni2+hoptimus,mc_aleatoric_uni2,7
mc_dropout,conch,mc_epistemic_mi_conch,4
mc_dropout,ensemble,mc_aleatoric,4
mc_dropout,hoptimus,mc_aleatoric_hoptimus,3
ood,hoptimus,ood_attention_hoptimus,8
ood,uni2+hoptimus,ood_attention_hoptimus,5
ood,ensemble,ood_attention_hoptimus,4
predictive,uni2,aleatoric_uni2,11
predictive,conch,aleatoric_conch,9
predictive,uni2+hoptimus,aleatoric_uni2,8
predictive,hoptimus,aleatoric_hoptimus,3
predictive,ensemble,ensemble_entropy,2
