predictor,family,signal,contrast,mean_diff,lo,hi,p,q_fdr,sig_fdr
uni2,deep_ensemble,de_aleatoric_uni2,A - C,-0.036210703256011084,-0.17258362085164325,0.0796578650396608,0.616,0.798,False
uni2,epistemic,within_encoder_mi_uni2,A - C,0.020969241975962533,0.0072381201574012915,0.03384148683145284,0.004,0.01,True
uni2,laplace,laplace_aleatoric_uni2,A - C,-0.03643349515352562,-0.15339297921644227,0.07254887953104966,0.536,0.579,False
uni2,mc_dropout,mc_aleatoric_uni2,A - C,-0.035996924398483676,-0.17771426365845686,0.08364784724260178,0.608,0.765,False
uni2,ood,ood_maha_topk_uni2,A - C,5.336044126610929,-1.5802266966659768,10.862216597926837,0.123,0.123,False
uni2,predictive,aleatoric_uni2,A - C,-0.03672391569392719,-0.17299879523713976,0.08888183060436744,0.6,0.703,False
conch,deep_ensemble,de_aleatoric_conch,A - C,-0.022616432102495143,-0.15869486394925858,0.10005901206336149,0.783,0.798,False
conch,epistemic,within_encoder_mi_conch,A - C,-0.008271356932477266,-0.02327238465181195,0.00579237540243307,0.255,0.3425,False
conch,laplace,laplace_aleatoric_conch,A - C,-0.04004534423621792,-0.1660915239932051,0.08274402200908641,0.579,0.579,False
conch,mc_dropout,mc_epistemic_mi_conch,A - C,-0.00023967976908086542,-0.002773558010675513,0.002154675335521852,0.899,0.899,False
conch,predictive,aleatoric_conch,A - C,-0.04354818511427727,-0.20036916911632865,0.1102568265995992,0.603,0.703,False
hoptimus,deep_ensemble,de_aleatoric_hoptimus,A - C,-0.03857869707986494,-0.17438714955723147,0.08652575753008757,0.57,0.798,False
hoptimus,epistemic,within_encoder_mi_hoptimus,A - C,0.003146038535392432,-0.012478445870621703,0.016719345228569216,0.648,0.648,False
hoptimus,laplace,laplace_aleatoric_hoptimus,A - C,-0.044669009229102524,-0.17017247682823397,0.07361567882208013,0.492,0.579,False
hoptimus,mc_dropout,mc_aleatoric_hoptimus,A - C,-0.04494560846351059,-0.18360220470365585,0.09472215663106905,0.557,0.765,False
hoptimus,ood,ood_attention_hoptimus,A - C,-4.281076304117832,-7.748560371398918,-0.47646919556153633,0.028,0.037333333333333336,True
hoptimus,predictive,aleatoric_hoptimus,A - C,-0.04691921818099798,-0.19144877258319665,0.08614102582031409,0.547,0.703,False
uni2+hoptimus,deep_ensemble,de_aleatoric_uni2,A - C,-0.036210703256011084,-0.17917448444795428,0.07771224833835268,0.659,0.798,False
uni2+hoptimus,epistemic,within_encoder_mi_uni2,A - C,0.020969241975962533,0.007409918179255544,0.033750228164600514,0.004,0.01,True
uni2+hoptimus,laplace,laplace_aleatoric_uni2,A - C,-0.03643349515352562,-0.15881767968717944,0.07262790142026433,0.536,0.579,False
uni2+hoptimus,mc_dropout,mc_aleatoric_uni2,A - C,-0.035996924398483676,-0.17193478305348087,0.08670169092507166,0.612,0.765,False
uni2+hoptimus,ood,ood_attention_hoptimus,A - C,-4.281076304117832,-7.580832992578147,-0.6134404812103711,0.024,0.037333333333333336,True
uni2+hoptimus,predictive,aleatoric_uni2,A - C,-0.03672391569392719,-0.17268937954783545,0.09160415331984968,0.649,0.703,False
ensemble,deep_ensemble,de_predictive_entropy,A - C,-0.018041975968625834,-0.16666312707608916,0.11993941737639965,0.798,0.798,False
ensemble,epistemic,between_encoder_mi,A - C,0.009821595333191914,-0.009749834257007808,0.02299572815326821,0.274,0.3425,False
ensemble,laplace,laplace_aleatoric,A - C,-0.040382616206281974,-0.15317192475277397,0.06456812485772587,0.482,0.579,False
ensemble,mc_dropout,mc_aleatoric,A - C,-0.041229905202140704,-0.17106528349254996,0.07294128849999323,0.553,0.765,False
ensemble,ood,ood_attention_hoptimus,A - C,-4.281076304117832,-7.5409097310824365,-0.6600104894393569,0.023,0.037333333333333336,True
ensemble,predictive,ensemble_entropy,A - C,-0.027294204245403075,-0.17336958991757406,0.1119337852881509,0.703,0.703,False
