family,signal,target_coverage,eval_set,n_retained,n_eval,specificity_retained,specificity_full,d_specificity,ppv_retained,ppv_full,d_ppv
predictive,aleatoric_uni2,0.9,full_held_out,91,102,0.782608695652174,0.6792452830188679,0.10336341263330606,0.8,0.7213114754098361,0.07868852459016396
predictive,aleatoric_uni2,0.9,level_a_only,85,94,0.85,0.7555555555555555,0.09444444444444444,0.8695652173913043,0.8,0.06956521739130428
predictive,aleatoric_uni2,0.8,full_held_out,79,102,0.8571428571428571,0.6792452830188679,0.1778975741239892,0.8421052631578947,0.7213114754098361,0.1207937877480586
predictive,aleatoric_uni2,0.8,level_a_only,73,94,0.9444444444444444,0.7555555555555555,0.18888888888888888,0.9411764705882353,0.8,0.14117647058823524
predictive,aleatoric_uni2,0.7,full_held_out,71,102,0.9,0.6792452830188679,0.22075471698113214,0.8666666666666667,0.7213114754098361,0.1453551912568306
predictive,aleatoric_uni2,0.7,level_a_only,65,94,1.0,0.7555555555555555,0.24444444444444446,1.0,0.8,0.19999999999999996
laplace,laplace_aleatoric_uni2,0.9,full_held_out,91,102,0.782608695652174,0.6792452830188679,0.10336341263330606,0.8,0.7213114754098361,0.07868852459016396
laplace,laplace_aleatoric_uni2,0.9,level_a_only,85,94,0.85,0.7555555555555555,0.09444444444444444,0.8695652173913043,0.8,0.06956521739130428
laplace,laplace_aleatoric_uni2,0.8,full_held_out,78,102,0.8571428571428571,0.6792452830188679,0.1778975741239892,0.8378378378378378,0.7213114754098361,0.11652636242800174
laplace,laplace_aleatoric_uni2,0.8,level_a_only,72,94,0.9444444444444444,0.7555555555555555,0.18888888888888888,0.9393939393939394,0.8,0.1393939393939394
laplace,laplace_aleatoric_uni2,0.7,full_held_out,69,102,0.9,0.6792452830188679,0.22075471698113214,0.8571428571428571,0.7213114754098361,0.135831381733021
laplace,laplace_aleatoric_uni2,0.7,level_a_only,63,94,1.0,0.7555555555555555,0.24444444444444446,1.0,0.8,0.19999999999999996
mc_dropout,mc_aleatoric_uni2,0.9,full_held_out,91,102,0.782608695652174,0.6792452830188679,0.10336341263330606,0.8,0.7213114754098361,0.07868852459016396
mc_dropout,mc_aleatoric_uni2,0.9,level_a_only,85,94,0.85,0.7555555555555555,0.09444444444444444,0.8695652173913043,0.8,0.06956521739130428
mc_dropout,mc_aleatoric_uni2,0.8,full_held_out,79,102,0.8571428571428571,0.6792452830188679,0.1778975741239892,0.8421052631578947,0.7213114754098361,0.1207937877480586
mc_dropout,mc_aleatoric_uni2,0.8,level_a_only,73,94,0.9444444444444444,0.7555555555555555,0.18888888888888888,0.9411764705882353,0.8,0.14117647058823524
mc_dropout,mc_aleatoric_uni2,0.7,full_held_out,69,102,0.9,0.6792452830188679,0.22075471698113214,0.8571428571428571,0.7213114754098361,0.135831381733021
mc_dropout,mc_aleatoric_uni2,0.7,level_a_only,63,94,1.0,0.7555555555555555,0.24444444444444446,1.0,0.8,0.19999999999999996
deep_ensemble,de_aleatoric_uni2,0.9,full_held_out,93,102,0.7659574468085106,0.6792452830188679,0.08671216378964275,0.7884615384615384,0.7213114754098361,0.06715006305170235
deep_ensemble,de_aleatoric_uni2,0.9,level_a_only,87,94,0.8292682926829268,0.7555555555555555,0.07371273712737125,0.8541666666666666,0.8,0.054166666666666585
deep_ensemble,de_aleatoric_uni2,0.8,full_held_out,76,102,0.8181818181818182,0.6792452830188679,0.13893653516295035,0.7714285714285715,0.7213114754098361,0.050117096018735374
deep_ensemble,de_aleatoric_uni2,0.8,level_a_only,70,94,0.8947368421052632,0.7555555555555555,0.13918128654970763,0.8709677419354839,0.8,0.07096774193548383
deep_ensemble,de_aleatoric_uni2,0.7,full_held_out,64,102,0.8780487804878049,0.6792452830188679,0.198803497468937,0.782608695652174,0.7213114754098361,0.06129722024233786
deep_ensemble,de_aleatoric_uni2,0.7,level_a_only,58,94,0.9714285714285714,0.7555555555555555,0.21587301587301588,0.9473684210526315,0.8,0.14736842105263148
