stratum,group,n,n_idh_mutant,n_idh_wildtype,pct_idh_mutant,pct_idh_wildtype,age_median,ki67_median,pct_male
Overall,All curated cases,321,162,159,50.5%,49.5%,45,20,58.3%
Subtype,Glioblastoma,166,23,143,13.9%,86.1%,54,26,55.4%
Subtype,Astrocytoma,85,73,12,85.9%,14.1%,35,9,63.5%
Subtype,Oligodendroglioma,70,66,4,94.3%,5.7%,42,14,58.6%
WHO Grade,Grade 1,2,0,2,0.0%,100.0%,21,3,50.0%
WHO Grade,Grade 2,57,54,3,94.7%,5.3%,39,3,52.6%
WHO Grade,Grade 3,87,74,13,85.1%,14.9%,40,16,65.5%
WHO Grade,Grade 4,175,34,141,19.4%,80.6%,53,28,56.6%
Sex,Male,187,98,89,52.4%,47.6%,46,20,100.0%
Sex,Female,134,64,70,47.8%,52.2%,45,20,0.0%
ATRX,retained,241,90,151,37.3%,62.7%,50,22,57.7%
ATRX,lost,80,72,8,90.0%,10.0%,35,10,60.0%
p53,negative,192,82,110,42.7%,57.3%,50,20,57.8%
p53,positive,129,80,49,62.0%,38.0%,40,19,58.9%
Site,Frontal,104,73,31,70.2%,29.8%,40,16,54.8%
Site,Temporal,74,27,47,36.5%,63.5%,50,20,64.9%
Site,Parietal,56,22,34,39.3%,60.7%,46,22,55.4%
Site,Other / unspecified,34,17,17,50.0%,50.0%,46,20,55.9%
Site,Occipital,25,7,18,28.0%,72.0%,53,28,64.0%
Site,Insular,13,10,3,76.9%,23.1%,40,10,46.2%
Site,Corpus callosum,7,4,3,57.1%,42.9%,56,18,71.4%
Site,Thalamus,5,1,4,20.0%,80.0%,46,16,40.0%
Site,Cerebellum,2,0,2,0.0%,100.0%,51,12,100.0%
Site,Ventricle,1,1,0,100.0%,0.0%,43,55,100.0%
