patient,ood_topk_hoptimus,ood_attention_hoptimus,ood_mean_hoptimus
IN Brain-0238,104.65782012939454,87.90320129394532,82.7180679321289
IN Brain-0052,111.21404876708985,91.43745574951171,86.81116333007813
IN Brain-0321,104.78068084716797,87.76962432861328,81.5333251953125
IN Brain-0345,113.92899932861329,98.78366394042969,85.58873596191407
IN Brain-0349,103.66378479003906,85.07032470703125,78.69199981689454
IN Brain-0239,106.03876647949218,88.52604370117187,84.15779418945313
IN Brain-0260,105.09988708496094,89.64369201660156,84.57664947509765
IN Brain-0252,110.58958892822265,89.9969497680664,85.78443603515625
IN Brain-0275,103.58770904541015,88.28927917480469,80.98372344970703
IN Brain-0042,118.65848846435547,103.47598419189453,94.19054260253907
IN Brain-0316,112.87271575927734,97.71583251953125,90.9465103149414
IN Brain-0138,104.45974731445312,84.11446685791016,79.42551879882812
IN Brain-0044,123.12383575439453,106.16990203857422,94.84362030029297
IN Brain-0143,99.14134063720704,78.996533203125,75.98734588623047
IN Brain-0150,101.43710327148438,83.15247802734375,77.34706573486328
IN Brain-0251,106.12217712402344,87.18220520019531,83.64449920654297
IN Brain-0224,113.29097137451171,90.96587371826172,85.46941223144532
IN Brain-0112,114.08407592773438,89.61351470947265,87.39588470458985
IN Brain-0181,110.37900085449219,88.58238677978515,82.7229248046875
IN Brain-0240,110.37937774658204,96.97973022460937,87.35355224609376
IN Brain-0126,109.19796905517578,84.88728790283203,82.53019561767579
IN Brain-0081,103.50951385498047,83.24929351806641,79.8304229736328
IN Brain-0035,102.35928344726562,82.85583953857422,79.83705596923828
IN Brain-0269,104.07874298095703,80.48856811523437,76.60762329101563
IN Brain-0297,111.69678192138672,96.95096130371094,87.29634399414063
IN Brain-0057,107.07081146240235,87.47495574951172,84.45437469482422
IN Brain-0363,109.69811553955078,89.76359100341797,84.2373779296875
IN Brain-0064,104.16578369140625,91.58925323486328,81.6540542602539
IN Brain-0222,110.65393829345703,88.23865356445313,83.59552001953125
IN Brain-0249,107.55197601318359,88.03548889160156,85.45153198242187
IN Brain-0104,106.65997772216797,84.86800537109374,84.16544494628906
IN Brain-0225,91.19108428955079,75.00731353759765,72.09337768554687
IN Brain-0086,110.07410888671875,93.8593963623047,86.29226989746094
IN Brain-0130,114.88323516845703,94.45106353759766,90.27048950195312
IN Brain-0153,109.60730590820313,89.20120849609376,82.9070816040039
IN Brain-0353,105.42812042236328,85.86922302246094,83.55602722167968
IN Brain-0004,111.92317810058594,87.42233123779297,82.97787933349609
IN Brain-0237,110.03485412597657,89.9832275390625,85.70734100341797
IN Brain-0161,115.22166595458984,96.42381439208984,90.96565093994141
IN Brain-0047,105.12250518798828,86.1570831298828,76.46513061523437
IN Brain-0320,102.73905029296876,85.21037139892579,75.06732940673828
IN Brain-0074,102.1638412475586,83.37276000976563,79.32747497558594
IN Brain-0242,126.58384704589844,93.79158020019531,98.38385620117188
IN Brain-0056,104.49197692871094,86.675634765625,81.59382629394531
IN Brain-0220,113.55689544677735,91.02698211669922,83.25073699951172
IN Brain-0180,105.3812973022461,88.64332580566406,83.70077972412109
IN Brain-0329,101.4357421875,75.52488708496094,75.21516418457031
IN Brain-0078,112.27646331787109,101.10411834716797,87.77592315673829
IN Brain-0365,90.84676055908203,74.75110168457032,69.09976654052734
IN Brain-0002,102.98025665283203,80.99298858642578,79.90735473632813
IN Brain-0068,100.59059143066406,82.02133026123047,74.50670471191407
IN Brain-0299,120.50530090332032,98.54768371582031,91.79478454589844
IN Brain-0069,102.03362121582032,81.54395751953125,77.0200912475586
IN Brain-0308,109.75644378662109,92.23001708984376,85.71237640380859
IN Brain-0358,104.09451904296876,89.75785369873047,83.4297607421875
IN Brain-0266,102.97576904296875,88.32855682373047,82.7368148803711
IN Brain-0060,103.49380035400391,85.55918579101562,82.57281341552735
IN Brain-0154,104.28521423339843,89.20863494873046,79.45348205566407
IN Brain-0123,114.37186889648437,88.28023376464844,88.43120880126953
IN Brain-0331,102.70144805908203,85.56413269042969,82.00566711425782
IN Brain-0234,110.22683258056641,90.687255859375,87.54118957519532
IN Brain-0313,101.84834594726563,85.4110824584961,78.16739501953126
IN Brain-0211,105.51021423339844,90.66465911865234,83.80211944580078
IN Brain-0075,117.33486785888672,92.20240325927735,88.38838653564453
IN Brain-0109,100.66156616210938,76.72345581054688,76.46016235351563
IN Brain-0335,108.29369659423828,89.00634765625,82.72347106933594
IN Brain-0159,118.4488311767578,99.94014282226563,91.50936431884766
IN Brain-0045,106.47731018066406,87.5259765625,81.4183578491211
IN Brain-0204,106.63257446289063,89.58179626464843,84.6965103149414
IN Brain-0304,120.68452758789063,99.53233184814454,93.43474426269532
IN Brain-0340,103.61457061767578,85.5114990234375,79.15746612548828
IN Brain-0279,102.91939239501953,82.82986907958984,77.7731948852539
IN Brain-0348,111.1875503540039,98.33711700439453,87.35309600830078
IN Brain-0110,101.80106506347656,89.65142059326172,80.96144409179688
IN Brain-0050,102.90074462890625,84.7738754272461,81.47030487060547
IN Brain-0165,114.8378890991211,94.19901123046876,88.76217041015624
IN Brain-0296,107.45459594726563,93.9629119873047,84.00493927001953
IN Brain-0149,109.98707580566406,94.00287475585938,83.50938415527344
IN Brain-0369,100.99573516845703,82.5064697265625,76.43682861328125
IN Brain-0203,108.80221710205078,94.78397827148437,89.764208984375
