variable,encoder,detector,estimand,n_levels,observed_heterogeneity,p_raw,n_perm_valid,family,q
tumour_type,uni2,flow_ood,both_sides,3,0.012880684873329086,0.24584717607973422,300,F3,0.41400460005111167
tumour_type,uni2,flow_energy,both_sides,3,0.012438923363371298,0.26578073089701,300,F3,0.41400460005111167
tumour_type,uni2,maha,both_sides,3,0.020925050755236523,0.11295681063122924,300,F3,0.24205030849549122
tumour_type,uni2,n_patches,both_sides,3,0.05794062633527248,0.0033222591362126247,300,F3,0.014238253440911248
tumour_type,uni2,featnorm,both_sides,3,0.05051189761644203,0.006644518272425249,300,F3,0.02345124096150088
tumour_type,conch,flow_ood,both_sides,3,0.04949418641835552,0.0033222591362126247,300,F3,0.014238253440911248
tumour_type,conch,flow_energy,both_sides,3,0.0489346887634139,0.0033222591362126247,300,F3,0.014238253440911248
tumour_type,conch,maha,both_sides,3,0.05830914823557828,0.0033222591362126247,300,F3,0.014238253440911248
tumour_type,conch,n_patches,both_sides,3,0.059438560836760836,0.0033222591362126247,300,F3,0.014238253440911248
tumour_type,conch,featnorm,both_sides,3,0.07953145197700631,0.0033222591362126247,300,F3,0.014238253440911248
tumour_type,hoptimus,flow_ood,both_sides,3,0.04461490216728525,0.0033222591362126247,300,F3,0.014238253440911248
tumour_type,hoptimus,flow_energy,both_sides,3,0.04452838432415139,0.006644518272425249,300,F3,0.02345124096150088
tumour_type,hoptimus,maha,both_sides,3,0.050278593781014784,0.0033222591362126247,300,F3,0.014238253440911248
tumour_type,hoptimus,n_patches,both_sides,3,0.05796804634449243,0.006644518272425249,300,F3,0.02345124096150088
tumour_type,hoptimus,featnorm,both_sides,3,0.017031618777724623,0.48172757475083056,300,F3,0.6264831514000949
idh_status,uni2,flow_ood,both_sides,2,0.00031702396470767376,0.9800664451827242,300,F3,0.9966777408637874
idh_status,uni2,flow_energy,both_sides,2,0.0009708425556751705,0.9003322259136213,300,F3,0.9623095429029671
idh_status,uni2,maha,both_sides,2,0.0013921029556479652,0.8737541528239202,300,F3,0.9531863485351857
idh_status,uni2,n_patches,both_sides,2,0.017584443509765745,0.21262458471760798,300,F3,0.4115314542921445
idh_status,uni2,featnorm,both_sides,2,0.02967388102134647,0.046511627906976744,300,F3,0.13953488372093023
idh_status,conch,flow_ood,both_sides,2,0.05184439821890976,0.0033222591362126247,300,F3,0.014238253440911248
idh_status,conch,flow_energy,both_sides,2,0.0512189579441287,0.0033222591362126247,300,F3,0.014238253440911248
