variable,encoder,detector,estimand,n_levels,observed_heterogeneity,p_raw,n_perm_valid,family,q
site,uni2,flow_ood,tcga_side_only,15,0.033789094280570614,0.0033222591362126247,300,F4,0.005695301376364499
site,uni2,flow_energy,tcga_side_only,15,0.033044360233958035,0.0033222591362126247,300,F4,0.005695301376364499
site,uni2,maha,tcga_side_only,15,0.05098062008222476,0.0033222591362126247,300,F4,0.005695301376364499
site,uni2,n_patches,tcga_side_only,15,0.17706183914930745,0.0033222591362126247,300,F4,0.005695301376364499
site,uni2,featnorm,tcga_side_only,15,0.14208718433511425,0.0033222591362126247,300,F4,0.005695301376364499
site,conch,flow_ood,tcga_side_only,15,0.11647140331991772,0.0033222591362126247,300,F4,0.005695301376364499
site,conch,flow_energy,tcga_side_only,15,0.11493559810046476,0.0033222591362126247,300,F4,0.005695301376364499
site,conch,maha,tcga_side_only,15,0.11269396641263515,0.0033222591362126247,300,F4,0.005695301376364499
site,conch,n_patches,tcga_side_only,15,0.1770387775709121,0.0033222591362126247,300,F4,0.005695301376364499
site,conch,featnorm,tcga_side_only,15,0.15444034499355777,0.0033222591362126247,300,F4,0.005695301376364499
site,hoptimus,flow_ood,tcga_side_only,15,0.05187524131451828,0.0033222591362126247,300,F4,0.005695301376364499
site,hoptimus,flow_energy,tcga_side_only,15,0.0519255008748327,0.0033222591362126247,300,F4,0.005695301376364499
site,hoptimus,maha,tcga_side_only,15,0.05730130562487401,0.0033222591362126247,300,F4,0.005695301376364499
site,hoptimus,n_patches,tcga_side_only,15,0.17705241676526687,0.0033222591362126247,300,F4,0.005695301376364499
site,hoptimus,featnorm,tcga_side_only,15,0.15537763190098489,0.0033222591362126247,300,F4,0.005695301376364499
objective_power,uni2,flow_ood,tcga_side_only,2,0.007368296186179516,0.14285714285714285,300,F4,0.1749271137026239
objective_power,uni2,flow_energy,tcga_side_only,2,0.011688493783868862,0.013289036544850499,300,F4,0.020982689281342892
objective_power,uni2,maha,tcga_side_only,2,0.009692664491412994,0.12956810631229235,300,F4,0.16196013289036543
objective_power,uni2,n_patches,tcga_side_only,2,0.018970544951995467,0.08637873754152824,300,F4,0.11266791853242815
objective_power,uni2,featnorm,tcga_side_only,2,0.08499290533892083,0.0033222591362126247,300,F4,0.005695301376364499
objective_power,conch,flow_ood,tcga_side_only,2,0.04970367418215974,0.0033222591362126247,300,F4,0.005695301376364499
objective_power,conch,flow_energy,tcga_side_only,2,0.046792600011589476,0.0033222591362126247,300,F4,0.005695301376364499
objective_power,conch,maha,tcga_side_only,2,0.05553870052382042,0.0033222591362126247,300,F4,0.005695301376364499
objective_power,conch,n_patches,tcga_side_only,2,0.01897086006505327,0.05647840531561462,300,F4,0.0753045404208195
objective_power,conch,featnorm,tcga_side_only,2,0.026340876825562007,0.03986710963455149,300,F4,0.056953013763644984
objective_power,hoptimus,flow_ood,tcga_side_only,2,0.0272038512914818,0.0033222591362126247,300,F4,0.005695301376364499
objective_power,hoptimus,flow_energy,tcga_side_only,2,0.025194321852853963,0.0033222591362126247,300,F4,0.005695301376364499
objective_power,hoptimus,maha,tcga_side_only,2,0.03353091326980701,0.0033222591362126247,300,F4,0.005695301376364499
objective_power,hoptimus,n_patches,tcga_side_only,2,0.018972192594049253,0.046511627906976744,300,F4,0.06489994591671173
objective_power,hoptimus,featnorm,tcga_side_only,2,0.13306842172045097,0.0033222591362126247,300,F4,0.005695301376364499
model,uni2,flow_ood,tcga_side_only,11,0.023160689247039117,0.013289036544850499,300,F4,0.020982689281342892
model,uni2,flow_energy,tcga_side_only,11,0.022118555328873718,0.019933554817275746,300,F4,0.030667007411193454
model,uni2,maha,tcga_side_only,11,0.03143434034054171,0.013289036544850499,300,F4,0.020982689281342892
model,uni2,n_patches,tcga_side_only,11,0.12148987826961434,0.0033222591362126247,300,F4,0.005695301376364499
model,uni2,featnorm,tcga_side_only,11,0.10647380773455195,0.0033222591362126247,300,F4,0.005695301376364499
model,conch,flow_ood,tcga_side_only,11,0.08769983236747024,0.0033222591362126247,300,F4,0.005695301376364499
model,conch,flow_energy,tcga_side_only,11,0.085834549101027,0.0033222591362126247,300,F4,0.005695301376364499
model,conch,maha,tcga_side_only,11,0.08936736346913739,0.0033222591362126247,300,F4,0.005695301376364499
model,conch,n_patches,tcga_side_only,11,0.1214788632918769,0.0033222591362126247,300,F4,0.005695301376364499
model,conch,featnorm,tcga_side_only,11,0.09536363430759894,0.0033222591362126247,300,F4,0.005695301376364499
model,hoptimus,flow_ood,tcga_side_only,11,0.04097350750216916,0.0033222591362126247,300,F4,0.005695301376364499
model,hoptimus,flow_energy,tcga_side_only,11,0.04036816263627834,0.0033222591362126247,300,F4,0.005695301376364499
model,hoptimus,maha,tcga_side_only,11,0.04621281762407665,0.0033222591362126247,300,F4,0.005695301376364499
model,hoptimus,n_patches,tcga_side_only,11,0.1214879378429834,0.0033222591362126247,300,F4,0.005695301376364499
model,hoptimus,featnorm,tcga_side_only,11,0.14974624862643768,0.0033222591362126247,300,F4,0.005695301376364499
race,uni2,flow_ood,tcga_side_only,3,0.012294577042543988,0.029900332225913623,300,F4,0.04375658374523945
race,uni2,flow_energy,tcga_side_only,3,0.012222357602855323,0.026578073089700997,300,F4,0.03986710963455149
race,uni2,maha,tcga_side_only,3,0.013222036552164538,0.11960132890365449,300,F4,0.1526825475365802
race,uni2,n_patches,tcga_side_only,3,0.011642579633481637,0.5249169435215947,300,F4,0.5942455964395412
race,uni2,featnorm,tcga_side_only,3,0.023283300633548897,0.05647840531561462,300,F4,0.0753045404208195
race,conch,flow_ood,tcga_side_only,3,0.0022395049205242894,0.9867109634551495,300,F4,0.9867109634551495
race,conch,flow_energy,tcga_side_only,3,0.0019392951305946345,0.9767441860465116,300,F4,0.9867109634551495
race,conch,maha,tcga_side_only,3,0.0049572724166778,0.8870431893687708,300,F4,0.9372267878999825
race,conch,n_patches,tcga_side_only,3,0.011642911712562322,0.46179401993355484,300,F4,0.5432870822747704
race,conch,featnorm,tcga_side_only,3,0.01057887595980522,0.6312292358803987,300,F4,0.7013658176448874
race,hoptimus,flow_ood,tcga_side_only,3,0.002982677364008403,0.8903654485049833,300,F4,0.9372267878999825
race,hoptimus,flow_energy,tcga_side_only,3,0.003282341113166917,0.8870431893687708,300,F4,0.9372267878999825
race,hoptimus,maha,tcga_side_only,3,0.0019997726097116288,0.9833887043189369,300,F4,0.9867109634551495
race,hoptimus,n_patches,tcga_side_only,3,0.01164294821603229,0.5249169435215947,300,F4,0.5942455964395412
race,hoptimus,featnorm,tcga_side_only,3,0.021145851596765335,0.1461794019933555,300,F4,0.17541528239202658
