encoder,detector,matched_auroc,n_matched_per_fold_min,n_matched_per_fold_max
uni2,flow_ood,0.9107979015394466,125,128
uni2,flow_energy,0.913205784152425,125,128
uni2,maha,0.8426302705748014,125,128
uni2,n_patches,0.5008043341370813,125,128
uni2,featnorm,0.6015869499346425,125,128
conch,flow_ood,0.7048975881743156,126,129
conch,flow_energy,0.7088484050240422,126,129
conch,maha,0.6258744587380073,126,129
conch,n_patches,0.5006937655597781,126,129
conch,featnorm,0.47589752496228527,126,129
hoptimus,flow_ood,0.8262204585056715,124,128
hoptimus,flow_energy,0.828586873691172,124,128
hoptimus,maha,0.7819380192525704,124,128
hoptimus,n_patches,0.5007677097037078,124,128
hoptimus,featnorm,0.5882201810889637,124,128
