encoder,detector,variant,dataset,n,spearman_rho,p
conch,featnorm,mean,ebrains,641,-0.263387910906167,1.240387461903491e-11
conch,featnorm,mean,tcga,3945,-0.1678685942535512,2.5171010302199592e-26
conch,featnorm,p95,ebrains,641,-0.13548365525725167,0.0005831182450872843
conch,featnorm,p95,tcga,3945,-0.13862107580442115,2.206977433435162e-18
conch,featnorm,top5_mean,ebrains,641,-0.09015927417404145,0.022439444251917053
conch,featnorm,top5_mean,tcga,3945,-0.11431851417092388,5.95088655662476e-13
conch,flow_energy,mean,ebrains,641,-0.03892214344538644,0.3251748069855336
conch,flow_energy,mean,tcga,3945,-0.19043376606546641,1.5625388432611884e-33
conch,flow_energy,p95,ebrains,641,0.16261971529280642,3.522856216169555e-05
conch,flow_energy,p95,tcga,3945,-0.00525657713148278,0.7413552013469111
conch,flow_ood,mean,ebrains,641,-0.036432398190300384,0.35710262217508004
conch,flow_ood,mean,tcga,3945,-0.19304537301412783,1.985049935606989e-34
conch,flow_ood,median,ebrains,641,-0.040653499296764754,0.3041002293411817
conch,flow_ood,median,tcga,3945,-0.20506448804891805,1.0133458566753418e-38
conch,flow_ood,p90,ebrains,641,0.12049219768459372,0.0022445747503181033
conch,flow_ood,p90,tcga,3945,-0.05836259369139511,0.00024476644053153654
conch,flow_ood,p95,ebrains,641,0.1634456740257841,3.210036790377758e-05
conch,flow_ood,p95,tcga,3945,-0.007475754516714363,0.6387807610353564
conch,flow_ood,p99,ebrains,641,0.29795137698768476,1.3138983882923431e-14
conch,flow_ood,p99,tcga,3945,0.1209006371058068,2.5518784490590006e-14
conch,flow_ood,std,ebrains,641,0.42387338309603095,2.4452781192771934e-29
conch,flow_ood,std,tcga,3945,0.4586328659760402,1.7414255380093504e-204
conch,flow_ood,top5_mean,ebrains,641,0.23160859279118373,2.9694632906338124e-09
conch,flow_ood,top5_mean,tcga,3945,0.07119193563098503,7.613511725554926e-06
conch,maha,mean,ebrains,641,-0.016034775924467275,0.6853292031170175
conch,maha,mean,tcga,3945,-0.15150673094986603,1.0869062090463258e-21
conch,maha,median,ebrains,641,-0.06130447237541353,0.12101329512932348
conch,maha,median,tcga,3945,-0.19479872311068044,4.885371189975604e-35
conch,maha,p90,ebrains,641,0.0721041060658154,0.068100363815252
conch,maha,p90,tcga,3945,-0.06017546780580036,0.00015569556029233073
conch,maha,p95,ebrains,641,0.11616288541358712,0.003226986663087562
conch,maha,p95,tcga,3945,-0.0005285249491578734,0.9735264776200635
conch,maha,p99,ebrains,641,0.273730392293649,1.7649577574125134e-12
conch,maha,p99,tcga,3945,0.15820859412370747,1.5735196053252324e-23
conch,maha,std,ebrains,641,0.3065105611648081,2.0729110285474572e-15
conch,maha,std,tcga,3945,0.23453798116165542,1.9427568618626383e-50
conch,maha,top5_mean,ebrains,641,0.21654056402008803,3.068179631870871e-08
conch,maha,top5_mean,tcga,3945,0.10833286525980576,8.963555552136943e-12
conch,mahaenergy,mean,ebrains,641,-0.009630816425558696,0.8077245755796536
conch,mahaenergy,mean,tcga,3945,-0.14472884905549682,6.506699877854551e-20
conch,mahaenergy,p95,ebrains,641,0.12035860815430408,0.0022702557111362325
conch,mahaenergy,p95,tcga,3945,0.001920775016288113,0.9040044717803674
conch,mahaenergy,top5_mean,ebrains,641,0.21788955856921852,2.5060775436822322e-08
conch,mahaenergy,top5_mean,tcga,3945,0.10927581695882502,5.90293676635005e-12
conch,mahapc,mean,ebrains,641,-0.035310145898157085,0.37211699609663706
conch,mahapc,mean,tcga,3945,-0.11826029399742205,9.218275435870523e-14
conch,mahapc,p95,ebrains,641,0.11310793616012348,0.0041401515434320545
conch,mahapc,p95,tcga,3945,0.021096156327344462,0.18525045016926872
conch,mahapc,top5_mean,ebrains,641,0.21764960315950832,2.5981788504613703e-08
conch,mahapc,top5_mean,tcga,3945,0.12616123197904333,1.8149651374622547e-15
conch,n_patches,raw,ebrains,641,1.0,0.0
conch,n_patches,raw,tcga,3945,1.0,0.0
hoptimus,featnorm,mean,ebrains,641,0.08258033645267161,0.036594673285253045
hoptimus,featnorm,mean,tcga,3945,0.19054770919584615,1.4289160845316838e-33
hoptimus,featnorm,p95,ebrains,641,0.26354007514607086,1.2060392567307911e-11
hoptimus,featnorm,p95,tcga,3945,0.2734470297916476,1.3305651780822073e-68
hoptimus,featnorm,top5_mean,ebrains,641,0.3165370276003514,2.2030168378588582e-16
hoptimus,featnorm,top5_mean,tcga,3945,0.31206960955196966,7.580328215980026e-90
hoptimus,flow_energy,mean,ebrains,641,0.34282137556875864,4.0802817845717856e-19
hoptimus,flow_energy,mean,tcga,3945,0.10580415402641954,2.6998205567688902e-11
hoptimus,flow_energy,p95,ebrains,641,0.3623301855009883,2.553518580158726e-21
hoptimus,flow_energy,p95,tcga,3945,0.13108928217701837,1.377141609627111e-16
hoptimus,flow_ood,mean,ebrains,641,0.33838161956602547,1.232924828363929e-18
hoptimus,flow_ood,mean,tcga,3945,0.0974619009237754,8.560211569278703e-10
hoptimus,flow_ood,median,ebrains,641,0.334947703423686,2.864790126923833e-18
hoptimus,flow_ood,median,tcga,3945,0.08705816327614867,4.332716261661572e-08
hoptimus,flow_ood,p90,ebrains,641,0.34526945383017144,2.2006901023028444e-19
hoptimus,flow_ood,p90,tcga,3945,0.11416344322712493,6.395694726225023e-13
hoptimus,flow_ood,p95,ebrains,641,0.3566468440140378,1.161422730914232e-20
