encoder,fold,scope,n,accuracy,balanced_accuracy,macro_ovr_auroc,ovr_auroc_gbm,ovr_auroc_gbm_ci_low,ovr_auroc_gbm_ci_high,ovr_auroc_astrocytoma,ovr_auroc_astrocytoma_ci_low,ovr_auroc_astrocytoma_ci_high,ovr_auroc_oligodendroglioma,ovr_auroc_oligodendroglioma_ci_low,ovr_auroc_oligodendroglioma_ci_high
uni2,0,per_fold,129,0.7829457364341085,0.7333510818260981,0.9231277918946642,,,,,,,,,
uni2,1,per_fold,128,0.8515625,0.7750724637681158,0.9309831671252039,,,,,,,,,
uni2,2,per_fold,128,0.84375,0.7773397284497898,0.9586414300424136,,,,,,,,,
uni2,3,per_fold,128,0.796875,0.7227338423954057,0.9281335798325414,,,,,,,,,
uni2,4,per_fold,128,0.859375,0.8011433011433011,0.9563469496960062,,,,,,,,,
uni2,-1,pooled_641,641,0.8268330733229329,0.7639915711275403,0.9391413073513228,0.9522205663189269,0.93624043715847,0.9654920516641828,0.9023491910425372,0.8705704891246117,0.9302739606771671,0.9628541646925045,0.9493153605609779,0.9762472756562115
conch,0,per_fold,129,0.7829457364341085,0.6992589231699938,0.9107951935430276,,,,,,,,,
conch,1,per_fold,128,0.796875,0.6986324786324786,0.9010712803916686,,,,,,,,,
conch,2,per_fold,128,0.75,0.6517488262910799,0.910956526976613,,,,,,,,,
conch,3,per_fold,128,0.8515625,0.7930794644409668,0.9639316500026006,,,,,,,,,
conch,4,per_fold,128,0.8359375,0.7781209781209782,0.9410501246466442,,,,,,,,,
conch,-1,pooled_641,641,0.8034321372854915,0.7250616093431907,0.9255398697990432,0.943338301043219,0.9246746150024839,0.9590307998012916,0.8886210221793635,0.8577919077467052,0.916084391406836,0.9446602861745474,0.9206201238194511,0.9665292649799425
hoptimus,0,per_fold,129,0.7984496124031008,0.6930263596930263,0.9258417012704205,,,,,,,,,
hoptimus,1,per_fold,128,0.8125,0.7402364806120675,0.9263511090539791,,,,,,,,,
hoptimus,2,per_fold,128,0.8203125,0.7418981481481483,0.9244926803520553,,,,,,,,,
hoptimus,3,per_fold,128,0.8046875,0.7063492063492064,0.9562188845112272,,,,,,,,,
hoptimus,4,per_fold,128,0.8515625,0.788706140350877,0.9328389458220873,,,,,,,,,
hoptimus,-1,pooled_641,641,0.8174726989079563,0.7327047394549805,0.9305655490623802,0.950173869846001,0.9342260307998013,0.9662434177844014,0.897273116897032,0.866403487624558,0.9229029384978036,0.9442496604441075,0.9227320825041853,0.9629201017088347
