encoder,detector,variant,fold_policy,auroc,auroc_ci_low,auroc_ci_high,fold_sd_model_instability,n_ebrains,n_tcga,n_boot_valid,n_boot_dropped
uni2,flow_ood,mean,fold_averaged,0.9130043610791798,0.8988348410692251,0.9267469778226706,0.021098952028497264,641,789,2000,0
uni2,flow_ood,std,fold_averaged,0.5801068132804748,0.553008500967748,0.6083635996035609,0.025387786001272377,641,789,2000,0
uni2,flow_ood,median,fold_averaged,0.9060919861025141,0.890230535288898,0.9193841436973701,0.022563332968227313,641,789,2000,0
uni2,flow_ood,p90,fold_averaged,0.8711711603835687,0.8534693117170806,0.888596172403742,0.018388762681519795,641,789,2000,0
uni2,flow_ood,p95,fold_averaged,0.8618495532073766,0.8442032971173995,0.880214851743224,0.018524034608827365,641,789,2000,0
uni2,flow_ood,p99,fold_averaged,0.831771677670685,0.8107216597282081,0.8525347907637856,0.02534250631107322,641,789,2000,0
uni2,flow_ood,top5_mean,fold_averaged,0.8446781263202364,0.8240602167256263,0.8635039230171822,0.023316285517788644,641,789,2000,0
uni2,flow_energy,mean,fold_averaged,0.9145992068755465,0.9010665644079607,0.9282979588423974,0.02141797721505898,641,789,2000,0
uni2,flow_energy,p95,fold_averaged,0.8626566936608995,0.8441408052577745,0.880021424875159,0.017967546600321627,641,789,2000,0
uni2,maha,mean,fold_averaged,0.8472736193395625,0.8269469994316675,0.8649657495399069,0.025347436186298568,641,789,2000,0
uni2,maha,std,fold_averaged,0.5821513531503916,0.553260941461789,0.6112945075228526,0.017214291715673784,641,789,2000,0
uni2,maha,median,fold_averaged,0.8596776872648138,0.8409127004932827,0.877357825200737,0.026827119339298006,641,789,2000,0
uni2,maha,p90,fold_averaged,0.7690843729428871,0.7444394766260405,0.7934688875898903,0.020860469727678393,641,789,2000,0
uni2,maha,p95,fold_averaged,0.7428608206590621,0.7168850339293326,0.7675371723863634,0.017318590090801993,641,789,2000,0
uni2,maha,p99,fold_averaged,0.6916354568878278,0.6649026068264476,0.7187226666235612,0.020934663453435413,641,789,2000,0
uni2,maha,top5_mean,fold_averaged,0.7069172567817177,0.6805136889295003,0.7334029562176204,0.020575423995416665,641,789,2000,0
uni2,mahapc,mean,fold_averaged,0.8580779289602185,0.8398160089805655,0.8750266495493099,0.026451543142657102,641,789,2000,0
uni2,mahapc,p95,fold_averaged,0.7619730106797928,0.7372782899625994,0.7843357279787597,0.01849629804120701,641,789,2000,0
uni2,mahapc,top5_mean,fold_averaged,0.7274461067144162,0.701125135790493,0.7539664551239116,0.02196075812696782,641,789,2000,0
uni2,mahaenergy,mean,fold_averaged,0.8489934884703432,0.8293973389218148,0.8683586154161816,0.025125884241457345,641,789,2000,0
uni2,mahaenergy,p95,fold_averaged,0.7437002301510105,0.7177490302152278,0.7685913226385976,0.017659853394043634,641,789,2000,0
uni2,mahaenergy,top5_mean,fold_averaged,0.7075408843497313,0.6814342509447407,0.7338337626517106,0.020717496859947372,641,789,2000,0
uni2,n_patches,raw,fold_averaged,0.5922650178446862,0.5636054211448547,0.6220149298562971,0.025312468968228558,641,789,2000,0
uni2,featnorm,mean,fold_averaged,0.6081779445574321,0.5794544958367153,0.6373833562938315,0.014926596852285078,641,789,2000,0
uni2,featnorm,p95,fold_averaged,0.49825413295457893,0.46560548004860297,0.5291555322344024,0.014175446520940759,641,789,2000,0
uni2,featnorm,top5_mean,fold_averaged,0.469369774319372,0.44090590310716526,0.49909357536590365,0.01626052675665818,641,789,2000,0
conch,flow_ood,mean,fold_averaged,0.7083808772020319,0.680941048194038,0.7342341523758968,0.015157888396286298,641,789,2000,0
conch,flow_ood,std,fold_averaged,0.37371739015631605,0.34542557970614557,0.40269413356557254,0.03605257615574593,641,789,2000,0
conch,flow_ood,median,fold_averaged,0.6979981836000826,0.6716714912929634,0.7244646692357141,0.015897079245608365,641,789,2000,0
conch,flow_ood,p90,fold_averaged,0.6826700526129631,0.6551461388802647,0.7085706015865518,0.020934425458107857,641,789,2000,0
conch,flow_ood,p95,fold_averaged,0.6758959340397521,0.6494882610153837,0.7017468015871672,0.022772025189304806,641,789,2000,0
conch,flow_ood,p99,fold_averaged,0.6456766089692575,0.6193451787986236,0.6739767172950087,0.01880864185201097,641,789,2000,0
conch,flow_ood,top5_mean,fold_averaged,0.6584393514015386,0.6309089609095117,0.6854079505109857,0.02318030368181499,641,789,2000,0
conch,flow_energy,mean,fold_averaged,0.7136154463996228,0.6863379862304994,0.740453350622712,0.015186894476062475,641,789,2000,0
conch,flow_energy,p95,fold_averaged,0.678922745281536,0.6507484795573409,0.704286878192703,0.022864217129662072,641,789,2000,0
conch,maha,mean,fold_averaged,0.6334324124836659,0.6054247285615029,0.6627604396073957,0.016832510110792776,641,789,2000,0
conch,maha,std,fold_averaged,0.44435058483410456,0.4146609234795561,0.4735310297475058,0.03075378258847434,641,789,2000,0
conch,maha,median,fold_averaged,0.6347273189495092,0.6047157972865014,0.6622365049053776,0.015477948540915892,641,789,2000,0
conch,maha,p90,fold_averaged,0.583288951891807,0.5538021381422483,0.6143945989411354,0.02342173159411195,641,789,2000,0
conch,maha,p95,fold_averaged,0.571637234601743,0.5410129797748279,0.6000317089899203,0.023247876972523958,641,789,2000,0
conch,maha,p99,fold_averaged,0.5341251375502304,0.5054607048136525,0.5634726833654528,0.0197716569705275,641,789,2000,0
conch,maha,top5_mean,fold_averaged,0.5445196365235162,0.5143708148424097,0.5734965723758314,0.020309901092502927,641,789,2000,0
conch,mahapc,mean,fold_averaged,0.6782476284866527,0.6503603798124471,0.7073495417598215,0.019560430751769792,641,789,2000,0
conch,mahapc,p95,fold_averaged,0.6005104403081125,0.5706470648548252,0.6287155231275087,0.025261265452738244,641,789,2000,0
conch,mahapc,top5_mean,fold_averaged,0.5665300989379157,0.5376213433323823,0.5948463955853213,0.02133367016885357,641,789,2000,0
conch,mahaenergy,mean,fold_averaged,0.63622010738743,0.6084079475720628,0.6655249300148158,0.017199862345154224,641,789,2000,0
conch,mahaenergy,p95,fold_averaged,0.5721554581650798,0.5417464050211622,0.6008256342507042,0.023193919418586915,641,789,2000,0
conch,mahaenergy,top5_mean,fold_averaged,0.5444241956995903,0.5143119174814326,0.5726808156589686,0.020482084728092424,641,789,2000,0
conch,n_patches,raw,fold_averaged,0.5923034889247502,0.5624868478581113,0.6216582187701553,0.018046881963159747,641,789,2000,0
conch,featnorm,mean,fold_averaged,0.4608732152243542,0.43022841122100675,0.4908212222124493,0.02269151643034818,641,789,2000,0
conch,featnorm,p95,fold_averaged,0.44396525229414135,0.41717593271508807,0.46950010686927923,0.014930350588807841,641,789,2000,0
