encoder,detector,auroc_20x_vs_40x,auroc_ci_low,auroc_ci_high,n_40x,n_20x,n_boot_valid,n_boot_dropped
uni2,flow_ood,0.4420960815888352,0.39951714784142317,0.48942206310865727,621,168,500,0
uni2,flow_energy,0.42499616593819495,0.37882543516601486,0.47464534928303037,621,168,500,0
uni2,maha,0.4518633540372671,0.4054743213710605,0.49877885131508315,621,168,500,0
uni2,n_patches,0.5461141783605552,0.5014042251361093,0.5914819128134344,621,168,500,0
uni2,featnorm,0.2883981289778391,0.24579786826163635,0.33428010697032434,621,168,500,0
conch,flow_ood,0.64548347519362,0.6029752319607392,0.6911660819722414,621,168,500,0
conch,flow_energy,0.6383425350816655,0.5919666820029139,0.6854638735526416,621,168,500,0
conch,maha,0.6538513150831992,0.6076156448891956,0.7020725500345065,621,168,500,0
conch,n_patches,0.5461141783605552,0.4923057568438003,0.5920860171765968,621,168,500,0
conch,featnorm,0.5582489839736217,0.5076139674871558,0.6048424200598114,621,168,500,0
hoptimus,flow_ood,0.5861130281420137,0.5389945652173914,0.6259316770186335,621,168,500,0
hoptimus,flow_energy,0.57562686910513,0.5314759700176367,0.6186706828464075,621,168,500,0
hoptimus,maha,0.6073153899240855,0.5548213327198834,0.650058948700253,621,168,500,0
hoptimus,n_patches,0.5461141783605552,0.49814539241622574,0.5911508655394524,621,168,500,0
hoptimus,featnorm,0.20404876926616056,0.1700241066635994,0.2395303753546507,621,168,500,0
