encoder,detector,n_qualifying_sites,stratified_auroc,p_raw,n_perm_valid,q
uni2,flow_ood,4,0.40894949878683534,0.006644518272425249,300,0.009966777408637873
uni2,flow_energy,4,0.4012079547424637,0.0033222591362126247,300,0.006229235880398671
uni2,maha,4,0.4269956955461668,0.059800664451827246,300,0.06407214048410062
uni2,n_patches,4,0.74087462824921,0.0033222591362126247,300,0.006229235880398671
uni2,featnorm,4,0.38999626919207336,0.0033222591362126247,300,0.006229235880398671
conch,flow_ood,4,0.607283118604949,0.0033222591362126247,300,0.006229235880398671
conch,flow_energy,4,0.6044267779863706,0.006644518272425249,300,0.009966777408637873
conch,maha,4,0.6262723020020071,0.0033222591362126247,300,0.006229235880398671
conch,n_patches,4,0.74087462824921,0.0033222591362126247,300,0.006229235880398671
conch,featnorm,4,0.4201060314962717,0.036544850498338874,300,0.04568106312292359
hoptimus,flow_ood,4,0.5697332232943361,0.08305647840531562,300,0.08305647840531562
hoptimus,flow_energy,4,0.5661805223716139,0.059800664451827246,300,0.06407214048410062
hoptimus,maha,4,0.5949282952969484,0.009966777408637873,300,0.013591060102688008
hoptimus,n_patches,4,0.74087462824921,0.0033222591362126247,300,0.006229235880398671
hoptimus,featnorm,4,0.26572756232607253,0.0033222591362126247,300,0.006229235880398671
