encoder,fold,n_ref_patients,n_ref_patches_total,pooled_cov_condition_number,n_ref_patches_gbm,n_ref_patches_astrocytoma,n_ref_patches_oligodendroglioma,n_dropped_patients
uni2,0,512,1252189,17.10096845246451,776466,214907,260816,0
uni2,1,513,1212786,19.76126711189873,749324,232602,230860,0
uni2,2,513,1234504,20.736322090469205,761021,225805,247678,0
uni2,3,513,1221140,20.08755846512348,760373,206919,253848,0
uni2,4,513,1191517,18.516059204472775,724716,224143,242658,0
conch,0,512,1232461,544.2098850421671,753672,231726,247063,0
conch,1,513,1223497,378.4864747273308,758400,228480,236617,0
conch,2,513,1194714,478.59900295450564,736317,202734,255663,0
conch,3,513,1226783,491.36665052898826,755114,228622,243047,0
conch,4,513,1234681,334.5188446443393,768397,212814,253470,0
hoptimus,0,512,1215909,35.526160827475664,761010,216787,238112,0
hoptimus,1,513,1185716,35.998757705041264,740724,218875,226117,0
hoptimus,2,513,1238773,32.76747026568499,763702,222313,252758,0
hoptimus,3,513,1230170,33.61627992108256,762684,217599,249887,0
hoptimus,4,513,1241568,45.37721829000311,743780,228802,268986,0
