encoder,detector_a,detector_b,auroc_a,auroc_b,delta,ci_low,ci_high,p_raw,family,q
uni2,flow_ood,maha,0.9130043610791798,0.8472736193395625,0.06573074173961735,0.05751414164469009,0.07414602523497875,0.0009995002498750624,F1,0.0010582943822206542
uni2,flow_energy,mahaenergy,0.9145992068755465,0.8489934884703432,0.06560571840520335,0.05744496179063831,0.07358203721579425,0.0009995002498750624,F1,0.0010582943822206542
uni2,flow_ood,n_patches,0.9130043610791798,0.5922650178446862,0.3207393432344936,0.2901354128969986,0.35231091312816043,0.0009995002498750624,F1,0.0010582943822206542
uni2,flow_ood,featnorm,0.9130043610791798,0.6081779445574321,0.3048264165217477,0.278001721806724,0.33202236089380327,0.0009995002498750624,F1,0.0010582943822206542
uni2,maha,n_patches,0.8472736193395625,0.5922650178446862,0.25500860149487625,0.22093975963691048,0.2893917985913418,0.0009995002498750624,F1,0.0010582943822206542
uni2,maha,featnorm,0.8472736193395625,0.6081779445574321,0.23909567478213034,0.21107437432687198,0.2676617589431813,0.0009995002498750624,F1,0.0010582943822206542
conch,flow_ood,maha,0.7083808772020319,0.6334324124836659,0.07494846471836603,0.0679936706311516,0.08212713059907739,0.0009995002498750624,F1,0.0010582943822206542
conch,flow_energy,mahaenergy,0.7136154463996228,0.63622010738743,0.07739533901219287,0.07059042055720907,0.0848255857144205,0.0009995002498750624,F1,0.0010582943822206542
conch,flow_ood,n_patches,0.7083808772020319,0.5923034889247502,0.11607738827728176,0.07456620380137725,0.15471876356606934,0.0009995002498750624,F1,0.0010582943822206542
conch,flow_ood,featnorm,0.7083808772020319,0.4608732152243542,0.2475076619776777,0.20264068825025902,0.29102543929710367,0.0009995002498750624,F1,0.0010582943822206542
conch,maha,n_patches,0.6334324124836659,0.5923034889247502,0.04112892355891573,-0.001497608630093952,0.08400301390272885,0.05997001499250375,F1,0.05997001499250375
conch,maha,featnorm,0.6334324124836659,0.4608732152243542,0.17255919725931168,0.12461790299260991,0.21884872446137263,0.0009995002498750624,F1,0.0010582943822206542
hoptimus,flow_ood,maha,0.8456678432123874,0.8060237175897269,0.03964412562266051,0.034375675687218034,0.045167524575930255,0.0009995002498750624,F1,0.0010582943822206542
hoptimus,flow_energy,mahaenergy,0.8481858260628211,0.8075229383431092,0.04066288771971194,0.03560443999502365,0.045890503423065575,0.0009995002498750624,F1,0.0010582943822206542
hoptimus,flow_ood,n_patches,0.8456678432123874,0.592330523071595,0.25333732014079247,0.2219711813584104,0.2854916660955588,0.0009995002498750624,F1,0.0010582943822206542
hoptimus,flow_ood,featnorm,0.8456678432123874,0.5950813281088808,0.2505865151035066,0.20966288607878436,0.2913849684590625,0.0009995002498750624,F1,0.0010582943822206542
hoptimus,maha,n_patches,0.8060237175897269,0.592330523071595,0.21369319451813196,0.18283796542980127,0.24767013832658855,0.0009995002498750624,F1,0.0010582943822206542
hoptimus,maha,featnorm,0.8060237175897269,0.5950813281088808,0.2109423894808461,0.1706012705686499,0.25255026380708795,0.0009995002498750624,F1,0.0010582943822206542
