encoder,fold,check,passed
uni2,0,train_val_disjoint,True
uni2,0,train_plus_val_eq_641,True
uni2,0,cached_ebrains_ids_eq_val_patients,True
uni2,1,train_val_disjoint,True
uni2,1,train_plus_val_eq_641,True
uni2,1,cached_ebrains_ids_eq_val_patients,True
uni2,2,train_val_disjoint,True
uni2,2,train_plus_val_eq_641,True
uni2,2,cached_ebrains_ids_eq_val_patients,True
uni2,3,train_val_disjoint,True
uni2,3,train_plus_val_eq_641,True
uni2,3,cached_ebrains_ids_eq_val_patients,True
uni2,4,train_val_disjoint,True
uni2,4,train_plus_val_eq_641,True
uni2,4,cached_ebrains_ids_eq_val_patients,True
uni2,-1,val_folds_partition_641_with_multiplicity_1,True
uni2,-1,no_tcga_case_in_any_train_patients,True
conch,0,train_val_disjoint,True
conch,0,train_plus_val_eq_641,True
conch,0,cached_ebrains_ids_eq_val_patients,True
conch,1,train_val_disjoint,True
conch,1,train_plus_val_eq_641,True
conch,1,cached_ebrains_ids_eq_val_patients,True
conch,2,train_val_disjoint,True
conch,2,train_plus_val_eq_641,True
conch,2,cached_ebrains_ids_eq_val_patients,True
conch,3,train_val_disjoint,True
conch,3,train_plus_val_eq_641,True
conch,3,cached_ebrains_ids_eq_val_patients,True
conch,4,train_val_disjoint,True
conch,4,train_plus_val_eq_641,True
conch,4,cached_ebrains_ids_eq_val_patients,True
conch,-1,val_folds_partition_641_with_multiplicity_1,True
conch,-1,no_tcga_case_in_any_train_patients,True
hoptimus,0,train_val_disjoint,True
hoptimus,0,train_plus_val_eq_641,True
hoptimus,0,cached_ebrains_ids_eq_val_patients,True
hoptimus,1,train_val_disjoint,True
hoptimus,1,train_plus_val_eq_641,True
hoptimus,1,cached_ebrains_ids_eq_val_patients,True
hoptimus,2,train_val_disjoint,True
hoptimus,2,train_plus_val_eq_641,True
hoptimus,2,cached_ebrains_ids_eq_val_patients,True
hoptimus,3,train_val_disjoint,True
hoptimus,3,train_plus_val_eq_641,True
hoptimus,3,cached_ebrains_ids_eq_val_patients,True
hoptimus,4,train_val_disjoint,True
hoptimus,4,train_plus_val_eq_641,True
hoptimus,4,cached_ebrains_ids_eq_val_patients,True
hoptimus,-1,val_folds_partition_641_with_multiplicity_1,True
hoptimus,-1,no_tcga_case_in_any_train_patients,True
