variable,level,encoder,detector,estimand,n_ebrains,n_tcga,auroc,auroc_ci_low,auroc_ci_high,n_boot_valid,n_boot_dropped
site,Case Western,uni2,flow_ood,tcga_side_only,641,69,0.9377275025278058,0.9154466039812056,0.9570835703341962,500,0
site,Case Western - St Joes,uni2,flow_ood,tcga_side_only,641,103,0.9170332138556484,0.8879923371143802,0.941286761351748,500,0
site,Dept of Neurosurgery at University of Heidelberg,uni2,flow_ood,tcga_side_only,641,48,0.8605241642441859,0.8163611282547091,0.8968450896906648,500,0
site,Duke,uni2,flow_ood,tcga_side_only,641,59,0.8973063247273683,0.8498865383045995,0.9386473064874687,500,0
site,Emory University,uni2,flow_ood,tcga_side_only,641,21,0.9022309892949428,0.8418398962101111,0.9469892170431856,500,0
site,Fondazione-Besta,uni2,flow_ood,tcga_side_only,641,21,0.957733480989295,0.9359123362664934,0.9767321183238769,500,0
site,Henry Ford Hospital,uni2,flow_ood,tcga_side_only,641,173,0.9099911922525428,0.8836553014946109,0.9346236069562504,500,0
site,MD Anderson Cancer Center,uni2,flow_ood,tcga_side_only,641,37,0.936552286297926,0.9028584809531358,0.9672598672150778,500,0
site,Mayo Clinic - Rochester,uni2,flow_ood,tcga_side_only,641,37,0.9693385973182485,0.9535234081306329,0.9832506128937194,500,0
site,"Milan - Italy, Fondazione IRCCS Instituto Neuroligico C. Besta",uni2,flow_ood,tcga_side_only,641,17,0.9848659085727316,0.9750095218475052,0.9921206806820686,500,0
site,The University of New South Wales,uni2,flow_ood,tcga_side_only,641,19,0.858061760505916,0.8002332098981869,0.9128177704204302,500,0
site,Thomas Jefferson University,uni2,flow_ood,tcga_side_only,641,19,0.951656211750306,0.879413909022226,0.9932970600773336,500,0
site,UCSF,uni2,flow_ood,tcga_side_only,641,28,0.8525539867109636,0.7842290884971229,0.9040419815659224,500,0
site,University of Florida,uni2,flow_ood,tcga_side_only,641,27,0.9077927612690212,0.8593918732517605,0.9485536626843653,500,0
site,University of Sao Paulo,uni2,flow_ood,tcga_side_only,641,17,0.821296454628363,0.7383182635878545,0.9004368749789989,500,0
site,Case Western,uni2,flow_energy,tcga_side_only,641,69,0.9398094315245478,0.9181547609907672,0.9591784182993696,500,0
site,Case Western - St Joes,uni2,flow_energy,tcga_side_only,641,103,0.9231088187702264,0.894770850762853,0.9462620103599269,500,0
site,Dept of Neurosurgery at University of Heidelberg,uni2,flow_energy,tcga_side_only,641,48,0.8680941638404394,0.8282981648556671,0.905149022018497,500,0
site,Duke,uni2,flow_energy,tcga_side_only,641,59,0.8969914022467481,0.8541705646650042,0.9352035992007474,500,0
site,Emory University,uni2,flow_energy,tcga_side_only,641,21,0.8958425618309338,0.8324573323968579,0.94774248588651,500,0
site,Fondazione-Besta,uni2,flow_energy,tcga_side_only,641,21,0.9615223560354376,0.9393319161825568,0.9780890085060352,500,0
site,Henry Ford Hospital,uni2,flow_energy,tcga_side_only,641,173,0.9066566406775104,0.8801002966446771,0.9326238311470996,500,0
site,MD Anderson Cancer Center,uni2,flow_energy,tcga_side_only,641,37,0.9317482453383616,0.8862679279431891,0.9620723627442932,500,0
site,Mayo Clinic - Rochester,uni2,flow_energy,tcga_side_only,641,37,0.9732561413157343,0.95862965789516,0.985886539903822,500,0
site,"Milan - Italy, Fondazione IRCCS Instituto Neuroligico C. Besta",uni2,flow_energy,tcga_side_only,641,17,0.9838563041495668,0.9730752995595788,0.9920064870182148,500,0
site,The University of New South Wales,uni2,flow_energy,tcga_side_only,641,19,0.8646311454508364,0.8119867165068045,0.9129806137194144,500,0
site,Thomas Jefferson University,uni2,flow_energy,tcga_side_only,641,19,0.955437831497348,0.8879865524854752,0.9921296717233484,500,0
site,UCSF,uni2,flow_energy,tcga_side_only,641,28,0.8469256125415281,0.7816656565877327,0.901629417148826,500,0
site,University of Florida,uni2,flow_energy,tcga_side_only,641,27,0.9135721719781796,0.8691904724790687,0.9540357417814028,500,0
site,University of Sao Paulo,uni2,flow_energy,tcga_side_only,641,17,0.8399260430916552,0.7614128284087257,0.9153067816581496,500,0
site,Case Western,uni2,maha,tcga_side_only,641,69,0.8754499143354678,0.8408795455721798,0.9089520150485524,500,0
site,Case Western - St Joes,uni2,maha,tcga_side_only,641,103,0.8729892234891248,0.8364005543930721,0.906102514048238,500,0
site,Dept of Neurosurgery at University of Heidelberg,uni2,maha,tcga_side_only,641,48,0.747718830749354,0.6907358352496128,0.8011762803037011,500,0
site,Duke,uni2,maha,tcga_side_only,641,59,0.8068459712915518,0.7505515481164856,0.862524861711483,500,0
site,Emory University,uni2,maha,tcga_side_only,641,21,0.8479108988556663,0.7741161922353663,0.9046986700521616,500,0
site,Fondazione-Besta,uni2,maha,tcga_side_only,641,21,0.854001707272056,0.8047558663908935,0.8957915763370002,500,0
site,Henry Ford Hospital,uni2,maha,tcga_side_only,641,173,0.8468196890263027,0.8077832897212981,0.8776604876017613,500,0
site,MD Anderson Cancer Center,uni2,maha,tcga_side_only,641,37,0.8824438901110412,0.8257482155435497,0.9294139840892494,500,0
site,Mayo Clinic - Rochester,uni2,maha,tcga_side_only,641,37,0.9382385292269012,0.9097979682566908,0.9606386116129694,500,0
site,"Milan - Italy, Fondazione IRCCS Instituto Neuroligico C. Besta",uni2,maha,tcga_side_only,641,17,0.9508222184222528,0.9341110262191864,0.969213117210268,500,0
site,The University of New South Wales,uni2,maha,tcga_side_only,641,19,0.7462100928192574,0.6636400821867818,0.8172053735690058,500,0
site,Thomas Jefferson University,uni2,maha,tcga_side_only,641,19,0.9078220624235004,0.8191860923175946,0.9715397450451428,500,0
site,UCSF,uni2,maha,tcga_side_only,641,28,0.7663340081672203,0.6950926885821885,0.8377756502743325,500,0
site,University of Florida,uni2,maha,tcga_side_only,641,27,0.849919699253517,0.7802369070148323,0.9060733083117428,500,0
site,University of Sao Paulo,uni2,maha,tcga_side_only,641,17,0.7601295314637483,0.653398510860107,0.8546152921160945,500,0
site,Case Western,uni2,n_patches,tcga_side_only,641,69,0.6317002654196158,0.554050167927183,0.699999025936111,500,0
site,Case Western - St Joes,uni2,n_patches,tcga_side_only,641,103,0.5848777235267554,0.5379032924583832,0.6337629438024963,500,0
site,Dept of Neurosurgery at University of Heidelberg,uni2,n_patches,tcga_side_only,641,48,0.6714838703165376,0.5868698908570944,0.7477076178799302,500,0
site,Duke,uni2,n_patches,tcga_side_only,641,59,0.8366271884443568,0.7942513996416788,0.8799282122177333,500,0
site,Emory University,uni2,n_patches,tcga_side_only,641,21,0.7738977713178293,0.6877034448564548,0.8541937204293365,500,0
site,Fondazione-Besta,uni2,n_patches,tcga_side_only,641,21,0.747640965300849,0.6821640877290442,0.8051740471784481,500,0
site,Henry Ford Hospital,uni2,n_patches,tcga_side_only,641,173,0.327300131346059,0.2935293288541833,0.3671238956197596,500,0
site,MD Anderson Cancer Center,uni2,n_patches,tcga_side_only,641,37,0.6493652446050703,0.5842506771789249,0.7136195784614037,500,0
site,Mayo Clinic - Rochester,uni2,n_patches,tcga_side_only,641,37,0.7662458424994762,0.7128931508976704,0.8159262424633799,500,0
site,"Milan - Italy, Fondazione IRCCS Instituto Neuroligico C. Besta",uni2,n_patches,tcga_side_only,641,17,0.7753615908572732,0.7153528624089022,0.8224835160925883,500,0
