encoder,detector,auroc,auroc_ci_low,auroc_ci_high,fold_sd_model_instability,delta_vs_n_patches,q_vs_n_patches,delta_vs_featnorm,q_vs_featnorm,delta_flow_minus_maha,q_flow_minus_maha,ks_stat,q_ks,matched_auroc,auroc_20x_vs_40x,min_subgroup_heterogeneity_q
uni2,flow_ood,0.9130043610791798,0.8988348410692251,0.9267469778226706,0.0210989520284972,0.3207393432344936,0.0010582943822206,0.3048264165217477,0.0010582943822206,0.0657307417396173,0.0010582943822206,0.6797166183225276,2.3426233377636567e-155,0.9107979015394466,0.4420960815888352,0.4140046000511116
uni2,flow_energy,0.9145992068755464,0.9010665644079608,0.9282979588423974,0.0214179772150589,,,,,0.0657307417396173,0.0010582943822206,0.6848812355536047,1.0914076824698984e-157,0.913205784152425,0.42499616593819495,0.4140046000511116
uni2,maha,0.8472736193395625,0.8269469994316675,0.8649657495399069,0.0253474361862985,0.2550086014948762,0.0010582943822206,0.2390956747821303,0.0010582943822206,0.0657307417396173,0.0010582943822206,0.5522838404030458,3.5715481265548752e-99,0.8426302705748014,0.4518633540372671,0.2420503084954912
uni2,mahapc,0.8580779289602185,0.8398160089805655,0.8750266495493099,0.0264515431426571,,,,,0.0657307417396173,0.0010582943822206,0.5631093684812031,,,,
uni2,mahaenergy,0.8489934884703432,0.8293973389218148,0.8683586154161816,0.0251258842414573,,,,,0.0657307417396173,0.0010582943822206,0.5488671257876931,,,,
uni2,n_patches,0.5922650178446862,0.5636054211448547,0.6220149298562971,0.0253124689682285,,,,,0.0657307417396173,0.0010582943822206,0.13330525616461922,6.466816225196096e-06,0.5008043341370813,0.5461141783605552,0.0142382534409112
uni2,featnorm,0.6081779445574321,0.5794544958367153,0.6373833562938315,0.014926596852285,,,,,0.0657307417396173,0.0010582943822206,0.18206066645707653,1.5084719577978259e-10,0.6015869499346425,0.2883981289778391,0.0234512409615008
conch,flow_ood,0.7083808772020319,0.680941048194038,0.7342341523758968,0.0151578883962862,0.1160773882772817,0.0010582943822206,0.2475076619776777,0.0010582943822206,0.074948464718366,0.0010582943822206,0.2780351518243239,2.5929124328835915e-24,0.7048975881743156,0.64548347519362,0.0142382534409112
conch,flow_energy,0.7136154463996228,0.6863379862304994,0.740453350622712,0.0151868944760624,,,,,0.074948464718366,0.0010582943822206,0.287201754229865,6.807902047539786e-26,0.7088484050240422,0.6383425350816655,0.0142382534409112
conch,maha,0.6334324124836659,0.6054247285615029,0.6627604396073957,0.0168325101107927,0.0411289235589157,0.0599700149925037,0.1725591972593116,0.0010582943822206,0.074948464718366,0.0010582943822206,0.2014517082584444,8.017082899427799e-13,0.6258744587380073,0.6538513150831992,0.0142382534409112
conch,mahapc,0.6782476284866527,0.6503603798124471,0.7073495417598215,0.0195604307517697,,,,,0.074948464718366,0.0010582943822206,0.23473699404249934,,,,
conch,mahaenergy,0.63622010738743,0.6084079475720628,0.6655249300148158,0.0171998623451542,,,,,0.074948464718366,0.0010582943822206,0.2008763240263451,,,,
conch,n_patches,0.5923034889247502,0.5624868478581113,0.6216582187701553,0.0180468819631597,,,,,0.074948464718366,0.0010582943822206,0.13330525616461922,6.466816225196096e-06,0.5006937655597781,0.5461141783605552,0.0142382534409112
conch,featnorm,0.4608732152243542,0.4302284112210067,0.4908212222124493,0.0226915164303481,,,,,0.074948464718366,0.0010582943822206,0.09553750971331629,0.0028689603619383723,0.47589752496228527,0.5582489839736217,0.0142382534409112
hoptimus,flow_ood,0.8456678432123874,0.8257014755519851,0.8659397488725066,0.0206932474355884,0.2533373201407924,0.0010582943822206,0.2505865151035066,0.0010582943822206,0.0396441256226605,0.0010582943822206,0.5504271881901892,1.4729825167796468e-98,0.8262204585056715,0.5861130281420137,0.0142382534409112
hoptimus,flow_energy,0.8481858260628211,0.8288289183766561,0.8683175254519682,0.0207835389584232,,,,,0.0396441256226605,0.0010582943822206,0.5580317509278317,2.950835260653614e-101,0.828586873691172,0.57562686910513,0.0142382534409112
hoptimus,maha,0.8060237175897269,0.7838875223915125,0.8283329485603073,0.0239288090222795,0.2136931945181319,0.0010582943822206,0.2109423894808461,0.0010582943822206,0.0396441256226605,0.0010582943822206,0.4962224344487087,2.8250503383017316e-79,0.7819380192525704,0.6073153899240855,0.0142382534409112
hoptimus,mahapc,0.8238930430286595,0.8016196393669346,0.8447081557094597,0.0236883551750721,,,,,0.0396441256226605,0.0010582943822206,0.5282956565410906,,,,
hoptimus,mahaenergy,0.8075229383431092,0.785283301280519,0.8309749234084503,0.0242355261813569,,,,,0.0396441256226605,0.0010582943822206,0.5054839455935652,,,,
hoptimus,n_patches,0.592330523071595,0.5622388565931389,0.6234435061843582,0.0256995040389483,,,,,0.0396441256226605,0.0010582943822206,0.13330525616461922,6.466816225196096e-06,0.5007677097037078,0.5461141783605552,0.0234512409615008
hoptimus,featnorm,0.5950813281088808,0.5666895573789658,0.6233708927945139,0.026408954606161,,,,,0.0396441256226605,0.0010582943822206,0.1555712418610813,8.197824026272147e-08,0.5882201810889637,0.20404876926616056,0.1754152823920265
