encoder,detector,variable,test,n_levels,levels,n_total,p_raw,rank_biserial,family,q
hoptimus,featnorm,tumour_type,kruskal,4,"['gbm', 'unknown', 'astrocytoma', 'oligodendroglioma']",789,7.433672535051924e-51,,F5,6.6903052815467315e-49
uni2,n_patches,site,kruskal,15,"['MD Anderson Cancer Center', 'Henry Ford Hospital', 'UCSF', 'Duke', 'Emory University', 'Mayo Clinic - Rochester', 'Case Western', 'University of Florida', 'Milan - Italy, Fondazione IRCCS Instituto Neuroligico C. Besta', 'Thomas Jefferson University', 'Case Western - St Joes', 'Fondazione-Besta', 'Dept of Neurosurgery at University of Heidelberg', 'The University of New South Wales', 'University of Sao Paulo']",695,7.306036542646296e-50,,F5,1.6438582220954167e-48
hoptimus,n_patches,site,kruskal,15,"['MD Anderson Cancer Center', 'Henry Ford Hospital', 'UCSF', 'Duke', 'Emory University', 'Mayo Clinic - Rochester', 'Case Western', 'University of Florida', 'Milan - Italy, Fondazione IRCCS Instituto Neuroligico C. Besta', 'Thomas Jefferson University', 'Case Western - St Joes', 'Fondazione-Besta', 'Dept of Neurosurgery at University of Heidelberg', 'The University of New South Wales', 'University of Sao Paulo']",695,7.306036542646296e-50,,F5,1.6438582220954167e-48
conch,n_patches,site,kruskal,15,"['MD Anderson Cancer Center', 'Henry Ford Hospital', 'UCSF', 'Duke', 'Emory University', 'Mayo Clinic - Rochester', 'Case Western', 'University of Florida', 'Milan - Italy, Fondazione IRCCS Instituto Neuroligico C. Besta', 'Thomas Jefferson University', 'Case Western - St Joes', 'Fondazione-Besta', 'Dept of Neurosurgery at University of Heidelberg', 'The University of New South Wales', 'University of Sao Paulo']",695,7.306036542646296e-50,,F5,1.6438582220954167e-48
hoptimus,featnorm,idh_status,mannwhitneyu,2,"['wildtype', 'mutant']",789,7.74238352412566e-46,-0.5856407743200196,F5,1.393629034342619e-44
uni2,featnorm,site,kruskal,15,"['MD Anderson Cancer Center', 'Henry Ford Hospital', 'UCSF', 'Duke', 'Emory University', 'Mayo Clinic - Rochester', 'Case Western', 'University of Florida', 'Milan - Italy, Fondazione IRCCS Instituto Neuroligico C. Besta', 'Thomas Jefferson University', 'Case Western - St Joes', 'Fondazione-Besta', 'Dept of Neurosurgery at University of Heidelberg', 'The University of New South Wales', 'University of Sao Paulo']",695,6.305820359934823e-33,,F5,9.458730539902235e-32
hoptimus,featnorm,site,kruskal,15,"['MD Anderson Cancer Center', 'Henry Ford Hospital', 'UCSF', 'Duke', 'Emory University', 'Mayo Clinic - Rochester', 'Case Western', 'University of Florida', 'Milan - Italy, Fondazione IRCCS Instituto Neuroligico C. Besta', 'Thomas Jefferson University', 'Case Western - St Joes', 'Fondazione-Besta', 'Dept of Neurosurgery at University of Heidelberg', 'The University of New South Wales', 'University of Sao Paulo']",695,1.434633061811831e-32,,F5,1.8445282223294972e-31
hoptimus,featnorm,objective_power,mannwhitneyu,2,"[20.0, 40.0]",789,4.877604176997784e-32,-0.5919024614676789,F5,5.487304699122507e-31
hoptimus,featnorm,model,kruskal,11,"['SS1302', 'SS7054', 'SS1258', 'SS1763CNTLR', 'PATH-MCLEN001MS', 'R0228416', 'SS1534CNTLR', 'SS1436CNTLR', 'SS1764CNTLR', 'R0251491', 'SS7168CNTLR']",738,7.331600017849095e-32,,F5,7.331600017849095e-31
conch,featnorm,site,kruskal,15,"['MD Anderson Cancer Center', 'Henry Ford Hospital', 'UCSF', 'Duke', 'Emory University', 'Mayo Clinic - Rochester', 'Case Western', 'University of Florida', 'Milan - Italy, Fondazione IRCCS Instituto Neuroligico C. Besta', 'Thomas Jefferson University', 'Case Western - St Joes', 'Fondazione-Besta', 'Dept of Neurosurgery at University of Heidelberg', 'The University of New South Wales', 'University of Sao Paulo']",695,5.564010095025933e-29,,F5,5.00760908552334e-28
