encoder,detector,grouping,family,n_levels,n,eta_squared,p_raw,n_perm_valid,q
uni2,flow_ood,site,acquisition,15,695,0.08809224318213842,0.0033222591362126247,300.0,0.005980066445182725
uni2,flow_ood,objective_power,acquisition,2,789,0.0051871424807281375,0.023255813953488372,300.0,0.03805496828752643
uni2,flow_ood,model,acquisition,11,738,0.044951668771833694,0.0033222591362126247,300.0,0.005980066445182725
uni2,flow_ood,tumour_type,biology,4,789,0.028122120484571758,0.0033222591362126247,300.0,0.005980066445182725
uni2,flow_ood,idh_status,biology,2,789,0.0007265405273814389,0.47840531561461797,300.0,0.5591750442248782
uni2,flow_ood,race_binary,biology,2,766,1.1091991551948485e-05,0.9269102990033222,300.0,0.9373250214640337
uni2,flow_energy,site,acquisition,15,695,0.08932784989868243,0.0033222591362126247,300.0,0.005980066445182725
uni2,flow_energy,objective_power,acquisition,2,789,0.008733249653411407,0.016611295681063124,300.0,0.027685492801771874
uni2,flow_energy,model,acquisition,11,738,0.04150667122975178,0.009966777408637873,300.0,0.01725019166879632
uni2,flow_energy,tumour_type,biology,4,789,0.025578309288125243,0.0033222591362126247,300.0,0.005980066445182725
uni2,flow_energy,idh_status,biology,2,789,1.8888327050154942e-05,0.8903654485049833,300.0,0.9210677053499828
uni2,flow_energy,race_binary,biology,2,766,3.697279248263775e-05,0.8239202657807309,300.0,0.8723861637678326
uni2,maha,site,acquisition,15,695,0.08539629352589674,0.0033222591362126247,300.0,0.005980066445182725
uni2,maha,objective_power,acquisition,2,789,0.00342672861770361,0.10963455149501661,300.0,0.1644518272425249
uni2,maha,model,acquisition,11,738,0.03856155285124461,0.009966777408637873,300.0,0.01725019166879632
uni2,maha,tumour_type,biology,4,789,0.026592042437497788,0.0033222591362126247,300.0,0.005980066445182725
uni2,maha,idh_status,biology,2,789,0.0012208863257188024,0.3521594684385382,300.0,0.45277645942097766
uni2,maha,race_binary,biology,2,766,0.0001273455113980816,0.7641196013289037,300.0,0.8285634231277268
uni2,n_patches,site,acquisition,15,695,0.35625452131876506,0.0033222591362126247,300.0,0.005980066445182725
uni2,n_patches,objective_power,acquisition,2,789,0.0028280310626115123,0.15946843853820597,300.0,0.21421133534982892
uni2,n_patches,model,acquisition,11,738,0.14455129628981447,0.0033222591362126247,300.0,0.005980066445182725
uni2,n_patches,tumour_type,biology,4,789,0.007491063499800692,0.1362126245847176,300.0,0.18574448807006946
uni2,n_patches,idh_status,biology,2,789,0.004295943979567789,0.053156146179401995,300.0,0.0854295206454675
uni2,n_patches,race_binary,biology,2,766,0.0008648761523618588,0.4186046511627907,300.0,0.517194935799587
uni2,featnorm,site,acquisition,15,695,0.27632513374548395,0.0033222591362126247,300.0,0.005980066445182725
uni2,featnorm,objective_power,acquisition,2,789,0.08748455977541758,0.0033222591362126247,300.0,0.005980066445182725
uni2,featnorm,model,acquisition,11,738,0.152069574687068,0.0033222591362126247,300.0,0.005980066445182725
uni2,featnorm,tumour_type,biology,4,789,0.15742941412100284,0.0033222591362126247,300.0,0.005980066445182725
uni2,featnorm,idh_status,biology,2,789,0.14923465062166738,0.0033222591362126247,300.0,0.005980066445182725
uni2,featnorm,race_binary,biology,2,766,0.0008961191679158952,0.3787375415282392,300.0,0.4800898413738244
conch,flow_ood,site,acquisition,15,695,0.18615981338036922,0.0033222591362126247,300.0,0.005980066445182725
conch,flow_ood,objective_power,acquisition,2,789,0.04187261605484031,0.0033222591362126247,300.0,0.005980066445182725
conch,flow_ood,model,acquisition,11,738,0.13085755423197848,0.0033222591362126247,300.0,0.005980066445182725
conch,flow_ood,tumour_type,biology,4,789,0.08682565819028168,0.0033222591362126247,300.0,0.005980066445182725
conch,flow_ood,idh_status,biology,2,789,0.0785973789537639,0.0033222591362126247,300.0,0.005980066445182725
conch,flow_ood,race_binary,biology,2,766,0.0006795700750216924,0.46179401993355484,300.0,0.5468613393949991
conch,flow_energy,site,acquisition,15,695,0.18199090783306038,0.0033222591362126247,300.0,0.005980066445182725
conch,flow_energy,objective_power,acquisition,2,789,0.03780290555599352,0.0033222591362126247,300.0,0.005980066445182725
conch,flow_energy,model,acquisition,11,738,0.12726346380812892,0.0033222591362126247,300.0,0.005980066445182725
conch,flow_energy,tumour_type,biology,4,789,0.07928354897839977,0.0033222591362126247,300.0,0.005980066445182725
conch,flow_energy,idh_status,biology,2,789,0.07052326904144249,0.0033222591362126247,300.0,0.005980066445182725
conch,flow_energy,race_binary,biology,2,766,0.0006149131488102605,0.4950166112956811,300.0,0.5711730130334782
conch,maha,site,acquisition,15,695,0.14265881777378883,0.0033222591362126247,300.0,0.005980066445182725
conch,maha,objective_power,acquisition,2,789,0.04327073952750496,0.0033222591362126247,300.0,0.005980066445182725
conch,maha,model,acquisition,11,738,0.11080493915242068,0.0033222591362126247,300.0,0.005980066445182725
conch,maha,tumour_type,biology,4,789,0.0947488867404797,0.0033222591362126247,300.0,0.005980066445182725
conch,maha,idh_status,biology,2,789,0.08368657944144703,0.0033222591362126247,300.0,0.005980066445182725
conch,maha,race_binary,biology,2,766,0.0005685444145606841,0.5548172757475083,300.0,0.6275378368401625
conch,n_patches,site,acquisition,15,695,0.35625452131876506,0.0033222591362126247,300.0,0.005980066445182725
conch,n_patches,objective_power,acquisition,2,789,0.0028280310626115123,0.1362126245847176,300.0,0.18574448807006946
conch,n_patches,model,acquisition,11,738,0.14455129628981447,0.0033222591362126247,300.0,0.005980066445182725
conch,n_patches,tumour_type,biology,4,789,0.007491063499800692,0.11960132890365449,300.0,0.170859041290935
conch,n_patches,idh_status,biology,2,789,0.004295943979567789,0.059800664451827246,300.0,0.09442210176604302
conch,n_patches,race_binary,biology,2,766,0.0008648761523618588,0.45514950166112955,300.0,0.5461794019933555
conch,featnorm,site,acquisition,15,695,0.26682195109111395,0.0033222591362126247,300.0,0.005980066445182725
conch,featnorm,objective_power,acquisition,2,789,0.007223536989924798,0.013289036544850499,300.0,0.02256628847238764
conch,featnorm,model,acquisition,11,738,0.10029481423199808,0.0033222591362126247,300.0,0.005980066445182725
conch,featnorm,tumour_type,biology,4,789,0.06172404129026424,0.0033222591362126247,300.0,0.005980066445182725
conch,featnorm,idh_status,biology,2,789,4.380440219462477e-05,0.8372093023255814,300.0,0.8761492698756085
conch,featnorm,race_binary,biology,2,766,8.183864245376565e-05,0.7873754152823921,300.0,0.8436165163739915
hoptimus,flow_ood,site,acquisition,15,695,0.07716394566333731,0.0033222591362126247,300.0,0.005980066445182725
hoptimus,flow_ood,objective_power,acquisition,2,789,0.013530312382333617,0.0033222591362126247,300.0,0.005980066445182725
hoptimus,flow_ood,model,acquisition,11,738,0.05877820078078589,0.0033222591362126247,300.0,0.005980066445182725
hoptimus,flow_ood,tumour_type,biology,4,789,0.00838363475076906,0.07973421926910298,300.0,0.12372551265895292
hoptimus,flow_ood,idh_status,biology,2,789,2.9876964653821015e-05,0.9036544850498339,300.0,0.9241920869827847
hoptimus,flow_ood,race_binary,biology,2,766,0.0003493514901997391,0.5647840531561462,300.0,0.6275378368401625
hoptimus,flow_energy,site,acquisition,15,695,0.07781932060249247,0.0033222591362126247,300.0,0.005980066445182725
hoptimus,flow_energy,objective_power,acquisition,2,789,0.010641402846820358,0.0033222591362126247,300.0,0.005980066445182725
hoptimus,flow_energy,model,acquisition,11,738,0.05779014381918428,0.0033222591362126247,300.0,0.005980066445182725
hoptimus,flow_energy,tumour_type,biology,4,789,0.007552820886230328,0.11627906976744186,300.0,0.170859041290935
hoptimus,flow_energy,idh_status,biology,2,789,0.0002134312999119307,0.6744186046511628,300.0,0.7402155416903006
hoptimus,flow_energy,race_binary,biology,2,766,0.00041496041683084146,0.5581395348837209,300.0,0.6275378368401625
hoptimus,maha,site,acquisition,15,695,0.07133310971670108,0.0033222591362126247,300.0,0.005980066445182725
hoptimus,maha,objective_power,acquisition,2,789,0.01622658637112886,0.0033222591362126247,300.0,0.005980066445182725
hoptimus,maha,model,acquisition,11,738,0.051165110676183366,0.0033222591362126247,300.0,0.005980066445182725
hoptimus,maha,tumour_type,biology,4,789,0.006475500874328113,0.19601328903654486,300.0,0.2594293531366035
hoptimus,maha,idh_status,biology,2,789,0.0006751500555535941,0.42524916943521596,300.0,0.517194935799587
hoptimus,maha,race_binary,biology,2,766,2.1620205431900582e-05,0.946843853820598,300.0,0.9468438538205979
