detector,variant,conch,hoptimus,uni2,mean_across_encoders
flow_energy,mean,0.7136154463996228,0.8481858260628211,0.9145992068755464,0.8254668264459969
flow_ood,mean,0.7083808772020319,0.8456678432123874,0.9130043610791798,0.8223510271645331
flow_ood,median,0.6979981836000826,0.843028674924593,0.906091986102514,0.8157062815423965
flow_ood,p90,0.6826700526129631,0.8126057263880291,0.8711711603835687,0.7888156464615202
mahapc,mean,0.6782476284866527,0.8238930430286595,0.8580779289602185,0.7867395334918434
flow_energy,p95,0.678922745281536,0.8018393351902613,0.8626566936608995,0.7811395913775655
flow_ood,p95,0.6758959340397521,0.7995243310391921,0.8618495532073766,0.7790899394287737
maha,median,0.6347273189495092,0.816097660049518,0.8596776872648138,0.7701675554212803
mahaenergy,mean,0.63622010738743,0.8075229383431092,0.8489934884703432,0.7642455114002941
maha,mean,0.6334324124836659,0.8060237175897269,0.8472736193395625,0.7622432498043183
flow_ood,top5_mean,0.6584393514015386,0.7824531500230888,0.8446781263202364,0.7618568759149547
flow_ood,p99,0.6456766089692575,0.7642133754089663,0.831771677670685,0.7472205540163029
mahapc,p95,0.6005104403081125,0.7626285541997032,0.7619730106797928,0.7083706683958696
maha,p90,0.583288951891807,0.7590700099969543,0.7690843729428871,0.7038144449438827
mahaenergy,p95,0.5721554581650798,0.7402258894096148,0.7437002301510105,0.6853605259085684
maha,p95,0.571637234601743,0.7386280193503699,0.7428608206590621,0.684375358203725
mahapc,top5_mean,0.5665300989379157,0.7319801982933946,0.7274461067144162,0.6753188013152421
mahaenergy,top5_mean,0.5444241956995903,0.7082252888554839,0.7075408843497313,0.6533967896349352
maha,top5_mean,0.5445196365235162,0.7066729976616462,0.7069172567817177,0.65270329698896
maha,p99,0.5341251375502304,0.6862050014246274,0.6916354568878278,0.6373218652875619
n_patches,raw,0.5923034889247502,0.592330523071595,0.5922650178446862,0.5922996766136771
featnorm,mean,0.4608732152243542,0.5950813281088808,0.6081779445574321,0.5547108292968891
maha,std,0.4443505848341045,0.6232836770860967,0.5821513531503916,0.5499285383568643
featnorm,p95,0.4439652522941413,0.6415691687299201,0.4982541329545789,0.5279295179928801
featnorm,top5_mean,0.4287189145690256,0.6459198855876834,0.469369774319372,0.5146695248253604
flow_ood,std,0.373717390156316,0.4003579836855602,0.5801068132804748,0.451394062374117
