encoder,score,pair,n_a,n_b,auroc,ci_lo,ci_hi,n_boot_valid,q_fdr
uni2,ood_mean,ebrains_vs_tcga,641,789,0.9198337515249658,0.9059007531403919,0.932702931691412,2000,0.001
uni2,ood_mean,tcga_vs_ipd_brain,789,320,0.42305133079847906,0.3884148249366286,0.45651200095057026,2000,0.001
uni2,ood_mean,ebrains_vs_ipd_brain,641,320,0.9418242979719189,0.9270005362714508,0.9550514333073322,2000,0.001
uni2,ood_top5_mean,ebrains_vs_tcga,641,789,0.8563556230462144,0.8365789650597432,0.8759824537468192,2000,0.001
uni2,ood_top5_mean,tcga_vs_ipd_brain,789,320,0.34325491128010144,0.3098003802281369,0.3767308301647655,2000,0.001
uni2,ood_top5_mean,ebrains_vs_ipd_brain,641,320,0.8093116224648985,0.7831936183697348,0.8347995076053043,2000,0.001
uni2,energy_mean,ebrains_vs_tcga,641,789,0.9214808136051678,0.907641883622113,0.9345799003062784,2000,0.001
uni2,energy_mean,tcga_vs_ipd_brain,789,320,0.41703501267427123,0.38301637753485424,0.4504619177756654,2000,0.001
uni2,energy_mean,ebrains_vs_ipd_brain,641,320,0.9416926677067082,0.926798093798752,0.9555736885725429,2000,0.001
hoptimus,ood_mean,ebrains_vs_tcga,641,789,0.8473768608539018,0.8266604580533031,0.8666897018086046,2000,0.001
hoptimus,ood_mean,tcga_vs_ipd_brain,789,320,0.7712650506970848,0.7434993860899872,0.7988165399239543,2000,0.001
hoptimus,ood_mean,ebrains_vs_ipd_brain,641,320,0.9671314352574102,0.9568402642355694,0.9768526959828393,2000,0.001
hoptimus,ood_top5_mean,ebrains_vs_tcga,641,789,0.7889387818858762,0.7646110026910582,0.8125846022434052,2000,0.001
hoptimus,ood_top5_mean,tcga_vs_ipd_brain,789,320,0.78393536121673,0.7553951798162231,0.8103329966730037,2000,0.001
hoptimus,ood_top5_mean,ebrains_vs_ipd_brain,641,320,0.9309769890795632,0.915673751950078,0.9469945641575662,2000,0.001
hoptimus,energy_mean,ebrains_vs_tcga,641,789,0.850079782658987,0.8302618986888753,0.869891388811446,2000,0.001
hoptimus,energy_mean,tcga_vs_ipd_brain,789,320,0.7749524714828897,0.7466137911913815,0.8028303231939165,2000,0.001
hoptimus,energy_mean,ebrains_vs_ipd_brain,641,320,0.9689645085803432,0.9591631727769111,0.9775890941887676,2000,0.001
