,,ood_mean,ood_mean,ood_mean,ood_top5_mean,ood_top5_mean,ood_top5_mean,energy_mean,energy_mean,energy_mean
,,count,median,mean,count,median,mean,count,median,mean
encoder,location_bin,,,,,,,,,
hoptimus,Deep / midline,18,83.13427658081054,82.9288114759657,18,107.81619491577149,107.40614395141603,18,83.82550888061525,83.74279869927301
hoptimus,Frontal,105,84.65281372070312,84.4370133899507,105,108.30706939697264,108.7070158749535,105,85.26834716796876,85.34683210100445
hoptimus,Insular,15,82.37030334472657,81.6364121500651,15,104.24047546386718,104.47329203287761,15,83.4434097290039,82.62322662353516
hoptimus,Multi-lobe / junctional,61,85.21616821289062,86.0561504926838,61,110.07410888671876,110.32325064237001,61,86.0766372680664,86.85852763691886
hoptimus,Parietal,34,85.69694137573242,85.73035489250633,34,109.80353927612305,110.61974253934972,34,86.6235122680664,86.50617375093348
hoptimus,Temporal,63,84.62243347167968,84.54929049052889,63,109.09010009765623,109.02069394550627,63,85.45441589355468,85.37060806032211
uni2,Deep / midline,18,84.41991271972657,84.50538126627605,18,104.8707160949707,105.42076738145617,18,85.1108512878418,85.25703481038411
uni2,Frontal,105,83.49959106445313,84.15775897798085,105,103.22596893310546,104.56960364932107,105,84.36090240478515,85.03683465866816
uni2,Insular,15,83.78822479248046,83.97555908203124,15,102.88165130615236,103.33572509765625,15,84.806591796875,84.89360493977865
uni2,Multi-lobe / junctional,61,83.70447387695313,84.87309747914799,61,104.6617431640625,106.60118260618117,61,84.40184631347657,85.62321514692462
uni2,Parietal,34,84.68997650146484,85.12120141422048,34,105.65193328857421,106.53478568581974,34,85.34923248291015,85.82588608685661
uni2,Temporal,63,83.88203887939453,84.2185312180292,63,104.48663482666016,105.3799783858042,63,84.78194885253906,84.97948380727615
