encoder,baseline,pair,n_a,n_b,auroc,ci_lo,ci_hi,n_boot_valid,q_fdr
uni2,n_patches,ebrains_vs_tcga,641,789,0.5923274193325148,0.5623748885316628,0.6227644048727728,2000,0.001
uni2,n_patches,tcga_vs_ipd_brain,789,320,0.6391833016476552,0.6051913517902409,0.6716107216413182,2000,0.001
uni2,n_patches,ebrains_vs_ipd_brain,641,320,0.7263309282371294,0.6944249098088925,0.7584615712753511,2000,0.001
uni2,featnorm_mean,ebrains_vs_tcga,641,789,0.6081752015327762,0.5770580861257264,0.6376356156907873,2000,0.001
uni2,featnorm_mean,tcga_vs_ipd_brain,789,320,0.14963561470215464,0.12775605988593156,0.1721883911596958,2000,0.001
uni2,featnorm_mean,ebrains_vs_ipd_brain,641,320,0.2391770670826833,0.20969152203588143,0.2671860374414976,2000,0.001
hoptimus,n_patches,ebrains_vs_tcga,641,789,0.5923274193325148,0.5616097362525679,0.6219588669478339,2000,0.001
hoptimus,n_patches,tcga_vs_ipd_brain,789,320,0.6391833016476552,0.604741019090621,0.673173716730038,2000,0.001
hoptimus,n_patches,ebrains_vs_ipd_brain,641,320,0.7263309282371294,0.6937548751950078,0.7579468725624025,2000,0.001
hoptimus,featnorm_mean,ebrains_vs_tcga,641,789,0.5950431933627155,0.5659167393311703,0.6240090440119506,2000,0.001
hoptimus,featnorm_mean,tcga_vs_ipd_brain,789,320,0.34865335868187575,0.31544409458174905,0.3814969502534855,2000,0.001
hoptimus,featnorm_mean,ebrains_vs_ipd_brain,641,320,0.44282858814352577,0.4035911905226209,0.4800324200468019,2000,0.001
