dataset,encoder,patient_id,n_patches,featnorm_mean
ebrains,hoptimus,a194f783-357f-11eb-9ee2-001a7dda7111,2901.0,31.72119527749052
ebrains,hoptimus,a194f784-357f-11eb-9bda-001a7dda7111,1980.0,33.77372948232323
ebrains,hoptimus,a194f78d-357f-11eb-a5e4-001a7dda7111,2462.0,33.59672649268887
ebrains,hoptimus,a194f795-357f-11eb-b390-001a7dda7111,120.0,34.290104166666666
ebrains,hoptimus,a194f796-357f-11eb-b46b-001a7dda7111,3253.0,33.55999269904704
ebrains,hoptimus,a194f797-357f-11eb-ab01-001a7dda7111,221.0,32.48621323529412
ebrains,hoptimus,a1951e90-357f-11eb-95e4-001a7dda7111,388.0,32.39855831185567
ebrains,hoptimus,a1951e91-357f-11eb-b9dd-001a7dda7111,95.0,32.47993421052632
ebrains,hoptimus,a1951e94-357f-11eb-ba5a-001a7dda7111,6360.0,32.52846403301887
ebrains,hoptimus,a1951e95-357f-11eb-bfa9-001a7dda7111,4326.0,33.097654444059174
ebrains,hoptimus,a1951e9d-357f-11eb-a743-001a7dda7111,2740.0,35.34684648722628
ebrains,hoptimus,a1951ea2-357f-11eb-ba28-001a7dda7111,2314.0,32.8517650713051
ebrains,hoptimus,a1951ea4-357f-11eb-a591-001a7dda7111,1803.0,32.12349209650582
ebrains,hoptimus,a1951ea5-357f-11eb-a411-001a7dda7111,3381.0,34.15268688997338
ebrains,hoptimus,a1951eaa-357f-11eb-8086-001a7dda7111,771.0,34.163565985732816
ebrains,hoptimus,a1951eb1-357f-11eb-815d-001a7dda7111,1121.0,31.776441235504013
ebrains,hoptimus,a1951eb2-357f-11eb-88a6-001a7dda7111,4450.0,32.93364115168539
ebrains,hoptimus,a1951eb5-357f-11eb-98dd-001a7dda7111,159.0,31.52181603773585
ebrains,hoptimus,a1951eba-357f-11eb-9519-001a7dda7111,1254.0,34.154368520733655
ebrains,hoptimus,a1951ec6-357f-11eb-8633-001a7dda7111,4801.0,31.868442121433034
ebrains,hoptimus,a1951ecb-357f-11eb-bea5-001a7dda7111,271.0,29.585908671586715
ebrains,hoptimus,a1951ecc-357f-11eb-bef2-001a7dda7111,252.0,30.940848214285715
ebrains,hoptimus,a1951ecd-357f-11eb-af94-001a7dda7111,267.0,34.29722612359551
ebrains,hoptimus,a1951ed2-357f-11eb-be71-001a7dda7111,315.0,32.609722222222224
ebrains,hoptimus,a1951ed4-357f-11eb-b88a-001a7dda7111,3572.0,33.57307268337066
ebrains,hoptimus,a1951ede-357f-11eb-9766-001a7dda7111,2665.0,31.542131801125706
ebrains,hoptimus,a1951efa-357f-11eb-bfc3-001a7dda7111,1573.0,33.79513668150032
ebrains,hoptimus,a1951efd-357f-11eb-ac28-001a7dda7111,112.0,34.04575892857143
ebrains,hoptimus,a1951f01-357f-11eb-a6d9-001a7dda7111,487.0,33.365663501026695
