filename,path,size_mb,vendor,model,objective_power,mpp_x,mpp_y,width,height,n_levels,software,scan_date,status,error
a194f783-357f-11eb-9ee2-001a7dda7111.ndpi,data/raw/ebrains/wsi/a194f783-357f-11eb-9ee2-001a7dda7111.ndpi,1582.058767,hamamatsu,,40,0.227811190085657,0.22780081097088706,90112,82688,9,NDP.scan 2.5.85,2008/05/16,ok,
a194f784-357f-11eb-9bda-001a7dda7111.ndpi,data/raw/ebrains/wsi/a194f784-357f-11eb-9bda-001a7dda7111.ndpi,1002.594585,hamamatsu,,40,0.227811190085657,0.2278060004100508,73728,82688,9,NDP.scan 3.2.15,2008/05/16,ok,
a194f78d-357f-11eb-a5e4-001a7dda7111.ndpi,data/raw/ebrains/wsi/a194f78d-357f-11eb-a5e4-001a7dda7111.ndpi,1475.145878,hamamatsu,,40,0.227811190085657,0.2278060004100508,77824,85248,9,NDP.scan 3.2.15,2008/05/16,ok,
a194f795-357f-11eb-b390-001a7dda7111.ndpi,data/raw/ebrains/wsi/a194f795-357f-11eb-b390-001a7dda7111.ndpi,93.675828,hamamatsu,,40,0.227811190085657,0.2278060004100508,32768,29696,9,NDP.scan 3.2.15,2008/05/16,ok,
a194f796-357f-11eb-b46b-001a7dda7111.ndpi,data/raw/ebrains/wsi/a194f796-357f-11eb-b46b-001a7dda7111.ndpi,1571.646959,hamamatsu,,40,0.227811190085657,0.22780081097088706,106496,78336,10,NDP.scan 2.5.85,2008/05/16,ok,
a194f797-357f-11eb-ab01-001a7dda7111.ndpi,data/raw/ebrains/wsi/a194f797-357f-11eb-ab01-001a7dda7111.ndpi,143.258129,hamamatsu,,40,0.227811190085657,0.2278060004100508,49152,29184,10,NDP.scan 3.2.15,2008/05/16,ok,
a1951e90-357f-11eb-95e4-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1951e90-357f-11eb-95e4-001a7dda7111.ndpi,183.408852,hamamatsu,,40,0.227811190085657,0.2278060004100508,40960,35584,9,NDP.scan 3.2.15,2008/05/16,ok,
a1951e91-357f-11eb-b9dd-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1951e91-357f-11eb-b9dd-001a7dda7111.ndpi,54.279823,hamamatsu,,40,0.227811190085657,0.2278060004100508,24576,20480,9,NDP.scan 3.2.15,2008/05/16,ok,
a1951e94-357f-11eb-ba5a-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1951e94-357f-11eb-ba5a-001a7dda7111.ndpi,2835.735287,hamamatsu,,40,0.227811190085657,0.2278060004100508,118784,107264,9,NDP.scan 3.2.15,2008/05/16,ok,
a1951e95-357f-11eb-bfa9-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1951e95-357f-11eb-bfa9-001a7dda7111.ndpi,2024.840292,hamamatsu,,40,0.227811190085657,0.2278060004100508,106496,85504,10,NDP.scan 3.2.15,2008/05/16,ok,
a1951e9d-357f-11eb-a743-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1951e9d-357f-11eb-a743-001a7dda7111.ndpi,1493.770838,hamamatsu,,40,0.227811190085657,0.2278060004100508,77824,99328,11,NDP.scan 3.2.15,2008/05/16,ok,
a1951ea2-357f-11eb-ba28-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1951ea2-357f-11eb-ba28-001a7dda7111.ndpi,1312.475639,hamamatsu,,40,0.227811190085657,0.22780081097088706,86016,82944,11,NDP.scan 2.5.85,2008/05/16,ok,
a1951ea4-357f-11eb-a591-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1951ea4-357f-11eb-a591-001a7dda7111.ndpi,715.234525,hamamatsu,,40,0.227811190085657,0.22780081097088706,77824,71680,12,NDP.scan 2.5.85,2008/05/16,ok,
a1951ea5-357f-11eb-a411-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1951ea5-357f-11eb-a411-001a7dda7111.ndpi,2037.080395,hamamatsu,,40,0.227811190085657,0.2278060004100508,114688,104704,9,NDP.scan 3.2.15,2008/05/16,ok,
a1951eaa-357f-11eb-8086-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1951eaa-357f-11eb-8086-001a7dda7111.ndpi,524.357123,hamamatsu,,40,0.227811190085657,0.2278060004100508,61440,63232,9,NDP.scan 3.2.15,2008/05/16,ok,
a1951eb1-357f-11eb-815d-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1951eb1-357f-11eb-815d-001a7dda7111.ndpi,652.967366,hamamatsu,,40,0.227811190085657,0.2278060004100508,65536,83968,11,NDP.scan 3.2.15,2008/05/16,ok,
a1951eb2-357f-11eb-88a6-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1951eb2-357f-11eb-88a6-001a7dda7111.ndpi,2371.748133,hamamatsu,,40,0.227811190085657,0.2278060004100508,98304,82432,10,NDP.scan 3.2.15,2008/05/16,ok,
a1951eb5-357f-11eb-98dd-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1951eb5-357f-11eb-98dd-001a7dda7111.ndpi,89.401228,hamamatsu,,40,0.227811190085657,0.2278060004100508,28672,26624,9,NDP.scan 3.2.15,2008/05/16,ok,
a1951eba-357f-11eb-9519-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1951eba-357f-11eb-9519-001a7dda7111.ndpi,868.719535,hamamatsu,,40,0.227811190085657,0.2278060004100508,77824,77824,11,NDP.scan 3.2.15,2008/05/16,ok,
a1951ec6-357f-11eb-8633-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1951ec6-357f-11eb-8633-001a7dda7111.ndpi,2448.903027,hamamatsu,,40,0.227811190085657,0.2278060004100508,126976,93184,11,NDP.scan 3.2.15,2008/05/16,ok,
a1951ecb-357f-11eb-bea5-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1951ecb-357f-11eb-bea5-001a7dda7111.ndpi,168.279937,hamamatsu,,40,0.227811190085657,0.22780081097088706,45056,42240,9,NDP.scan 2.5.85,2008/05/16,ok,
a1951ecc-357f-11eb-bef2-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1951ecc-357f-11eb-bef2-001a7dda7111.ndpi,132.198901,hamamatsu,,40,0.227811190085657,0.22780081097088706,45056,25856,9,NDP.scan 2.5.85,2008/05/16,ok,
a1951ecd-357f-11eb-af94-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1951ecd-357f-11eb-af94-001a7dda7111.ndpi,164.908747,hamamatsu,,40,0.227811190085657,0.2278060004100508,32768,39168,9,NDP.scan 3.2.15,2008/05/16,ok,
a1951ed2-357f-11eb-be71-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1951ed2-357f-11eb-be71-001a7dda7111.ndpi,150.701418,hamamatsu,,40,0.227811190085657,0.2278060004100508,36864,23552,10,NDP.scan 3.2.15,2008/05/16,ok,
a1951ed4-357f-11eb-b88a-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1951ed4-357f-11eb-b88a-001a7dda7111.ndpi,1855.153239,hamamatsu,,40,0.227811190085657,0.2278060004100508,102400,94208,11,NDP.scan 3.2.15,2008/05/16,ok,
a1951ede-357f-11eb-9766-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1951ede-357f-11eb-9766-001a7dda7111.ndpi,1200.437269,hamamatsu,,40,0.227811190085657,0.22780081097088706,90112,104192,9,NDP.scan 2.5.85,2008/05/16,ok,
a1951efa-357f-11eb-bfc3-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1951efa-357f-11eb-bfc3-001a7dda7111.ndpi,848.777655,hamamatsu,,40,0.227811190085657,0.2278060004100508,73728,89344,9,NDP.scan 3.2.15,2008/05/16,ok,
a1951efd-357f-11eb-ac28-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1951efd-357f-11eb-ac28-001a7dda7111.ndpi,62.828511,hamamatsu,,40,0.227811190085657,0.2278060004100508,24576,16128,9,NDP.scan 3.2.15,2008/05/16,ok,
a1951f01-357f-11eb-a6d9-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1951f01-357f-11eb-a6d9-001a7dda7111.ndpi,258.500338,hamamatsu,,40,0.227811190085657,0.2278060004100508,45056,53760,10,NDP.scan 3.2.15,2008/05/16,ok,
a1951f10-357f-11eb-87e9-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1951f10-357f-11eb-87e9-001a7dda7111.ndpi,1047.237311,hamamatsu,,40,0.227811190085657,0.2278060004100508,94208,52480,9,NDP.scan 3.2.15,2008/05/16,ok,
a1951f12-357f-11eb-86fa-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1951f12-357f-11eb-86fa-001a7dda7111.ndpi,1712.082848,hamamatsu,,40,0.227811190085657,0.22780081097088706,81920,89088,11,NDP.scan 2.5.85,2008/05/16,ok,
a1951f22-357f-11eb-a9d7-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1951f22-357f-11eb-a9d7-001a7dda7111.ndpi,167.906124,hamamatsu,,40,0.227811190085657,0.2278060004100508,36864,20224,9,NDP.scan 3.2.15,2008/05/16,ok,
a1951f23-357f-11eb-bcf1-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1951f23-357f-11eb-bcf1-001a7dda7111.ndpi,587.743611,hamamatsu,,40,0.227811190085657,0.22780081097088706,53248,71424,9,NDP.scan 2.5.85,2008/05/16,ok,
a1951f26-357f-11eb-869e-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1951f26-357f-11eb-869e-001a7dda7111.ndpi,847.269553,hamamatsu,,40,0.227811190085657,0.2278060004100508,77824,63488,11,NDP.scan 3.2.15,2008/05/16,ok,
a1951f27-357f-11eb-9a65-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1951f27-357f-11eb-9a65-001a7dda7111.ndpi,215.312306,hamamatsu,,40,0.227811190085657,0.22780081097088706,36864,36864,10,NDP.scan 2.5.85,2008/05/16,ok,
a1954598-357f-11eb-998e-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1954598-357f-11eb-998e-001a7dda7111.ndpi,2172.907935,hamamatsu,,40,0.227811190085657,0.2278060004100508,86016,87296,9,NDP.scan 3.2.15,2008/05/16,ok,
a195459f-357f-11eb-8313-001a7dda7111.ndpi,data/raw/ebrains/wsi/a195459f-357f-11eb-8313-001a7dda7111.ndpi,569.635649,hamamatsu,,40,0.227811190085657,0.22780081097088706,73728,62208,9,NDP.scan 2.5.85,2008/05/16,ok,
a19545a0-357f-11eb-840d-001a7dda7111.ndpi,data/raw/ebrains/wsi/a19545a0-357f-11eb-840d-001a7dda7111.ndpi,488.910532,hamamatsu,,40,0.227811190085657,0.2278060004100508,53248,47104,10,NDP.scan 3.2.15,2008/05/16,ok,
a19545ae-357f-11eb-8960-001a7dda7111.ndpi,data/raw/ebrains/wsi/a19545ae-357f-11eb-8960-001a7dda7111.ndpi,1943.609655,hamamatsu,,40,0.227811190085657,0.2278060004100508,90112,95232,11,NDP.scan 3.2.15,2008/05/16,ok,
a19545b0-357f-11eb-a234-001a7dda7111.ndpi,data/raw/ebrains/wsi/a19545b0-357f-11eb-a234-001a7dda7111.ndpi,2550.685368,hamamatsu,,40,0.227811190085657,0.22780081097088706,126976,82176,9,NDP.scan 2.5.85,2008/05/16,ok,
a19545b1-357f-11eb-a00c-001a7dda7111.ndpi,data/raw/ebrains/wsi/a19545b1-357f-11eb-a00c-001a7dda7111.ndpi,1333.651773,hamamatsu,,40,0.227811190085657,0.2278060004100508,86016,75776,11,NDP.scan 3.2.15,2008/05/16,ok,
a19545bf-357f-11eb-afb1-001a7dda7111.ndpi,data/raw/ebrains/wsi/a19545bf-357f-11eb-afb1-001a7dda7111.ndpi,163.093061,hamamatsu,,40,0.227811190085657,0.22780081097088706,36864,38656,9,NDP.scan 2.5.85,2008/05/16,ok,
a19545c3-357f-11eb-add5-001a7dda7111.ndpi,data/raw/ebrains/wsi/a19545c3-357f-11eb-add5-001a7dda7111.ndpi,971.624628,hamamatsu,,40,0.227811190085657,0.2278060004100508,73728,94464,9,NDP.scan 3.2.15,2008/05/16,ok,
a19545c4-357f-11eb-8261-001a7dda7111.ndpi,data/raw/ebrains/wsi/a19545c4-357f-11eb-8261-001a7dda7111.ndpi,1175.042746,hamamatsu,,40,0.227811190085657,0.2278060004100508,90112,61952,10,NDP.scan 3.2.15,2008/05/16,ok,
a19545c5-357f-11eb-9865-001a7dda7111.ndpi,data/raw/ebrains/wsi/a19545c5-357f-11eb-9865-001a7dda7111.ndpi,1033.192073,hamamatsu,,40,0.227811190085657,0.22780081097088706,73728,81152,9,NDP.scan 2.5.85,2008/05/16,ok,
a19545c6-357f-11eb-8fa3-001a7dda7111.ndpi,data/raw/ebrains/wsi/a19545c6-357f-11eb-8fa3-001a7dda7111.ndpi,646.409225,hamamatsu,,40,0.227811190085657,0.2278060004100508,69632,72704,11,NDP.scan 3.2.15,2008/05/16,ok,
a19545c7-357f-11eb-b08b-001a7dda7111.ndpi,data/raw/ebrains/wsi/a19545c7-357f-11eb-b08b-001a7dda7111.ndpi,1539.029433,hamamatsu,,40,0.227811190085657,0.2278060004100508,77824,88832,9,NDP.scan 3.2.15,2008/05/16,ok,
a19545e7-357f-11eb-9cdb-001a7dda7111.ndpi,data/raw/ebrains/wsi/a19545e7-357f-11eb-9cdb-001a7dda7111.ndpi,1359.346348,hamamatsu,,40,0.227811190085657,0.2278060004100508,81920,76032,9,NDP.scan 3.2.15,2008/05/16,ok,
a19545ea-357f-11eb-9dc0-001a7dda7111.ndpi,data/raw/ebrains/wsi/a19545ea-357f-11eb-9dc0-001a7dda7111.ndpi,2052.287415,hamamatsu,,40,0.227811190085657,0.22780081097088706,122880,98304,12,NDP.scan 2.5.85,2008/05/16,ok,
a19545eb-357f-11eb-8eb7-001a7dda7111.ndpi,data/raw/ebrains/wsi/a19545eb-357f-11eb-8eb7-001a7dda7111.ndpi,1857.251453,hamamatsu,,40,0.227811190085657,0.2278060004100508,94208,85504,10,NDP.scan 3.2.15,2008/05/16,ok,
a19545ec-357f-11eb-8af8-001a7dda7111.ndpi,data/raw/ebrains/wsi/a19545ec-357f-11eb-8af8-001a7dda7111.ndpi,1887.382864,hamamatsu,,40,0.227811190085657,0.22780081097088706,94208,89600,10,NDP.scan 2.5.85,2008/05/16,ok,
a19545f8-357f-11eb-be6f-001a7dda7111.ndpi,data/raw/ebrains/wsi/a19545f8-357f-11eb-be6f-001a7dda7111.ndpi,2337.718603,hamamatsu,,40,0.227811190085657,0.2278060004100508,102400,103936,10,NDP.scan 3.2.15,2008/05/16,ok,
a19545fc-357f-11eb-babc-001a7dda7111.ndpi,data/raw/ebrains/wsi/a19545fc-357f-11eb-babc-001a7dda7111.ndpi,1955.664645,hamamatsu,,40,0.227811190085657,0.2278060004100508,106496,100864,10,NDP.scan 3.2.15,2008/05/16,ok,
a19545fe-357f-11eb-9a36-001a7dda7111.ndpi,data/raw/ebrains/wsi/a19545fe-357f-11eb-9a36-001a7dda7111.ndpi,1684.213052,hamamatsu,,40,0.227811190085657,0.2278060004100508,77824,80128,9,NDP.scan 3.2.15,2008/05/16,ok,
a1956cac-357f-11eb-aee6-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1956cac-357f-11eb-aee6-001a7dda7111.ndpi,166.257162,hamamatsu,,40,0.227811190085657,0.22780081097088706,32768,38656,9,NDP.scan 2.5.85,2008/05/16,ok,
a1956cad-357f-11eb-b824-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1956cad-357f-11eb-b824-001a7dda7111.ndpi,2403.758143,hamamatsu,,40,0.227811190085657,0.22780081097088706,122880,109568,11,NDP.scan 2.5.85,2008/05/16,ok,
a1956cb8-357f-11eb-932d-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1956cb8-357f-11eb-932d-001a7dda7111.ndpi,2225.674035,hamamatsu,,40,0.227811190085657,0.22780081097088706,94208,97792,10,NDP.scan 2.5.85,2008/05/16,ok,
a1956cb9-357f-11eb-9c2a-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1956cb9-357f-11eb-9c2a-001a7dda7111.ndpi,1144.467268,hamamatsu,,40,0.227811190085657,0.2278060004100508,73728,87808,9,NDP.scan 3.2.15,2008/05/16,ok,
a1956cbb-357f-11eb-a8a0-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1956cbb-357f-11eb-a8a0-001a7dda7111.ndpi,1213.133807,hamamatsu,,40,0.227811190085657,0.2278060004100508,81920,65280,9,NDP.scan 3.2.15,2008/05/16,ok,
a1956cbc-357f-11eb-bfe1-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1956cbc-357f-11eb-bfe1-001a7dda7111.ndpi,1817.467001,hamamatsu,,40,0.227811190085657,0.22780081097088706,106496,93184,11,NDP.scan 2.5.85,2008/05/16,ok,
a1956cc4-357f-11eb-ac83-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1956cc4-357f-11eb-ac83-001a7dda7111.ndpi,4098.239452,hamamatsu,,40,0.227811190085657,0.2278060004100508,114688,100352,11,NDP.scan 3.2.15,2008/05/16,ok,
a1956ccd-357f-11eb-998b-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1956ccd-357f-11eb-998b-001a7dda7111.ndpi,395.9733,hamamatsu,,40,0.227811190085657,0.2278060004100508,53248,48896,9,NDP.scan 3.2.15,2008/05/16,ok,
a1956cda-357f-11eb-ba62-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1956cda-357f-11eb-ba62-001a7dda7111.ndpi,1397.410385,hamamatsu,,40,0.227811190085657,0.2278060004100508,94208,90624,10,NDP.scan 3.2.15,2008/05/16,ok,
a1956cdb-357f-11eb-a2b4-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1956cdb-357f-11eb-a2b4-001a7dda7111.ndpi,766.90401,hamamatsu,,40,0.227811190085657,0.22780081097088706,57344,72960,9,NDP.scan 2.5.85,2008/05/16,ok,
a1956ce4-357f-11eb-9ca6-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1956ce4-357f-11eb-9ca6-001a7dda7111.ndpi,960.207878,hamamatsu,,40,0.227811190085657,0.22780081097088706,98304,85248,9,NDP.scan 2.5.85,2008/05/16,ok,
a1956cf0-357f-11eb-ad40-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1956cf0-357f-11eb-ad40-001a7dda7111.ndpi,1521.108723,hamamatsu,,40,0.227811190085657,0.22780081097088706,73728,88832,9,NDP.scan 2.5.85,2008/05/16,ok,
a1956cf3-357f-11eb-b68f-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1956cf3-357f-11eb-b68f-001a7dda7111.ndpi,1227.43937,hamamatsu,,40,0.227811190085657,0.22780081097088706,86016,93184,11,NDP.scan 2.5.85,2008/05/16,ok,
a1956cf6-357f-11eb-a19e-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1956cf6-357f-11eb-a19e-001a7dda7111.ndpi,517.434257,hamamatsu,,40,0.227811190085657,0.22780081097088706,65536,65536,10,NDP.scan 2.5.85,2008/05/16,ok,
a1956cfa-357f-11eb-9673-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1956cfa-357f-11eb-9673-001a7dda7111.ndpi,2432.690693,hamamatsu,,40,0.227811190085657,0.22780081097088706,98304,101632,9,NDP.scan 2.5.85,2008/05/16,ok,
a1956d02-357f-11eb-a8b9-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1956d02-357f-11eb-a8b9-001a7dda7111.ndpi,2153.575035,hamamatsu,,40,0.227811190085657,0.2278060004100508,94208,94720,10,NDP.scan 3.2.15,2008/05/16,ok,
a1956d06-357f-11eb-856b-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1956d06-357f-11eb-856b-001a7dda7111.ndpi,979.005633,hamamatsu,,40,0.227811190085657,0.22780081097088706,77824,68096,10,NDP.scan 2.5.85,2008/05/16,ok,
a1956d10-357f-11eb-aa4e-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1956d10-357f-11eb-aa4e-001a7dda7111.ndpi,90.908816,hamamatsu,,40,0.227811190085657,0.2278060004100508,28672,34304,10,NDP.scan 3.2.15,2008/05/16,ok,
a1956d11-357f-11eb-bf6c-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1956d11-357f-11eb-bf6c-001a7dda7111.ndpi,293.967376,hamamatsu,,40,0.227811190085657,0.2278060004100508,36864,40448,10,NDP.scan 3.2.15,2008/05/16,ok,
a1956d15-357f-11eb-af96-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1956d15-357f-11eb-af96-001a7dda7111.ndpi,1760.096021,hamamatsu,,40,0.227811190085657,0.22780081097088706,86016,92416,9,NDP.scan 2.5.85,2008/05/16,ok,
