filename,path,size_mb,vendor,model,objective_power,mpp_x,mpp_y,width,height,n_levels,software,scan_date,status,error,case_id
TCGA-12-0819-01Z-00-DX2.CA37F7BE-86D9-421F-B5A5-87E2BDDF7AAB.svs,data/raw/tcga/wsi/01116270-bf0e-44c1-bd77-033592e2a3e4/TCGA-12-0819-01Z-00-DX2.CA37F7BE-86D9-421F-B5A5-87E2BDDF7AAB.svs,109.533596,aperio,PATH-MCLEN001MS,20,0.4993,0.4993,62020,46874,3,20,12/02/09,ok,,TCGA-12-0819
TCGA-HT-7473-01Z-00-DX4.AE71EAC1-5B64-4EFC-9EE2-C3F3256F0455.svs,data/raw/tcga/wsi/01951b16-9d8a-4799-90e3-91d88e3ba129/TCGA-HT-7473-01Z-00-DX4.AE71EAC1-5B64-4EFC-9EE2-C3F3256F0455.svs,1447.841753,aperio,SS1764CNTLR,40,0.2527,0.2527,99599,74933,4,40,09/10/14,ok,,TCGA-HT-7473
TCGA-26-6174-01Z-00-DX1.D5C87A05-8A2E-4108-99DA-1B8425D99C42.svs,data/raw/tcga/wsi/01de3be6-b248-47a8-80a3-696c066daf86/TCGA-26-6174-01Z-00-DX1.D5C87A05-8A2E-4108-99DA-1B8425D99C42.svs,760.352567,aperio,SS1436CNTLR,40,0.2485,0.2485,94801,68462,4,40,07/16/14,ok,,TCGA-26-6174
TCGA-S9-A6TZ-01Z-00-DX1.5D0335F4-DB48-4428-800F-2B27E431BAA8.svs,data/raw/tcga/wsi/01f14381-1db0-46d5-be32-44c48ec099f1/TCGA-S9-A6TZ-01Z-00-DX1.5D0335F4-DB48-4428-800F-2B27E431BAA8.svs,1237.936883,aperio,SS1764CNTLR,40,0.2527,0.2527,113543,69208,4,40,10/31/13,ok,,TCGA-S9-A6TZ
TCGA-HW-7487-01Z-00-DX1.282f8f7a-b61e-45be-8490-adcecc97f326.svs,data/raw/tcga/wsi/0255943b-d4f5-4e38-afb3-b75b74e6262a/TCGA-HW-7487-01Z-00-DX1.282f8f7a-b61e-45be-8490-adcecc97f326.svs,621.125369,aperio,SS1302,40,0.252,0.252,79617,74091,4,40,04/19/12,ok,,TCGA-HW-7487
TCGA-28-1755-01Z-00-DX1.913db772-e917-4ae0-a2cc-281e63507f57.svs,data/raw/tcga/wsi/030e2538-4610-4ba8-8af9-521c182d16d1/TCGA-28-1755-01Z-00-DX1.913db772-e917-4ae0-a2cc-281e63507f57.svs,176.149539,aperio,SS1302,20,0.5015,0.5015,28001,15286,3,20,01/28/10,ok,,TCGA-28-1755
TCGA-06-5859-01Z-00-DX1.ab40e405-f25a-4fd2-95a2-ed86f8a2007f.svs,data/raw/tcga/wsi/034d1645-c83a-4047-aee8-6868a7eb2536/TCGA-06-5859-01Z-00-DX1.ab40e405-f25a-4fd2-95a2-ed86f8a2007f.svs,268.949609,aperio,SS1302,40,0.252,0.252,96883,27320,4,40,08/12/11,ok,,TCGA-06-5859
TCGA-06-0237-01Z-00-DX2.684d94ed-c551-4460-96de-5cdfa0c36622.svs,data/raw/tcga/wsi/03d24cd2-fb8a-4889-bea8-27ba5cd31bb4/TCGA-06-0237-01Z-00-DX2.684d94ed-c551-4460-96de-5cdfa0c36622.svs,208.585729,aperio,SS1302,20,0.5015,0.5015,24001,26990,3,20,10/05/09,ok,,TCGA-06-0237
TCGA-06-0649-01Z-00-DX1.6319b11e-055a-4ef9-98d7-02dac5f649fe.svs,data/raw/tcga/wsi/040dd04d-386b-4411-bab9-971ba0b0bb50/TCGA-06-0649-01Z-00-DX1.6319b11e-055a-4ef9-98d7-02dac5f649fe.svs,116.675609,aperio,SS1302,20,0.5015,0.5015,46002,16200,3,20,10/01/09,ok,,TCGA-06-0649
TCGA-28-1751-01Z-00-DX1.9be1807e-2cd5-469d-a4ab-6730aa26fc95.svs,data/raw/tcga/wsi/042165e8-88a4-40b0-b44a-1635869e898f/TCGA-28-1751-01Z-00-DX1.9be1807e-2cd5-469d-a4ab-6730aa26fc95.svs,547.766451,aperio,SS1302,20,0.5015,0.5015,36001,41233,3,20,01/28/10,ok,,TCGA-28-1751
TCGA-14-1829-01Z-00-DX8.1345a705-eac9-42c0-9bff-d5730dd4383f.svs,data/raw/tcga/wsi/0421bfab-a8e2-4560-b090-3281c25b80ca/TCGA-14-1829-01Z-00-DX8.1345a705-eac9-42c0-9bff-d5730dd4383f.svs,687.163161,aperio,SS1302,20,0.5015,0.5015,54002,41374,3,20,02/03/10,ok,,TCGA-14-1829
TCGA-QH-A65Z-01Z-00-DX1.33A27DCF-3B96-468B-AF2C-6F394EFA44EF.svs,data/raw/tcga/wsi/05de4495-9184-47d4-b41b-1f71dbf1b054/TCGA-QH-A65Z-01Z-00-DX1.33A27DCF-3B96-468B-AF2C-6F394EFA44EF.svs,1584.306557,aperio,SS1540CNTLR,40,0.2465,0.2465,98056,85748,4,40,08/06/13,ok,,TCGA-QH-A65Z
TCGA-HT-7611-01Z-00-DX1.AE487FF3-EF5A-4CE5-8618-20F234A59F1E.svs,data/raw/tcga/wsi/0662c036-7645-4c1d-862b-2fcf6c49c64c/TCGA-HT-7611-01Z-00-DX1.AE487FF3-EF5A-4CE5-8618-20F234A59F1E.svs,1449.731851,aperio,SS1763CNTLR,40,0.2525,0.2525,135456,73657,4,40,10/03/14,ok,,TCGA-HT-7611
TCGA-02-0038-01Z-00-DX1.5E369837-371E-4845-AD78-84BB48E1A082.svs,data/raw/tcga/wsi/06967879-1e64-44ca-8de0-1fffb715871c/TCGA-02-0038-01Z-00-DX1.5E369837-371E-4845-AD78-84BB48E1A082.svs,1834.418844,aperio,SS7054,40,0.2533,0.2533,75695,61958,4,40,10/01/14,ok,,TCGA-02-0038
TCGA-FG-6692-01Z-00-DX1.719e6a21-c620-46a4-a47e-fb0fccc34cec.svs,data/raw/tcga/wsi/0702cf70-dce3-40a2-b560-e769350e2984/TCGA-FG-6692-01Z-00-DX1.719e6a21-c620-46a4-a47e-fb0fccc34cec.svs,122.312649,aperio,SS1302,40,0.252,0.252,113191,42668,4,40,10/24/11,ok,,TCGA-FG-6692
TCGA-P5-A781-01Z-00-DX1.98EFF9A5-448D-47DD-848B-29DBD40FC453.svs,data/raw/tcga/wsi/0770afa6-fe13-4609-bb75-6d287c052dcf/TCGA-P5-A781-01Z-00-DX1.98EFF9A5-448D-47DD-848B-29DBD40FC453.svs,2299.560371,aperio,SS7168CNTLR,40,0.2526,0.2526,123503,91666,4,40,04/16/15,ok,,TCGA-P5-A781
TCGA-06-0213-01Z-00-DX1.16219fe9-0be9-46b2-9190-02b981c4bc39.svs,data/raw/tcga/wsi/07ca4c5c-554d-4a80-a54b-61e555d81269/TCGA-06-0213-01Z-00-DX1.16219fe9-0be9-46b2-9190-02b981c4bc39.svs,479.171991,aperio,SS1302,20,0.504,0.504,27820,30529,3,20,12/05/08,ok,,TCGA-06-0213
TCGA-HT-7688-01Z-00-DX7.D612A078-789A-4B99-B08A-1441C48DEE16.svs,data/raw/tcga/wsi/080d9d61-67cc-488c-97f9-57fc75e3dfe7/TCGA-HT-7688-01Z-00-DX7.D612A078-789A-4B99-B08A-1441C48DEE16.svs,1568.079003,aperio,SS1763CNTLR,40,0.2525,0.2525,107568,74724,4,40,03/10/14,ok,,TCGA-HT-7688
TCGA-06-0188-01Z-00-DX4.c3e0e229-4c7c-4e4b-b2fa-9e9a835d6cf3.svs,data/raw/tcga/wsi/082dd8ea-6e27-4b61-8565-6fd0a639dc32/TCGA-06-0188-01Z-00-DX4.c3e0e229-4c7c-4e4b-b2fa-9e9a835d6cf3.svs,820.491279,aperio,SS1302,20,0.5015,0.5015,56002,35665,3,20,07/07/09,ok,,TCGA-06-0188
TCGA-DU-7011-01Z-00-DX1.839D54AF-A0C7-4DE4-A7D0-D19C760FFB3D.svs,data/raw/tcga/wsi/08b91c4c-e5b8-4abe-b498-b8256eaed669/TCGA-DU-7011-01Z-00-DX1.839D54AF-A0C7-4DE4-A7D0-D19C760FFB3D.svs,101.14424,aperio,SS1763CNTLR,40,0.2525,0.2525,31872,24567,3,40,12/18/13,ok,,TCGA-DU-7011
TCGA-S9-A6U2-01Z-00-DX1.364156E1-47BA-4046-BFD7-C35B97785624.svs,data/raw/tcga/wsi/090ff37f-cc56-43b6-9062-7f176951bc83/TCGA-S9-A6U2-01Z-00-DX1.364156E1-47BA-4046-BFD7-C35B97785624.svs,2721.097899,aperio,SS1436CNTLR,40,0.2485,0.2485,133104,91446,4,40,11/01/13,ok,,TCGA-S9-A6U2
TCGA-HT-7880-01Z-00-DX2.3C084238-8203-4203-8F92-9CEE02922CCF.svs,data/raw/tcga/wsi/094e4870-fe71-4420-b904-848d867a6fda/TCGA-HT-7880-01Z-00-DX2.3C084238-8203-4203-8F92-9CEE02922CCF.svs,1263.395963,aperio,SS1534CNTLR,40,0.2456,0.2456,83776,77518,4,40,02/23/13,ok,,TCGA-HT-7880
TCGA-12-3653-01Z-00-DX4.47B8A4CF-3B51-4C0B-944B-E84326CFF973.svs,data/raw/tcga/wsi/09b7a139-8fff-4f77-b39e-86fc530aa070/TCGA-12-3653-01Z-00-DX4.47B8A4CF-3B51-4C0B-944B-E84326CFF973.svs,260.524726,aperio,PATH-MCLEN001MS,20,0.4993,0.4993,90030,46904,4,20,09/22/10,ok,,TCGA-12-3653
TCGA-08-0386-01Z-00-DX1.F3BE4054-6C0D-4E04-B9F7-8662AADDC8DF.svs,data/raw/tcga/wsi/09e530e6-604b-4440-ba0d-110e919bc342/TCGA-08-0386-01Z-00-DX1.F3BE4054-6C0D-4E04-B9F7-8662AADDC8DF.svs,81.581301,aperio,SS1763CNTLR,40,0.2525,0.2525,23904,31947,3,40,11/25/14,ok,,TCGA-08-0386
TCGA-19-5952-01Z-00-DX1.286b1d55-5634-4a8a-a8f1-08bbfc861dbd.svs,data/raw/tcga/wsi/09ebc7db-1164-4035-8782-27296be5e5bb/TCGA-19-5952-01Z-00-DX1.286b1d55-5634-4a8a-a8f1-08bbfc861dbd.svs,875.238897,aperio,SS1302,40,0.252,0.252,137172,84709,4,40,10/24/11,ok,,TCGA-19-5952
TCGA-41-3915-01Z-00-DX1.0f98e7eb-cdb0-49c2-967c-242268cfbd33.svs,data/raw/tcga/wsi/09f7d4a4-19ab-4017-92eb-170829e9b645/TCGA-41-3915-01Z-00-DX1.0f98e7eb-cdb0-49c2-967c-242268cfbd33.svs,440.959509,aperio,SS1302,40,0.252,0.252,117987,56660,4,40,08/04/11,ok,,TCGA-41-3915
TCGA-HT-7609-01Z-00-DX2.2A900746-05ED-4C54-9A2C-3247FC46465F.svs,data/raw/tcga/wsi/0a2459f0-a040-4ba6-8c73-b46d4f2b6701/TCGA-HT-7609-01Z-00-DX2.2A900746-05ED-4C54-9A2C-3247FC46465F.svs,1788.424909,aperio,SS1764CNTLR,40,0.2527,0.2527,89639,85726,4,40,03/11/14,ok,,TCGA-HT-7609
TCGA-CS-6668-01Z-00-DX1.D6E80501-5B34-499A-9899-8167575DBBDB.svs,data/raw/tcga/wsi/0a855250-6575-487c-bd80-262aa806a12e/TCGA-CS-6668-01Z-00-DX1.D6E80501-5B34-499A-9899-8167575DBBDB.svs,120.652775,aperio,SS1302,40,0.252,0.252,42206,67447,4,40,07/17/12,ok,,TCGA-CS-6668
TCGA-FG-A711-01Z-00-DX1.69203ECF-0672-428B-81EA-97B94D90E14F.svs,data/raw/tcga/wsi/0ad4d36f-2154-4f86-af63-274ec1d79419/TCGA-FG-A711-01Z-00-DX1.69203ECF-0672-428B-81EA-97B94D90E14F.svs,1722.541067,aperio,SS1764CNTLR,40,0.2527,0.2527,93623,66695,4,40,07/01/14,ok,,TCGA-FG-A711
TCGA-14-1396-01Z-00-DX1.ce29c5a9-6823-41be-9d07-f482a4539dad.svs,data/raw/tcga/wsi/0af62107-10ae-4fb8-99f8-85a54aa69408/TCGA-14-1396-01Z-00-DX1.ce29c5a9-6823-41be-9d07-f482a4539dad.svs,955.759747,aperio,SS1302,20,0.5015,0.5015,80003,41583,4,20,01/29/10,ok,,TCGA-14-1396
TCGA-DU-5870-01Z-00-DX1.11f12fa4-b243-4e7a-885a-43f6ca71f024.svs,data/raw/tcga/wsi/0b15d8b6-20f6-415c-899a-9475fe4f11c8/TCGA-DU-5870-01Z-00-DX1.11f12fa4-b243-4e7a-885a-43f6ca71f024.svs,105.015423,aperio,SS1302,40,0.252,0.252,39329,38262,3,40,06/09/11,ok,,TCGA-DU-5870
