target_coverage,method,method_label,metric,n_retained,full,retained,d_full,d_random,p,q,significant_q05
0.9,plain,Plain conformal,auroc,120,0.9141414141414141,0.8874680306905371,-0.026673383450876997,-0.02651387037115127,0.08591408591408592,0.17182817182817184,False
0.9,plain,Plain conformal,sensitivity,120,0.71900826446281,0.6956521739130435,-0.023356090549766506,-0.023867680157809712,0.4035964035964036,0.5128048422166069,False
0.9,plain,Plain conformal,specificity,120,0.9444444444444444,0.9803921568627451,0.03594771241830064,0.03585642067383177,0.053946053946053944,0.1189015066566087,False
0.9,plain,Plain conformal,ece,120,0.22775966368000003,0.16797097503333328,-0.059788688646666754,-0.05966493286982508,0.001998001998001998,0.011988011988011988,True
0.9,plain,Plain conformal,cal_gap,120,-0.22775966368,-0.16197679169999996,0.06578287198000005,0.06564280901124173,0.001998001998001998,0.011988011988011988,True
0.9,plain,Plain conformal,bss,120,0.2013928647991392,0.3666745568980836,0.1652816920989444,0.16891835925834053,0.03196803196803197,0.08029180122203378,False
0.9,weighted_uni2,Weighted (UNI2),auroc,135,0.9141414141414141,0.9040616246498601,-0.010079789491554081,-0.009998939010637087,0.4435564435564436,0.544364726182908,False
0.9,weighted_uni2,Weighted (UNI2),sensitivity,135,0.71900826446281,0.7023809523809523,-0.016627312081857637,-0.016665204285087776,0.45354645354645357,0.5503709773372695,False
0.9,weighted_uni2,Weighted (UNI2),specificity,135,0.9444444444444444,0.9803921568627451,0.03594771241830064,0.03651360625569522,0.01998001998001998,0.06743256743256744,False
0.9,weighted_uni2,Weighted (UNI2),ece,135,0.22775966368000003,0.18695892158518515,-0.04080074209481488,-0.04056706134407412,0.005994005994005994,0.026973026973026972,True
0.9,weighted_uni2,Weighted (UNI2),cal_gap,135,-0.22775966368,-0.18695892158518512,0.04080074209481488,0.040567061344074146,0.005994005994005994,0.026973026973026972,True
0.9,weighted_uni2,Weighted (UNI2),bss,135,0.2013928647991392,0.3252845365071958,0.1238916717080566,0.12620617694371525,0.053946053946053944,0.1189015066566087,False
0.9,weighted_hoptimus,Weighted (H-optimus),auroc,90,0.9141414141414141,0.8969913309535951,-0.017150083187819076,-0.01702542549658892,0.43956043956043955,0.544364726182908,False
0.9,weighted_hoptimus,Weighted (H-optimus),sensitivity,90,0.71900826446281,0.7358490566037735,0.016840792140963567,0.015764758871636086,0.6913086913086913,0.794269560227007,False
0.9,weighted_hoptimus,Weighted (H-optimus),specificity,90,0.9444444444444444,1.0,0.05555555555555558,0.05704326565826401,0.1998001998001998,0.3158580549884898,False
0.9,weighted_hoptimus,Weighted (H-optimus),ece,90,0.22775966368000003,0.15789664593333336,-0.06986301774666667,-0.0688578741399111,0.007992007992007992,0.03196803196803197,True
0.9,weighted_hoptimus,Weighted (H-optimus),cal_gap,90,-0.22775966368,-0.1578966459333333,0.0698630177466667,0.06862665700177784,0.007992007992007992,0.03196803196803197,True
0.9,weighted_hoptimus,Weighted (H-optimus),bss,90,0.2013928647991392,0.43337232183294494,0.23197945703380574,0.237747446360525,0.025974025974025976,0.07581607581607581,False
0.9,fullfeat,Weighted (full-feature),auroc,43,0.9141414141414141,0.9313725490196078,0.01723113487819361,0.017107565166668892,0.7172827172827173,0.8069430569430569,False
0.9,fullfeat,Weighted (full-feature),sensitivity,43,0.71900826446281,0.8529411764705882,0.13393291200777824,0.13397511998976508,0.07992007992007992,0.1628560119126157,False
0.9,fullfeat,Weighted (full-feature),specificity,43,0.9444444444444444,0.8888888888888888,-0.05555555555555558,-0.054911284836594465,0.2917082917082917,0.4200599400599401,False
0.9,fullfeat,Weighted (full-feature),ece,43,0.22775966368000003,0.15784231381395342,-0.06991734986604661,-0.07506140194483732,0.07192807192807193,0.14938907246599556,False
0.9,fullfeat,Weighted (full-feature),cal_gap,43,-0.22775966368,-0.15784231381395353,0.06991734986604647,0.06902510217316274,0.13386613386613386,0.2329099471956615,False
0.9,fullfeat,Weighted (full-feature),bss,43,0.2013928647991392,0.2652553948124827,0.06386253001334352,0.0908832223954053,0.7732267732267732,0.8435201162473891,False
0.9,siteholdout_uni2,"Weighted (UNI2, site-holdout)",auroc,134,0.9141414141414141,0.9031419796834397,-0.010999434457974466,-0.010543125093387395,0.41358641358641357,0.519387589155031,False
0.9,siteholdout_uni2,"Weighted (UNI2, site-holdout)",sensitivity,134,0.71900826446281,0.6987951807228916,-0.02021308373991837,-0.01994664322771611,0.37362637362637363,0.4981684981684982,False
