target_coverage,method,method_label,risk_full,n_retained,risk_retained,risk_retained_ci_lo,risk_retained_ci_hi,risk_reduction_vs_no_conformal,n_both,risk_both,n_empty,risk_empty,defer_rate
0.9,plain,Plain conformal,0.21142857142857144,120,0.18333333333333332,0.11666666666666667,0.25833333333333336,1.1532467532467534,55,0.2727272727272727,0,,0.3142857142857143
0.9,weighted_uni2,Weighted (UNI2),0.21142857142857144,135,0.1925925925925926,0.1259259259259259,0.25925925925925924,1.097802197802198,40,0.275,0,,0.22857142857142856
0.9,weighted_hoptimus,Weighted (H-optimus),0.21142857142857144,90,0.15555555555555556,0.08888888888888889,0.23333333333333334,1.3591836734693878,85,0.27058823529411763,0,,0.4857142857142857
0.9,fullfeat,Weighted (full-feature),0.21142857142857144,43,0.13953488372093023,0.046511627906976744,0.2558139534883721,1.5152380952380953,132,0.23484848484848486,0,,0.7542857142857143
0.9,siteholdout_uni2,"Weighted (UNI2, site-holdout)",0.21142857142857144,134,0.19402985074626866,0.12686567164179105,0.26119402985074625,1.0896703296703296,41,0.2682926829268293,0,,0.2342857142857143
0.9,siteholdout_hoptimus,"Weighted (H-optimus, site-holdout)",0.21142857142857144,77,0.12987012987012986,0.06493506493506493,0.22077922077922077,1.6280000000000003,98,0.2755102040816326,0,,0.56
0.8,plain,Plain conformal,0.21142857142857144,168,0.20238095238095238,0.14285714285714285,0.2619047619047619,1.0447058823529412,0,,7,0.42857142857142855,0.04
0.8,weighted_uni2,Weighted (UNI2),0.21142857142857144,130,0.18461538461538463,0.11538461538461539,0.25384615384615383,1.1452380952380952,0,,45,0.28888888888888886,0.2571428571428571
0.8,weighted_hoptimus,Weighted (H-optimus),0.21142857142857144,124,0.1774193548387097,0.11290322580645161,0.24193548387096775,1.1916883116883117,51,0.29411764705882354,0,,0.2914285714285714
0.8,fullfeat,Weighted (full-feature),0.21142857142857144,165,0.20606060606060606,0.14545454545454545,0.26666666666666666,1.0260504201680674,0,,10,0.3,0.05714285714285714
0.8,siteholdout_uni2,"Weighted (UNI2, site-holdout)",0.21142857142857144,143,0.1888111888111888,0.1258741258741259,0.25874125874125875,1.11978835978836,0,,32,0.3125,0.18285714285714286
0.8,siteholdout_hoptimus,"Weighted (H-optimus, site-holdout)",0.21142857142857144,124,0.1774193548387097,0.11290322580645161,0.24193548387096775,1.1916883116883117,51,0.29411764705882354,0,,0.2914285714285714
0.7,plain,Plain conformal,0.21142857142857144,135,0.17777777777777778,0.1111111111111111,0.24444444444444444,1.1892857142857143,0,,40,0.325,0.22857142857142856
0.7,weighted_uni2,Weighted (UNI2),0.21142857142857144,104,0.15384615384615385,0.08653846153846154,0.23076923076923078,1.3742857142857143,0,,71,0.29577464788732394,0.4057142857142857
0.7,weighted_hoptimus,Weighted (H-optimus),0.21142857142857144,167,0.20359281437125748,0.1437125748502994,0.2694610778443114,1.0384873949579834,8,0.375,0,,0.045714285714285714
0.7,fullfeat,Weighted (full-feature),0.21142857142857144,116,0.1810344827586207,0.11206896551724138,0.25862068965517243,1.1678911564625851,0,,59,0.2711864406779661,0.33714285714285713
0.7,siteholdout_uni2,"Weighted (UNI2, site-holdout)",0.21142857142857144,107,0.14953271028037382,0.08411214953271028,0.21495327102803738,1.4139285714285716,0,,68,0.3088235294117647,0.38857142857142857
0.7,siteholdout_hoptimus,"Weighted (H-optimus, site-holdout)",0.21142857142857144,164,0.20121951219512196,0.1402439024390244,0.2621951219512195,1.0507359307359307,11,0.36363636363636365,0,,0.06285714285714286
