target_coverage,method,site_filter,n_sites,n_above_target,frac_above_target,mean_site_coverage
0.9,plain,all_sites,30,28,0.9333333333333333,0.970818198308835
0.9,plain,n_gte_5,15,14,0.9333333333333333,0.9638586188398922
0.9,plain,n_gte_15,6,5,0.8333333333333334,0.9519542394074229
0.9,weighted_primary,all_sites,30,30,1.0,0.9929215568728676
0.9,weighted_primary,n_gte_5,15,15,1.0,0.9858431137457355
0.9,weighted_primary,n_gte_15,6,6,1.0,0.9646077843643387
0.9,weighted_hoptimusonly,all_sites,30,30,1.0,0.9880730720243829
0.9,weighted_hoptimusonly,n_gte_5,15,15,1.0,0.9761461440487658
0.9,weighted_hoptimusonly,n_gte_15,6,6,1.0,0.957032026788581
0.8,plain,all_sites,30,25,0.8333333333333334,0.8936044400182976
0.8,plain,n_gte_5,15,13,0.8666666666666667,0.9149866578143732
0.8,plain,n_gte_15,6,4,0.6666666666666666,0.8672743368436252
0.8,weighted_primary,all_sites,30,29,0.9666666666666667,0.9680855030667764
0.8,weighted_primary,n_gte_5,15,15,1.0,0.9583932283557751
0.8,weighted_primary,n_gte_15,6,6,1.0,0.9382907631971302
0.8,weighted_hoptimusonly,all_sites,30,29,0.9666666666666667,0.970069134638423
0.8,weighted_hoptimusonly,n_gte_5,15,15,1.0,0.9623604914990682
0.8,weighted_hoptimusonly,n_gte_15,6,6,1.0,0.9482089210553629
0.7,plain,all_sites,30,26,0.8666666666666667,0.8499596034427495
0.7,plain,n_gte_5,15,14,0.9333333333333333,0.849919206885499
0.7,plain,n_gte_15,6,6,1.0,0.7799262223419525
0.7,weighted_primary,all_sites,30,28,0.9333333333333333,0.8999994339132916
0.7,weighted_primary,n_gte_5,15,15,1.0,0.9277766456043609
0.7,weighted_primary,n_gte_15,6,6,1.0,0.8784159729852613
0.7,weighted_hoptimusonly,all_sites,30,29,0.9666666666666667,0.9409860974093184
0.7,weighted_hoptimusonly,n_gte_5,15,15,1.0,0.9430833059297478
0.7,weighted_hoptimusonly,n_gte_15,6,6,1.0,0.900015957132062
