site,n,n_mutant,n_wildtype,pct_mutant,idh_balance,n_white,n_non_white,n_race_not_reported,pct_non_white_known,age_median,age_q1,age_q3,n_tumour_types,tumour_type_entropy,n_scanner_vendors,n_scanner_models,n_objective_powers,median_mpp_x
Henry Ford Hospital,173,65,108,37.57225433526011,0.7514450867052023,158,15,0,8.670520231213873,55.0,43.0,64.0,4,0.7488833728087191,1,4,2,0.2526
Case Western - St Joes,103,82,21,79.6116504854369,0.4077669902912622,97,6,0,5.825242718446602,38.0,30.0,54.0,4,0.8423839614885655,1,5,1,0.2525
Case Western,69,34,35,49.27536231884058,0.9855072463768116,61,8,0,11.594202898550725,51.0,37.0,62.0,4,0.8108415649289152,1,7,1,0.252
Duke,59,15,44,25.423728813559322,0.5084745762711864,53,6,0,10.169491525423728,55.0,45.0,63.0,3,0.6069248265179752,1,2,2,0.4993
Dept of Neurosurgery at University of Heidelberg,48,42,6,87.5,0.25,48,0,0,0.0,42.5,34.75,52.0,4,0.765959817987997,1,4,1,0.2527
MD Anderson Cancer Center,37,4,33,10.81081081081081,0.21621621621621623,34,2,1,5.555555555555555,50.0,40.0,59.0,3,0.4220370038938173,1,3,2,0.2533
Mayo Clinic - Rochester,37,33,4,89.1891891891892,0.21621621621621623,33,0,4,0.0,37.0,31.0,54.0,4,0.7294769643496364,1,2,1,0.2462
UCSF,28,1,27,3.5714285714285716,0.0714285714285714,18,1,9,5.2631578947368425,59.0,50.0,69.0,3,0.4464267471205894,1,2,2,0.2525
University of Florida,27,15,12,55.55555555555556,0.8888888888888888,26,1,0,3.7037037037037037,52.0,43.0,65.0,4,0.8572058284462154,1,2,1,0.2485
Fondazione-Besta,21,17,4,80.95238095238095,0.38095238095238093,20,1,0,4.761904761904762,43.0,38.0,52.0,4,0.8076251325441259,1,2,1,0.2465
Emory University,21,2,19,9.523809523809524,0.19047619047619047,17,2,2,10.526315789473685,61.0,54.0,69.0,2,0.4537163391869449,1,1,1,0.5015
Thomas Jefferson University,19,14,5,73.6842105263158,0.5263157894736843,16,2,1,11.11111111111111,43.0,38.0,50.5,4,0.8287195212251185,1,2,1,0.252
The University of New South Wales,19,15,4,78.94736842105263,0.42105263157894735,19,0,0,0.0,40.0,31.5,45.0,4,0.8597769141610625,1,3,1,0.2527
"Milan - Italy, Fondazione IRCCS Instituto Neuroligico C. Besta",17,1,16,5.882352941176471,0.11764705882352944,17,0,0,0.0,57.0,52.0,63.0,2,0.3227569588973983,1,2,2,0.5015
University of Sao Paulo,17,16,1,94.11764705882354,0.11764705882352944,14,3,0,17.647058823529413,36.0,29.0,39.0,3,0.7907427323313919,1,1,1,0.2525
Cureline,14,13,1,92.85714285714286,0.1428571428571429,14,0,0,0.0,44.0,35.5,54.25,3,0.817581733764401,1,2,1,0.2525
MSKCC,14,13,1,92.85714285714286,0.1428571428571429,14,0,0,0.0,38.5,35.25,41.75,3,0.817581733764401,1,3,1,0.2468
Christiana Healthcare,10,2,8,20.0,0.4,9,1,0,10.0,64.5,59.0,79.5,3,0.5816718657178868,1,2,1,0.252
Cedars Sinai,9,0,9,0.0,0.0,9,0,0,0.0,61.0,48.0,73.0,2,0.5032583347756457,1,1,1,0.5015
Huntsman Cancer Institute,8,6,2,75.0,0.5,5,0,3,0.0,40.5,31.0,51.0,3,0.946394630357186,1,1,1,0.2527
Johns Hopkins,7,7,0,100.0,0.0,7,0,0,0.0,34.0,28.0,42.0,1,0.0,1,1,1,0.2527
University of California San Francisco,7,7,0,100.0,0.0,6,0,1,0.0,45.0,42.5,46.5,2,0.9852281360342515,1,1,1,0.2527
MD Anderson,5,5,0,100.0,0.0,3,1,1,25.0,50.0,46.0,52.25,2,0.7219280948873623,1,2,1,0.2517
St. Joseph's Hospital AZ,3,0,3,0.0,0.0,0,3,0,100.0,55.0,53.0,63.5,1,0.0,1,1,1,0.2527
University of Miami,3,0,3,0.0,0.0,0,3,0,100.0,61.0,57.5,65.0,1,0.0,1,1,1,0.2527
Hartford,2,1,1,50.0,1.0,2,0,0,0.0,35.5,30.75,40.25,2,1.0,1,1,1,0.2525
International Genomics Consortium,2,1,1,50.0,1.0,2,0,0,0.0,37.5,31.25,43.75,2,1.0,1,1,1,0.252
Asterand,2,2,0,100.0,0.0,0,2,0,100.0,39.0,36.5,41.5,2,1.0,1,1,1,0.2525
CHI-Penrose Colorado,2,0,2,0.0,0.0,2,0,0,0.0,48.5,40.75,56.25,1,0.0,1,1,1,0.252
John Wayne Cancer Center,2,2,0,100.0,0.0,1,0,1,0.0,40.0,38.0,42.0,2,1.0,1,1,1,0.2527
Greenville Health System,1,1,0,100.0,0.0,1,0,0,0.0,65.0,65.0,65.0,1,0.0,1,1,1,0.2527
UNC,1,1,0,100.0,0.0,1,0,0,0.0,47.0,47.0,47.0,1,0.0,1,1,1,0.252
University of Kansas,1,1,0,100.0,0.0,1,0,0,0.0,47.0,47.0,47.0,1,0.0,1,1,1,0.2527
University of North Carolina,1,0,1,0.0,0.0,0,1,0,100.0,68.0,68.0,68.0,1,0.0,1,1,1,0.2472
